SVC_CD|MODIFIER_1|FEE
10040||68.89
10060||60.88
10061||108.67
10080||79.04
10081||165.72
10120||74.23
10121||134.7
10140||71.56
10160||67.29
10180||168.76
11000||28.3
11001||14.95
11010||323.08
11011||405.33
11012||552.19
11043||224.83
11044||290.51
11055||24.03
11056||36.32
11057||38.46
11200||45.4
11201||18.16
11300||37.91
11301||48.6
11302||56.07
11303||67.29
11305||36.85
11306||50.73
11307||57.15
11308||72.62
11310||45.93
11311||56.6
11312||61.95
11313||78.5
11400||83.31
11401||93.98
11402||103.06
11403||116.42
11404||127.1
11406||277.15
11420||76.37
11421||96.12
11422||106.27
11423||124.43
11424||145.26
11426||344.44
11440||92.39
11441||106.81
11442||114.81
11443||142.05
11444||176.23
11446||399.45
11450||168.76
11451||223.22
11462||162.35
11463||232.3
11470||194.39
11471||249.93
11600||99.33
11601||113.75
11602||121.22
11603||241.38
11604||260.6
11606||325.75
11620||121.22
11621||181.57
11622||239.24
11623||263.27
11624||300.65
11626||386.64
11640||181.57
11641||241.91
11642||267.01
11643||331.1
11644||400.53
11646||508.39
11720||28.3
11721||47.52
11730||45.93
11732||21.36
11740||28.1
11750||121.22
11755||88.65
11760||144.19
11762||233.91
11765||75.84
11770||139.38
11771||423.48
11772||612.6
11900||30.44
11901||43.79
11960||520.14
11970||553.79
11971||236.04
11976||142.97
11980||110.55
12001||100.39
12002||106.81
12004||120.69
12005||146.32
12006||197.59
12007||403.73
12011||104.67
12013||113.75
12014||132.97
12015||161.81
12016||223.75
12017||467.27
12018||545.24
12020||245.66
12021||180.5
12031||121.22
12032||131.38
12034||148.99
12035||162.35
12036||226.97
12041||134.58
12042||143.12
12044||155.4
12045||176.23
12046||231.77
12047||493.45
12051||135.11
12052||142.05
12053||154.33
12054||223.75
12055||332.69
12056||510.53
12057||539.36
13100||158.6
13101||185.84
13102||72.09
13120||166.62
13121||241.91
13122||83.84
13131||185.31
13132||363.13
13133||124.43
13151||234.44
13152||483.82
13153||136.71
13160||786.62
14000||321.48
14001||418.67
14020||363.13
14021||483.82
14040||483.82
14041||605.06
14060||605.06
14061||1062.72
14350||721.47
15050||227.5
15100||380.76
15101||72.62
15120||665.4
15121||121.22
15200||421.89
15201||110.0
15220||422.95
15221||160.21
15240||483.82
15241||213.61
15260||605.06
15261||267.01
15570||827.75
15572||785.02
15574||832.55
15576||453.39
15600||241.91
15610||267.01
15620||363.13
15630||363.13
15650||253.69
15734||1347.89
15736||1244.28
15738||1349.48
15740||725.75
15750||605.06
15756||2651.98
15757||2669.6
15758||2656.25
15760||605.06
15770||640.83
15780||650.97
15781||241.91
15782||241.91
15783||216.28
15786||92.39
15787||14.95
15788||163.95
15789||262.21
15792||114.81
15793||176.76
15820||640.83
15821||746.58
15822||483.82
15823||483.82
15840||1602.08
15841||1790.06
15842||1814.63
15845||1071.8
15851||60.35
15860||148.46
15920||363.13
15922||824.01
15931||544.17
15933||774.35
15934||972.47
15935||1193.55
15936||979.94
15937||1121.46
15940||707.59
15941||1001.83
15944||918.53
15945||1017.85
15946||1421.58
15950||594.37
15951||910.51
15952||909.98
15953||1137.48
15956||1167.39
15958||1203.16
16000||45.93
16020||45.4
16025||86.51
16030||116.95
16035||361.0
17000||100.12
17003||8.55
17004||207.2
17106||265.95
17107||453.39
17108||984.21
17110||143.12
17111||169.29
17250||28.83
17260||53.93
17261||63.01
17262||87.04
17263||98.8
17264||107.87
17266||129.77
17270||68.89
17271||81.7
17272||97.19
17273||114.81
17274||144.19
17276||178.9
17280||63.01
17281||94.53
17282||113.22
17283||146.85
17284||191.72
17286||248.85
