SVC_CD|MODIFIER_1|FEE|AGE_UNIT|FROM_AGE|THROUGH_AGE|PLACE_OF_SERVICE_CODE
70010||50.39||||
70015||89.01||||
70030||24.68||||
70100||25.1||||
70110||34.04||||
70120||25.98||||
70130||45.84||||
70134||45.84||||
70140||25.98||||
70150||37.28||||
70160||24.79||||
70170||43.28||||
70190||25.98||||
70200||37.89||||
70210||21.62||||
70220||33.35||||
70240||21.62||||
70250||25.98||||
70260||40.22||||
70300||8.63||||
70310||17.3||||
70320||34.61||||
70328||24.45||||
70330||38.09||||
70332||68.0||||
70350||14.63||||
70355||16.5||||
70360||17.3||||
70370||38.09||||
70380||27.7||||
70390||41.33||||
70450||103.9||||
70460||145.73||||
70470||172.36||||
70480||155.59||||
70481||180.84||||
70482||212.77||||
70486||126.17||||
70487||150.58||||
70488||184.93||||
70490||147.22||||
70491||183.28||||
70492||221.45||||
70496||266.02||||
70498||265.18||||
70540||234.43||||
70542||279.09||||
70543||350.75||||
70544||220.07||||
70545||231.99||||
70546||337.61||||
70547||221.03||||
70548||248.64||||
70549||353.27||||
70551||197.84||||
70552||276.38||||
70553||325.73||||
70554||390.4||||
70555||99.01||||
70557||171.75||||
70558||177.25||||
70559||166.78||||
71045||17.67||||
71046||27.48||||
71047||35.27||||
71048||37.87||||
71100||27.16||||
71101||32.32||||
71110||33.31||||
71111||42.4||||
71120||25.98||||
71130||25.98||||
71250||130.45||||
71260||165.94||||
71270||197.19||||
71271||134.96||||
71275||270.91||||
71550||359.16||||
71551||395.33||||
71552||501.11||||
71555||347.16||||
72020||17.3||||
72040||25.98||||
72050||40.0||||
72052||50.31||||
72070||28.04||||
72072||30.83||||
72074||35.11||||
72080||27.39||||
72081||34.72||||
72082||56.31||||
72083||61.12||||
72084||73.11||||
72100||30.29||||
72110||43.85||||
72114||52.91||||
72120||34.61||||
72125||128.12||||
72126||167.35||||
72127||197.15||||
72128||127.78||||
72129||168.31||||
72130||198.11||||
72131||127.47||||
72132||167.35||||
72133||197.15||||
72141||193.48||||
72142||283.14||||
72146||193.48||||
72147||281.19||||
72148||193.79||||
72149||278.63||||
72156||328.94||||
72157||329.59||||
72158||328.29||||
72159||358.77||||
72170||21.62||||
72190||31.55||||
72191||274.89||||
72192||130.72||||
72193||204.45||||
72194||236.34||||
72195||237.83||||
72196||279.09||||
72197||350.6||||
72198||349.11||||
72200||21.62||||
72202||29.57||||
72220||25.02||||
72240||87.55||||
72255||87.02||||
72265||81.98||||
72270||112.92||||
72285||100.47||||
72295||87.48||||
73000||20.78||||
73010||21.39||||
73020||17.3||||
73030||25.86||||
73040||50.69||||
73050||25.9||||
73060||20.78||||
73070||20.78||||
73080||25.98||||
73085||71.82||||
73090||20.78||||
73092||20.78||||
73100||17.3||||
73110||25.14||||
73115||41.14||||
73120||17.3||||
73130||25.14||||
73140||15.59||||
73200||161.78||||
73201||201.51||||
73202||252.54||||
73206||295.4||||
73218||321.34||||
73219||350.26||||
73220||390.48||||
73221||205.97||||
73222||331.23||||
73223||408.36||||
73225||355.87||||
73501||26.51||||
73502||37.28||||
73503||46.57||||
73521||34.8||||
73522||43.85||||
73523||51.04||||
73525||75.29||||
73551||24.94||||
73552||29.15||||
73560||19.02||||
73562||23.38||||
73564||27.7||||
73565||19.02||||
73580||69.22||||
73590||20.78||||
73592||20.78||||
73600||19.02||||
73610||25.14||||
73615||75.29||||
73620||17.3||||
73630||24.22||||
73650||19.02||||
73660||15.59||||
73700||127.47||||
73701||165.6||||
73702||193.75||||
73706||318.05||||
73718||231.53||||
73719||272.67||||
73720||350.75||||
73721||205.33||||
73722||331.88||||
73723||407.06||||
73725||348.08||||
74018||24.63||||
74019||30.1||||
74021||35.12||||
74022||39.42||||
74150||133.97||||
74160||208.76||||
74170||237.64||||
74174||351.77||||
74175||277.18||||
74176||178.43||||
74177||281.8||||
74178||319.24||||
74181||200.28||||
74182||316.11||||
74183||351.25||||
74185||349.76||||
74190||34.53||||
74210||38.09||||
74220||38.09||||
74221||99.39||||
74230||51.91||||
74235||120.52||||
74240||102.03||||
74246||115.25||||
74248||74.76||||
74250||94.62||||
74251||373.21||||
74261||487.2||||
74262||569.22||||
74270||51.91||||
74280||62.84||||
74290||38.43||||
74300||43.28||||
74301||21.62||||
74328||115.13||||
74329||115.13||||
74330||115.13||||
74340||63.18||||
74355||103.06||||
74360||108.98||||
74363||132.17||||
74400||65.74||||
74410||86.52||||
74415||99.32||||
74420||56.42||||
74425||50.19||||
74430||33.16||||
74440||38.09||||
74445||51.91||||
74450||41.52||||
74455||60.59||||
74470||43.28||||
74485||83.01||||
74710||32.81||||
74712||422.03||||
74713||202.57||||
74740||46.72||||
75561||380.47||||
75565||48.32||||
75571||81.33||||
75572||227.06||||
75573||304.72||||
75574||328.94||||
75600||181.76||||
75605||114.14||||
75625||117.69||||
75630||146.5||||
75635||342.54||||
75705||211.36||||
75710||140.96||||
75716||151.54||||
75726||130.26||||
75731||143.63||||
75733||157.8||||
75736||132.48||||
75741||124.07||||
75743||139.16||||
75746||126.79||||
75756||146.73||||
75774||75.52||||
75801||129.8||||
75803||129.8||||
75805||130.76||||
75807||138.48||||
