SVC_CD|MODIFIER_1|FEE|AGE_UNIT|FROM_AGE|THROUGH_AGE|PLACE_OF_SERVICE_CODE
V2100||8.29||||
V2101||9.53||||
V2102||12.85||||
V2103||8.29||||
V2104||8.29||||
V2105||8.29||||
V2106||8.29||||
V2107||9.53||||
V2108||9.53||||
V2109||9.53||||
V2110||9.53||||
V2111||12.85||||
V2112||12.85||||
V2113||12.85||||
V2114||12.85||||
V2115||29.41||||
V2121||29.41||||
V2200||12.93||||
V2201||15.23||||
V2202||19.44||||
V2203||12.93||||
V2204||12.93||||
V2205||12.93||||
V2206||12.93||||
V2207||15.23||||
V2208||15.23||||
V2209||15.23||||
V2210||15.23||||
V2211||19.44||||
V2212||19.44||||
V2213||19.44||||
V2214||19.44||||
V2215||45.99||||
V2220||10.57||||
V2221||45.99||||
V2300||19.61||||
V2301||22.07||||
V2302||32.18||||
V2303||19.61||||
V2304||19.61||||
V2305||19.61||||
V2306||19.61||||
V2307||22.07||||
V2308||22.07||||
V2309||22.07||||
V2310||22.07||||
V2311||32.18||||
V2312||32.18||||
V2313||32.18||||
V2314||32.18||||
V2710||26.0||||
V2715||4.22||||
V2718||11.05||||
V2744||17.19||||
V2745||3.54||||
V2755||3.54||||
V2784||4.0||||
