SVC_CD|MODIFIER_1|FEE|AGE_UNIT|FROM_AGE|THROUGH_AGE|PLACE_OF_SERVICE_CODE
90785||3.88||||
90791||128.08||||
90832||18.98||||
90834||67.16||||
90837||38.01||||
90839||38.01||||
90840||18.98||||
90846||86.64||||
90847||89.65||||
90849||31.85||||
90853||14.48||||
90880||52.11||||
96105||51.2||||
96110||54.9||||
96112||116.57||||
96113||51.87||||
96116||56.2||||
96121||70.17||||
96127||4.81||||
96130||99.6||||
96131||75.81||||
96132||113.37||||
96133||86.43||||
96136||41.88||||
96137||39.01||||
96138||35.69||||
96139||35.69||||
96146||1.84||||
96156||84.3||||
96158||57.63||||
96159||20.11||||
96164||8.52||||
96165||4.01||||
96167||61.83||||
96168||21.95||||
96170||70.29||||
96171||25.55||||
97129||20.78||||
97130||19.84||||
99366||18.98||||
99368||18.98||||
99406||10.41||||
99407||19.93||||
G0442||16.5||||
