SVC_CD|MODIFIER_1|FEE|AGE_UNIT|FROM_AGE|THROUGH_AGE|PLACE_OF_SERVICE_CODE
A4640|NU|45.18||||
A7045|NU|16.44||||
B9002|NU|907.45||||
E0100|NU|15.99||||
E0105|NU|37.5||||
E0110|NU|62.07||||
E0112|NU|29.6||||
E0114|NU|37.75||||
E0117|NU|154.17||||
E0130|NU|47.27||||
E0135|NU|52.71||||
E0140|NU|210.56||||
E0141|NU|66.02||||
E0143|NU|64.69||||
E0144|NU|254.76||||
E0147|NU|279.69||||
E0148|NU|85.71||||
E0149|NU|95.28||||
E0153|NU|55.5||||
E0154|NU|48.88||||
E0155|NU|21.43||||
E0156|NU|17.2||||
E0157|NU|51.56||||
E0158|NU|21.99||||
E0159|NU|13.35||||
E0163|NU|73.31||||
E0165|NU|162.36||||
E0168|NU|119.45||||
E0170|NU|1542.91||||
E0171|NU|277.63||||
E0181|NU|250.2||||
E0184|NU|132.4||||
E0185|NU|219.62||||
E0186|NU|194.88||||
E0187|NU|222.82||||
E0188|NU|21.14||||
E0189|NU|41.57||||
E0196|NU|311.9||||
E0197|NU|134.96||||
E0198|NU|179.65||||
E0199|NU|25.64||||
E0210|NU|26.11||||
E0271|NU|128.57||||
E0272|NU|140.19||||
E0291|NU|443.14||||
E0293|NU|583.49||||
E0295|NU|1222.56||||
E0297|NU|1302.24||||
E0300|NU|2270.9||||
E0303|NU|2785.63||||
E0304|NU|7398.43||||
E0305|NU|170.78||||
E0310|NU|123.34||||
E0316|NU|1950.43||||
E0350|NU|5442.8||||
E0470|NU|2364.67||||
E0471|NU|6164.88||||
E0472|NU|6164.88||||
E0480|NU|414.62||||
E0482|NU|3932.74||||
E0561|NU|93.39||||
E0562|NU|226.88||||
E0565|NU|585.7||||
E0570|NU|154.56||||
E0600|NU|439.58||||
E0601|NU|609.55||||
E0621|NU|71.86||||
E0630|NU|852.38||||
E0635|NU|1174.66||||
E0650|NU|576.18||||
E0651|NU|624.53||||
E0655|NU|86.34||||
E0656|NU|505.39||||
E0657|NU|474.81||||
E0660|NU|108.63||||
E0665|NU|98.23||||
E0666|NU|93.9||||
E0667|NU|259.02||||
E0668|NU|353.5||||
E0669|NU|146.65||||
E0670|NU|1088.82||||
E0671|NU|332.28||||
E0672|NU|258.18||||
E0673|NU|214.54||||
E0705|NU|40.54||||
E0720|NU|172.44||||
E0730|NU|173.9||||
E0747|NU|2398.5||||
E0776|NU|75.46||||
E0779|NU|153.88||||
E0783|NU|7269.63||||
E0786|NU|6835.16||||
E0791|NU|2529.6||||
E0840|NU|58.62||||
E0849|NU|412.25||||
E0850|NU|78.22||||
E0860|NU|30.82||||
E0870|NU|58.62||||
E0880|NU|78.22||||
E0890|NU|58.62||||
E0900|NU|78.22||||
E0910|NU|169.25||||
E0911|NU|478.56||||
E0912|NU|1098.91||||
E0920|NU|376.51||||
E0930|NU|395.52||||
E0940|NU|325.25||||
E0942|NU|15.88||||
E0944|NU|31.2||||
E0945|NU|35.46||||
E0947|NU|485.17||||
E0948|NU|469.27||||
E0950|NU|86.16||||
E0951|NU|16.31||||
E0952|NU|15.32||||
E0955|NU|133.7||||
E0956|NU|89.07||||
E0957|NU|131.62||||
E0958|NU|392.19||||
E0959|NU|44.21||||
E0960|NU|83.22||||
E0961|NU|24.11||||
E0966|NU|71.37||||
E0970|NU|39.63||||
E0971|NU|40.85||||
E0973|NU|76.54||||
E0974|NU|75.36||||
E0978|NU|30.86||||
E0981|NU|35.89||||
E0983|NU|2862.96||||
E0984|NU|1623.99||||
E0985|NU|194.4||||
E0986|NU|4864.24||||
E0990|NU|91.17||||
E0992|NU|77.14||||
E1002|NU|4053.21||||
E1003|NU|4391.3||||
E1004|NU|4869.05||||
E1005|NU|5270.36||||
E1006|NU|6455.7||||
E1007|NU|8741.27||||
E1008|NU|8742.05||||
E1010|NU|1143.79||||
E1014|NU|365.14||||
E1015|NU|114.7||||
E1016|NU|123.87||||
E1020|NU|168.6||||
E1028|NU|127.1||||
E1029|NU|369.54||||
E1030|NU|1165.27||||
E1031|NU|604.56||||
E1035|NU|7726.32||||
E1037|NU|1084.9||||
E1038|NU|216.36||||
E1039|NU|410.4||||
E1161|NU|2366.09||||
E1225|NU|373.73||||
E1226|NU|376.02||||
E1228|NU|233.27||||
E1232|NU|2138.41||||
E1233|NU|2215.73||||
E1234|NU|1928.95||||
E1235|NU|1857.43||||
E1236|NU|1638.73||||
E1237|NU|1653.05||||
E1238|NU|1638.73||||
E1296|NU|374.93||||
E1297|NU|72.09||||
E1298|NU|325.53||||
E2000|NU|473.86||||
E2100|NU|437.37||||
E2101|NU|150.85||||
E2201|NU|373.1||||
E2202|NU|473.98||||
E2203|NU|479.05||||
E2204|NU|813.4||||
E2205|NU|32.1||||
E2207|NU|42.62||||
E2208|NU|97.9||||
E2209|NU|95.89||||
E2211|NU|40.91||||
E2212|NU|5.78||||
E2213|NU|29.91||||
E2214|NU|36.0||||
E2215|NU|9.45||||
E2219|NU|41.85||||
E2225|NU|17.4||||
E2226|NU|37.94||||
E2227|NU|1569.13||||
E2228|NU|865.9||||
E2231|NU|160.91||||
E2310|NU|1170.24||||
E2311|NU|2369.2||||
