SVC_CD|MODIFIER_1|FEE|AGE_UNIT|FROM_AGE|THROUGH_AGE|PLACE_OF_SERVICE_CODE
C9047||720.45||||
C9101||1.13||||
C9144||0.48||||
C9145||1.81||||
C9151||4.2||||
C9254||0.43||||
C9290||1.49||||
C9293||366.48||||
C9460||17.84||||
C9462||0.47||||
C9482||19.99||||
C9488||44.57||||
C9507||750.5||||
J0121||3.62||||
J0122||1.06||||
J0129||42.76||||
J0131||0.1||||
J0132||0.76||||
J0133||0.04||||
J0134||0.11||||
J0136||0.05||||
J0137||0.19||||
J0153||0.5||||
J0171||0.74||||
J0172||5.98||||
J0178||893.55||||
J0179||314.86||||
J0180||208.17||||
J0185||1.81||||
J0202||2235.38||||
J0206||7.39||||
J0207||1071.41||||
J0208||91.34||||
J0210||40.0||||
J0216||2.96||||
J0218||378.53||||
J0219||72.45||||
J0220||206.64||||
J0221||188.25||||
J0222||100.75||||
J0223||109.73||||
J0224||310.77||||
J0225||4875.85||||
J0248||5.51||||
J0256||4.78||||
J0257||5.15||||
J0278||0.96||||
J0283||5.39||||
J0285||46.32||||
J0287||11.13||||
J0288||21.03||||
J0289||26.85||||
J0290||0.92||||
J0291||3.38||||
J0300||183.26||||
J0330||1.57||||
J0348||0.41||||
J0360||5.5||||
J0400||0.76||||
J0401||6.42||||
J0456||2.59||||
J0457||3.05||||
J0461||0.1||||
J0470||56.42||||
J0475||178.45||||
J0476||61.49||||
J0480||4310.97||||
J0485||3.79||||
J0490||50.21||||
J0491||16.23||||
J0500||22.77||||
J0515||15.87||||
J0517||167.12||||
J0558||14.42||||
J0561||18.59||||
J0565||39.86||||
J0567||103.69||||
J0584||414.71||||
J0585||6.32||||
J0586||8.7||||
J0587||12.7||||
J0588||5.2||||
J0593||82.8||||
J0595||3.39||||
J0596||31.61||||
J0597||60.73||||
J0598||60.74||||
J0599||10.58||||
J0606||3.75||||
J0612||0.05||||
J0613||0.08||||
J0630||1328.0||||
J0636||0.76||||
J0638||119.82||||
J0640||3.41||||
J0641||0.34||||
J0642||1.56||||
J0665||0.04||||
J0670||3.47||||
J0689||1.19||||
J0690||0.77||||
J0691||0.72||||
J0694||5.16||||
J0696||0.51||||
J0698||5.03||||
J0699||2.09||||
J0701||5.36||||
J0702||6.4||||
J0703||5.22||||
J0712||3.77||||
J0714||90.84||||
J0716||5246.1||||
J0717||4.97||||
J0720||40.27||||
J0725||22.31||||
J0735||22.89||||
J0736||2.34||||
J0737||5.29||||
J0739||6.26||||
J0740||608.33||||
J0741||21.56||||
J0742||2.38||||
J0775||65.0||||
J0780||2.98||||
J0791||125.28||||
J0795||9.13||||
J0834||24.78||||
J0840||2077.79||||
J0841||433.19||||
J0850||1814.62||||
J0875||15.32||||
J0877||0.08||||
J0878||0.04||||
J0879||0.23||||
J0881||3.09||||
J0882||3.09||||
J0883||2.87||||
J0884||2.87||||
J0885||7.93||||
J0887||1.97||||
J0888||1.97||||
J0891||0.42||||
J0892||0.42||||
J0893||1.88||||
J0894||2.43||||
J0895||8.22||||
J0896||38.46||||
J0897||23.02||||
J0898||2.03||||
J0899||2.03||||
J1000||29.25||||
J1020||4.61||||
J1030||8.08||||
J1040||12.75||||
J1050||0.57||||
J1071||0.03||||
J1095||1.15||||
J1100||0.13||||
J1110||57.8||||
J1120||29.01||||
J1130||0.21||||
J1160||7.36||||
J1162||4593.57||||
J1165||0.42||||
J1170||3.85||||
J1200||1.13||||
J1201||15.1||||
J1205||76.87||||
J1230||16.69||||
J1250||6.53||||
J1260||6.17||||
J1265||0.67||||
J1267||0.76||||
J1270||0.7||||
J1290||520.5||||
J1300||226.21||||
J1301||21.41||||
J1302||17.01||||
J1303||222.32||||
J1305||172.25||||
J1306||11.94||||
J1322||262.71||||
J1335||12.83||||
J1364||85.54||||
J1380||10.05||||
J1410||355.78||||
J1426||160.0||||
J1427||56.4||||
J1428||160.0||||
J1429||160.0||||
J1437||21.7||||
J1439||1.13||||
J1442||0.98||||
J1445||0.18||||
J1447||0.39||||
J1448||5.11||||
J1449||34.09||||
J1451||17.3||||
J1453||0.19||||
J1454||392.66||||
J1455||78.8||||
J1456||0.42||||
J1458||432.9||||
J1459||47.19||||
J1460||48.32||||
J1551||14.15||||
J1554||482.27||||
J1555||14.91||||
J1556||70.95||||
J1557||54.01||||
J1558||13.62||||
J1559||12.62||||
J1560||483.2||||
J1561||47.7||||
J1562||11.95||||
J1566||73.17||||
J1568||41.82||||
J1569||46.5||||
J1571||67.34||||
J1572||44.54||||
J1573||95.33||||
J1574||50.0||||
J1575||15.87||||
J1576||99.42||||
J1580||2.54||||
J1599||99.42||||
J1600||22.51||||
J1602||13.85||||
J1610||190.26||||
J1611||149.04||||
J1626||0.4||||
J1627||5.9||||
J1628||130.32||||
J1630||1.15||||
J1631||7.65||||
J1632||74.5||||
J1640||29.03||||
J1642||0.02||||
J1643||0.3||||
J1644||0.26||||
J1650||0.76||||
J1670||545.62||||
J1720||17.91||||
J1729||13.64||||
J1738||3.13||||
J1740||30.85||||
J1741||2.74||||
J1743||542.95||||
J1745||34.04||||
J1746||69.61||||
J1747||60.22||||
J1750||16.57||||
J1756||0.21||||
J1786||44.33||||
J1790||8.95||||
J1800||8.0||||
J1805||1.23||||
J1806||0.56||||
J1811||13.86||||
J1812||1.63||||
J1813||13.07||||
J1814||1.62||||
J1815||1.11||||
J1823||462.87||||
J1826||1933.18||||
J1836||0.04||||
J1840||5.25||||
J1885||0.49||||
J1920||0.54||||
J1921||0.83||||
J1930||57.42||||
J1931||36.05||||
J1932||60.49||||
J1940||0.58||||
J1941||2055.0||||
J1943||2.95||||
J1944||2.98||||
J1945||536.09||||
J1950||1480.89||||
J1951||132.0||||
J1952||98.43||||
J1953||0.09||||
J1961||21.04||||
J2001||0.03||||
J2010||9.82||||
J2020||3.43||||
J2021||15.26||||
J2060||1.18||||
J2150||3.03||||
J2175||7.02||||
J2182||29.37||||
J2184||2.15||||
J2186||2.16||||
J2210||20.86||||
J2247||0.37||||
J2248||0.83||||
J2249||2.07||||
J2250||0.17||||
J2251||0.31||||
J2265||2.39||||
J2270||3.34||||
J2272||6.72||||
J2274||16.71||||
J2278||9.07||||
J2281||8.77||||
J2300||2.86||||
J2305||1.38||||
J2310||8.07||||
J2311||8.79||||
J2315||3.73||||
J2323||23.99||||
J2325||70.6||||
J2326||1110.31||||
J2327||15.73||||
J2329||65.56||||
J2350||58.97||||
J2353||204.54||||
J2354||1.16||||
J2356||17.8||||
J2357||37.92||||
J2358||2.92||||
J2360||5.38||||
J2372||0.2||||
J2401||0.04||||
J2402||0.31||||
J2405||0.09||||
J2406||42.13||||
J2407||26.67||||
J2425||25.13||||
J2426||13.65||||
J2427||12.05||||
J2430||10.57||||
J2469||1.3||||
J2501||0.69||||
J2503||785.5||||
J2504||367.96||||
J2506||109.69||||
J2507||3201.86||||
J2510||39.34||||
J2515||60.51||||
J2540||0.76||||
J2547||1.58||||
J2550||3.11||||
J2560||39.03||||
J2561||1.33||||
J2562||401.58||||
J2590||3.18||||
J2598||5.96||||
J2599||2.5||||
J2675||0.96||||
J2680||9.6||||
J2690||164.37||||
J2700||1.07||||
J2704||0.13||||
J2710||1.0||||
J2720||0.86||||
J2724||15.09||||
J2760||452.42||||
J2765||1.07||||
J2777||37.42||||
J2778||247.65||||
J2780||6.12||||
J2785||61.15||||
J2786||10.16||||
J2788||25.47||||
J2790||76.83||||
J2791||4.94||||
J2792||34.22||||
J2793||24.35||||
J2794||11.59||||
J2796||90.61||||
J2797||0.89||||
J2798||11.19||||
J2800||5.31||||
J2805||116.28||||
J2820||57.08||||
J2840||510.5||||
J2850||32.81||||
J2860||139.23||||
J2916||2.2||||
J2920||4.13||||
J2930||5.47||||
J2997||87.57||||
J2998||30.0||||
J3010||0.98||||
J3031||3.0||||
J3032||17.01||||
J3060||42.92||||
J3070||108.39||||
J3090||1.66||||
J3095||6.95||||
J3105||0.84||||
J3111||9.9||||
J3145||1.85||||
J3230||30.3||||
J3240||1926.74||||
J3241||328.0||||
J3243||0.61||||
J3244||0.6||||
J3245||137.83||||
J3260||2.34||||
J3262||5.86||||
J3285||55.31||||
J3299||47.61||||
J3300||4.19||||
J3301||1.12||||
J3303||3.61||||
J3304||16.86||||
J3315||364.64||||
J3316||3031.81||||
J3357||153.77||||
J3358||12.25||||
J3360||7.12||||
J3370||2.49||||
J3371||6.53||||
J3372||6.56||||
J3380||21.84||||
J3385||357.35||||
J3396||11.38||||
J3397||256.0||||
J3398||2833.33||||
J3410||13.11||||
J3420||1.61||||
J3430||3.0||||
J3475||0.79||||
J3486||10.12||||
J3489||8.1||||
J7030||2.58||||
J7040||1.29||||
J7042||1.25||||
J7050||0.65||||
J7060||1.69||||
J7070||3.38||||
J7120||2.56||||
J7168||2.98||||
J7169||125.0||||
J7170||49.95||||
J7177||1.1||||
J7178||1.38||||
J7316||1046.93||||
J7318||6.77||||
J7320||7.46||||
J7321||72.51||||
J7322||16.66||||
J7323||129.47||||
J7324||134.46||||
J7325||9.65||||
J7327||719.33||||
J7328||0.75||||
J7331||13.25||||
J7332||9.9||||
J9000||2.46||||
J9015||5551.47||||
J9017||13.7||||
J9019||427.27||||
J9020||64.56||||
J9021||48.23||||
J9022||81.06||||
J9023||89.18||||
J9025||0.5||||
J9027||32.23||||
J9032||47.12||||
J9033||14.37||||
J9034||16.91||||
J9035||71.35||||
J9036||15.06||||
J9037||45.28||||
J9039||136.07||||
J9040||24.29||||
J9041||6.22||||
J9042||213.8||||
J9043||199.58||||
J9045||2.37||||
J9046||8.65||||
J9047||44.76||||
J9048||45.8||||
J9049||5.67||||
J9050||304.62||||
J9055||70.14||||
J9056||32.1||||
J9057||84.16||||
J9058||32.1||||
J9059||23.4||||
J9060||1.69||||
J9061||19.68||||
J9063||62.2||||
J9065||18.88||||
J9070||21.64||||
J9071||3.87||||
J9100||0.93||||
J9118||70.76||||
J9119||27.15||||
J9120||546.61||||
J9130||3.84||||
J9144||48.21||||
J9145||60.77||||
J9150||37.16||||
J9153||219.14||||
J9155||4.06||||
J9160||1646.18||||
J9171||0.46||||
J9173||78.57||||
J9175||9.7||||
J9176||7.06||||
J9177||33.81||||
J9178||1.3||||
J9179||126.92||||
J9181||0.86||||
J9185||161.75||||
J9190||2.37||||
J9196||3.85||||
J9198||24.67||||
J9200||3513.56||||
J9201||3.33||||
J9203||217.49||||
J9204||216.26||||
J9205||59.95||||
J9206||2.16||||
J9207||121.88||||
J9208||26.38||||
J9209||1.78||||
J9210||378.12||||
J9214||32.57||||
J9217||172.56||||
J9223||188.3||||
J9227||71.7||||
J9228||165.45||||
J9229||2479.96||||
J9230||321.72||||
J9245||186.51||||
J9246||16.8||||
J9247||503.5||||
J9259||15.75||||
J9260||2.45||||
J9261||129.84||||
J9263||0.07||||
J9264||11.78||||
J9266||23577.01||||
J9267||0.17||||
J9269||322.18||||
J9271||55.42||||
J9272||223.92||||
J9273||161.96||||
J9274||198.86||||
J9280||24.02||||
J9285||52.07||||
J9293||49.33||||
J9294||10.46||||
J9295||5.74||||
J9296||9.74||||
J9297||9.16||||
J9298||180.34||||
J9299||29.91||||
J9301||66.91||||
J9302||60.34||||
J9303||142.42||||
J9304||77.55||||
J9305||17.14||||
J9306||14.43||||
J9307||351.95||||
J9308||66.85||||
J9309||118.11||||
J9311||37.49||||
J9312||81.19||||
J9313||23.39||||
J9314||13.4||||
J9316||68.44||||
J9317||32.55||||
J9318||31.99||||
J9319||31.49||||
J9320||370.18||||
J9322||20.23||||
J9323||10.11||||
J9325||62.36||||
J9328||10.42||||
J9330||32.17||||
J9331||104.54||||
J9332||31.52||||
J9340||297.26||||
J9347||130.0||||
J9348||548.47||||
J9349||13.15||||
J9350||594.06||||
J9351||1.18||||
J9352||331.83||||
J9353||45.04||||
J9354||36.25||||
J9355||80.25||||
J9356||65.08||||
J9358||25.63||||
J9359||191.42||||
J9360||3.99||||
J9370||4.85||||
J9371||3439.34||||
J9380||29.5||||
J9381||34.63||||
J9390||7.45||||
J9393||3.07||||
J9394||3.92||||
J9395||12.09||||
J9400||7.39||||
S0017||7.27||||
S0032||22.68||||
S0039||11.92||||
S0074||12.11||||
S0078||91.84||||
S0080||109.25||||
S0132||197.0||||
S0145||1021.49||||
S0148||150.43||||
S0164||5.08||||
S5550||1.2||||
S5551||1.31||||
S5552||0.95||||
S5553||1.13||||
S5566||88.89||||
S5571||94.71||||
