SVC_CD|MODIFIER_1|FEE|AGE_UNIT|FROM_AGE|THROUGH_AGE|PLACE_OF_SERVICE_CODE
10004||45.05||||
10005||111.69||||
10006||51.75||||
10007||259.49||||
10008||145.57||||
10009||428.52||||
10010||256.89||||
10030||133.28||||
10060||42.44||||
10120||51.75||||
10140||49.89||||
10160||46.91||||
10180||117.65||||
11000||19.36||||
11010||225.24||||
11011||282.2||||
11012||384.96||||
11042||103.87||||
11043||157.11||||
11044||202.53||||
11045||14.6||||
11046||31.27||||
11047||54.36||||
11055||16.75||||
11056||25.32||||
11057||26.81||||
11102||89.35||||
11103||48.03||||
11104||112.06||||
11105||54.73||||
11106||135.89||||
11107||64.78||||
11200||31.65||||
11420||53.24||||
11421||67.01||||
11422||74.09||||
11423||86.75||||
11424||100.89||||
11426||240.13||||
11620||84.14||||
11621||126.21||||
11622||166.79||||
11623||183.17||||
11624||209.6||||
11626||269.55||||
11720||19.73||||
11721||33.51||||
11730||32.02||||
11732||14.89||||
11740||19.59||||
11750||84.14||||
11760||100.89||||
11765||52.87||||
11900||21.22||||
11901||30.16||||
11960||362.62||||
11981||208.86||||
11982||112.43||||
11983||181.31||||
12001||69.99||||
12002||74.46||||
12004||84.14||||
12005||102.01||||
12041||93.82||||
12042||100.15||||
12044||107.97||||
12045||122.86||||
13131||129.19||||
13132||253.16||||
13133||17.5||||
13160||548.4||||
14040||337.3||||
14350||502.98||||
15004||325.02||||
15050||158.6||||
15100||265.45||||
15115||624.35||||
15116||134.4||||
15120||463.89||||
15121||84.51||||
15135||668.28||||
15136||78.93||||
15155||551.38||||
15156||141.85||||
15157||157.48||||
15240||337.3||||
15241||148.92||||
15275||83.09||||
15276||20.36||||
15277||177.15||||
15278||45.42||||
15574||580.42||||
15620||253.16||||
15769||424.38||||
15773||518.7||||
15774||155.27||||
15851||42.07||||
16000||32.02||||
16020||31.65||||
16035||251.67||||
17000||69.8||||
17003||5.96||||
17004||144.45||||
17106||185.78||||
17107||316.46||||
17108||685.78||||
17110||99.78||||
17111||118.02||||
17270||47.65||||
17271||56.96||||
17272||68.13||||
17273||80.04||||
