SVC_CD|MODIFIER_1|FEE|AGE_UNIT|FROM_AGE|THROUGH_AGE|PLACE_OF_SERVICE_CODE
A9513||278.46||||
A9542||3490.46||||
A9543||61774.82||||
A9590||324.85||||
A9592||929.46||||
A9595||551.96||||
A9596||968.2||||
A9602||498.87||||
A9604||16287.34||||
A9606||160.66||||
A9607||216.75||||
A9800||800.0||||
P9023||5.31||||
P9048||57.36||||
Q0138||4.96||||
Q0139||4.96||||
Q2041||89872.83||||
Q2042||80775.04||||
Q2043||53477.33||||
Q2049||506.46||||
Q2050||149.31||||
Q2053||89888.0||||
Q2054||94691.69||||
Q2055||96690.73||||
Q2056||99409.39||||
Q4081||5.17||||
Q5101||4.63||||
Q5103||18.39||||
Q5104||37.02||||
Q5105||5.19||||
Q5106||11.71||||
Q5107||32.31||||
Q5108||100.92||||
Q5110||4.76||||
Q5111||155.24||||
Q5112||46.11||||
Q5113||24.64||||
Q5114||44.5||||
Q5115||42.09||||
Q5116||24.08||||
Q5117||28.8||||
Q5118||28.2||||
Q5119||26.76||||
Q5120||331.59||||
Q5121||30.93||||
Q5122||93.44||||
Q5123||47.94||||
Q5124||204.01||||
Q5125||4.99||||
Q5126||68.38||||
Q5127||353.6||||
Q5128||277.72||||
Q5129||74.23||||
Q5130||213.26||||
Q5132||1032.04||||
Q9956||34.9||||
Q9957||50.24||||
Q9968||18.64||||
Q9991||1891.44||||
Q9992||1891.44||||
