SVC_CD|MODIFIER_1|FEE|AGE_UNIT|FROM_AGE|THROUGH_AGE|PLACE_OF_SERVICE_CODE
C9047||720.45||||
C9101||1.13||||
C9144||0.48||||
C9145||1.81||||
C9159||3.15||||
C9161||328.13||||
C9162||105.0||||
C9163||64.75||||
C9165||171.72||||
C9254||0.36||||
C9290||1.39||||
C9293||384.8||||
C9460||17.84||||
C9462||0.47||||
C9482||19.99||||
C9488||44.57||||
C9507||750.5||||
J0121||3.6||||
J0122||1.13||||
J0129||42.7||||
J0131||0.07||||
J0132||0.65||||
J0133||0.05||||
J0134||0.05||||
J0136||0.05||||
J0137||0.07||||
J0153||0.54||||
J0171||0.78||||
J0172||5.98||||
J0174||1.35||||
J0178||868.24||||
J0179||319.25||||
J0180||217.6||||
J0184||9.0||||
J0185||1.74||||
J0202||2292.77||||
J0206||5.63||||
J0207||1071.41||||
J0208||91.34||||
J0210||40.0||||
J0216||2.96||||
J0217||400.0||||
J0218||377.11||||
J0219||75.63||||
J0220||206.64||||
J0221||197.07||||
J0222||100.17||||
J0223||112.1||||
J0224||319.5||||
J0225||4950.37||||
J0248||6.06||||
J0256||4.81||||
J0257||5.42||||
J0278||0.94||||
J0283||4.82||||
J0285||24.62||||
J0287||10.5||||
J0288||21.03||||
J0289||27.92||||
J0290||0.95||||
J0291||3.58||||
J0300||183.26||||
J0330||1.39||||
J0348||0.55||||
J0349||9.75||||
J0360||5.76||||
J0391||45.27||||
J0400||0.76||||
J0401||6.82||||
J0402||5.67||||
J0456||1.79||||
J0457||2.52||||
J0461||0.09||||
J0470||56.42||||
J0475||182.26||||
J0476||46.92||||
J0480||4393.54||||
J0485||3.79||||
J0490||51.97||||
J0491||16.6||||
J0500||21.8||||
J0515||22.28||||
J0517||170.56||||
J0558||15.74||||
J0561||20.16||||
J0565||39.84||||
J0567||103.69||||
J0576||23.15||||
J0584||433.52||||
J0585||6.33||||
J0586||8.22||||
J0587||13.04||||
J0588||5.19||||
J0593||82.8||||
J0595||2.54||||
J0596||33.7||||
J0597||64.41||||
J0598||60.73||||
J0599||10.58||||
J0606||3.75||||
J0612||0.05||||
J0613||0.09||||
J0630||1296.36||||
J0636||0.75||||
J0638||122.06||||
J0640||4.46||||
J0641||0.33||||
J0642||1.06||||
J0665||0.02||||
J0670||2.45||||
J0688||1.46||||
J0689||1.21||||
J0690||0.73||||
J0691||0.68||||
J0694||5.17||||
J0696||0.47||||
J0698||5.03||||
J0699||2.17||||
J0701||5.69||||
J0702||6.41||||
J0703||5.09||||
J0712||3.86||||
J0714||95.44||||
J0716||5246.1||||
J0717||4.9||||
J0720||48.65||||
J0725||21.78||||
J0735||19.59||||
J0736||2.02||||
J0737||2.59||||
J0739||6.35||||
J0740||550.38||||
J0741||22.29||||
J0742||2.46||||
J0775||67.75||||
J0780||2.85||||
J0791||126.86||||
J0795||9.13||||
J0801||4090.09||||
J0802||3389.1||||
J0834||32.68||||
J0840||2076.46||||
J0841||1113.51||||
J0850||1667.59||||
J0874||0.09||||
J0875||15.21||||
J0877||0.06||||
J0878||0.04||||
J0879||0.23||||
J0881||2.95||||
J0882||2.95||||
J0883||2.87||||
J0884||2.87||||
J0885||7.09||||
J0887||1.71||||
J0888||1.71||||
J0891||0.37||||
J0892||0.37||||
J0893||2.12||||
J0894||1.15||||
J0895||8.59||||
J0896||39.21||||
J0897||24.22||||
J0898||3.9||||
J0899||3.9||||
J1000||32.67||||
J1020||7.1||||
J1030||7.2||||
J1040||10.76||||
J1050||0.57||||
J1071||0.03||||
J1095||1.15||||
J1100||0.13||||
J1110||46.52||||
J1120||26.32||||
J1130||0.21||||
J1160||11.36||||
J1162||4593.57||||
J1165||0.46||||
J1170||4.02||||
J1200||0.85||||
J1201||15.18||||
J1205||76.73||||
J1230||17.52||||
J1250||9.82||||
J1260||6.17||||
J1265||0.63||||
J1267||0.76||||
J1270||0.42||||
J1290||532.25||||
J1300||225.26||||
J1301||21.39||||
J1302||17.74||||
J1303||221.67||||
J1304||142.3||||
J1305||179.14||||
J1306||12.02||||
J1322||280.92||||
J1335||13.19||||
J1364||83.64||||
J1380||10.62||||
J1410||372.48||||
J1412||11328.13||||
J1426||160.0||||
J1427||56.4||||
J1428||160.0||||
J1429||160.0||||
J1437||20.06||||
J1439||1.12||||
J1442||0.99||||
J1445||0.18||||
J1447||0.42||||
J1448||5.2||||
J1449||31.34||||
J1451||14.06||||
J1453||0.12||||
J1454||528.38||||
J1455||72.53||||
J1456||0.17||||
J1458||463.04||||
J1459||47.59||||
J1460||48.77||||
J1551||14.04||||
J1554||491.41||||
J1555||15.73||||
J1556||72.96||||
J1557||57.01||||
J1558||13.97||||
J1559||12.73||||
J1560||487.66||||
J1561||49.26||||
J1562||11.95||||
J1566||76.57||||
J1568||44.79||||
J1569||44.46||||
J1571||62.16||||
J1572||52.94||||
J1573||95.33||||
J1574||50.0||||
J1575||16.89||||
J1576||65.7||||
J1580||2.92||||
J1596||1.88||||
J1599||102.41||||
J1600||22.51||||
J1602||12.93||||
J1610||187.5||||
J1611||110.76||||
J1626||0.39||||
J1627||5.78||||
J1628||130.32||||
J1630||1.24||||
J1631||8.04||||
J1632||74.5||||
J1640||31.4||||
J1642||0.02||||
J1643||5.18||||
J1644||0.28||||
J1650||0.66||||
J1670||584.39||||
J1720||17.67||||
J1729||13.64||||
J1738||3.13||||
J1740||24.9||||
J1741||2.79||||
J1743||542.92||||
J1745||32.64||||
J1746||74.46||||
J1747||60.22||||
J1750||17.41||||
J1756||0.21||||
J1786||44.14||||
J1790||8.95||||
J1800||9.48||||
J1805||0.25||||
J1806||0.47||||
J1811||6.67||||
J1812||1.66||||
J1813||15.68||||
J1814||1.62||||
J1815||1.07||||
J1823||473.51||||
J1826||1933.18||||
J1836||0.02||||
J1840||5.25||||
J1885||0.61||||
J1920||0.18||||
J1921||2.72||||
J1930||51.16||||
J1931||37.44||||
J1932||49.97||||
J1939||1.0||||
J1940||0.58||||
J1941||2055.0||||
J1943||3.05||||
J1944||3.11||||
J1945||536.09||||
J1950||1524.34||||
J1951||133.64||||
J1952||74.35||||
J1953||0.07||||
J1961||21.79||||
J2001||0.03||||
J2010||11.04||||
J2020||3.65||||
J2021||13.74||||
J2060||1.01||||
J2150||5.26||||
J2175||6.75||||
J2182||30.17||||
J2184||2.1||||
J2186||2.16||||
J2210||21.09||||
J2247||0.4||||
J2248||0.75||||
J2249||2.07||||
J2250||0.17||||
J2251||0.29||||
J2265||2.39||||
J2270||4.32||||
J2272||7.07||||
J2274||11.19||||
J2278||9.04||||
J2281||5.31||||
J2300||2.87||||
J2305||1.29||||
J2310||9.54||||
J2311||4.31||||
J2315||3.96||||
J2323||24.6||||
J2325||70.6||||
J2326||1110.31||||
J2327||15.33||||
J2329||67.08||||
J2350||60.55||||
J2353||207.16||||
J2354||1.12||||
J2356||18.58||||
J2357||39.09||||
J2358||2.92||||
J2359||0.89||||
J2360||4.67||||
J2372||0.18||||
J2401||0.04||||
J2402||0.31||||
J2404||0.15||||
J2405||0.09||||
J2406||40.69||||
J2407||27.54||||
J2425||25.01||||
J2426||14.34||||
J2427||12.2||||
J2430||10.33||||
J2469||0.88||||
J2501||0.9||||
J2503||785.5||||
J2504||367.96||||
J2506||74.95||||
J2507||3307.05||||
J2508||206.76||||
J2510||43.38||||
J2515||60.51||||
J2540||0.82||||
J2547||1.58||||
J2550||3.48||||
J2560||36.25||||
J2561||1.33||||
J2562||429.05||||
J2590||3.13||||
J2598||2.56||||
J2599||0.56||||
J2675||0.89||||
J2679||9.6||||
J2680||9.87||||
J2690||340.44||||
J2700||0.97||||
J2704||0.1||||
J2710||1.16||||
J2720||0.79||||
J2724||15.14||||
J2760||453.66||||
J2765||1.11||||
J2777||36.57||||
J2778||197.37||||
J2780||6.12||||
J2781||153.52||||
J2785||61.15||||
J2786||10.3||||
J2788||25.51||||
J2790||77.3||||
J2791||4.85||||
J2792||33.46||||
J2793||24.35||||
J2794||12.15||||
J2796||95.75||||
J2797||0.89||||
J2798||11.64||||
J2799||24.64||||
J2800||6.07||||
J2805||129.04||||
J2820||58.26||||
J2840||510.5||||
J2850||32.81||||
J2860||148.96||||
J2916||2.1||||
J2920||3.43||||
J2930||4.99||||
J2997||89.16||||
J2998||30.0||||
J3010||0.85||||
J3031||3.0||||
J3032||17.43||||
J3060||45.18||||
J3070||108.39||||
J3090||1.74||||
J3095||7.15||||
J3105||14.3||||
J3111||10.35||||
J3145||1.74||||
J3230||31.78||||
J3240||2011.27||||
J3241||328.0||||
J3243||0.62||||
J3244||2.5||||
J3245||142.22||||
J3260||2.65||||
J3262||6.19||||
J3285||56.01||||
J3299||48.58||||
J3300||4.03||||
J3301||1.16||||
J3303||3.61||||
J3304||17.13||||
J3315||401.75||||
J3316||3122.76||||
J3357||151.46||||
J3358||12.62||||
J3360||7.48||||
J3370||2.09||||
J3371||6.25||||
J3372||6.49||||
J3380||22.3||||
J3385||366.4||||
J3396||11.24||||
J3397||256.0||||
J3398||2833.33||||
J3410||13.15||||
J3420||1.33||||
J3430||2.98||||
J3475||0.76||||
J3486||9.95||||
J3489||6.93||||
J7030||2.58||||
J7040||1.29||||
J7042||1.17||||
J7050||0.65||||
J7060||1.63||||
J7070||3.26||||
J7120||2.45||||
J7168||2.98||||
J7169||125.0||||
J7170||51.22||||
J7177||1.1||||
J7178||1.38||||
J7316||1046.93||||
J7318||6.27||||
J7320||5.78||||
J7321||75.77||||
J7322||17.3||||
J7323||123.14||||
J7324||136.26||||
J7325||8.77||||
J7327||728.29||||
J7328||0.54||||
J7331||11.83||||
J7332||10.34||||
J7519||1.47||||
J9000||2.68||||
J9015||5551.47||||
J9017||18.5||||
J9019||427.27||||
J9020||64.56||||
J9021||49.71||||
J9022||82.62||||
J9023||90.89||||
J9025||0.41||||
J9027||23.29||||
J9032||48.39||||
J9033||11.42||||
J9034||15.86||||
J9035||73.81||||
J9036||15.03||||
J9037||45.28||||
J9039||145.31||||
J9040||24.58||||
J9041||2.29||||
J9042||222.11||||
J9043||209.34||||
J9045||2.76||||
J9046||32.91||||
J9047||46.9||||
J9048||45.8||||
J9049||3.09||||
J9050||409.7||||
J9051||3.43||||
J9052||245.0||||
J9055||72.28||||
J9056||33.18||||
J9057||85.84||||
J9058||33.06||||
J9059||23.13||||
J9060||2.19||||
J9061||19.99||||
J9063||65.75||||
J9065||16.76||||
J9070||17.94||||
J9071||3.87||||
J9072||3.65||||
J9100||0.94||||
J9118||72.88||||
J9119||26.92||||
J9120||838.46||||
J9130||3.76||||
J9144||49.31||||
J9145||62.13||||
J9150||31.64||||
J9153||227.94||||
J9155||4.13||||
J9171||0.8||||
J9173||79.74||||
J9175||9.7||||
J9176||7.22||||
J9177||35.06||||
J9178||1.45||||
J9179||130.87||||
J9181||0.77||||
J9185||500.46||||
J9190||2.84||||
J9196||3.69||||
J9198||40.28||||
J9200||3551.0||||
J9201||3.93||||
J9203||221.84||||
J9204||227.34||||
J9205||62.49||||
J9206||2.06||||
J9207||127.57||||
J9208||25.89||||
J9209||1.52||||
J9210||390.16||||
J9214||32.57||||
J9217||166.69||||
J9223||196.82||||
J9227||74.64||||
J9228||168.56||||
J9229||2529.55||||
J9230||321.72||||
J9245||176.25||||
J9246||16.08||||
J9247||503.5||||
J9259||16.23||||
J9260||2.33||||
J9261||116.65||||
J9263||0.07||||
J9264||14.79||||
J9266||25781.46||||
J9267||0.12||||
J9269||324.48||||
J9271||56.41||||
J9272||230.82||||
J9273||168.26||||
J9274||203.83||||
J9280||95.61||||
J9285||52.07||||
J9286||2554.74||||
J9293||41.39||||
J9294||4.98||||
J9295||5.74||||
J9296||9.69||||
J9297||2.29||||
J9298||183.62||||
J9299||30.43||||
J9301||70.29||||
J9302||60.34||||
J9303||149.72||||
J9304||66.23||||
J9305||3.22||||
J9306||15.42||||
J9307||298.18||||
J9308||69.0||||
J9309||121.23||||
J9311||37.13||||
J9312||80.19||||
J9313||23.39||||
J9314||19.49||||
J9316||67.91||||
J9317||33.26||||
J9318||31.99||||
J9319||30.66||||
J9320||349.23||||
J9321||50.75||||
J9322||9.61||||
J9323||10.48||||
J9325||66.3||||
J9328||10.4||||
J9330||29.68||||
J9331||107.66||||
J9332||32.11||||
J9333||21.61||||
J9334||31.3||||
J9340||260.25||||
J9345||28.48||||
J9347||136.31||||
J9348||579.54||||
J9349||13.29||||
J9350||629.7||||
J9351||1.09||||
J9352||338.41||||
J9353||45.93||||
J9354||38.34||||
J9355||80.79||||
J9356||66.0||||
J9358||26.38||||
J9359||195.94||||
J9360||4.07||||
J9370||7.94||||
J9371||3439.34||||
J9380||30.9||||
J9381||36.23||||
J9390||8.11||||
J9393||20.0||||
J9394||53.0||||
J9395||8.36||||
J9400||7.81||||
S0017||7.27||||
S0032||22.7||||
S0039||12.02||||
S0074||12.11||||
S0078||93.37||||
S0080||116.74||||
