SVC_CD|MODIFIER_1|FEE|AGE_UNIT|FROM_AGE|THROUGH_AGE|PLACE_OF_SERVICE_CODE
0001U||576.0||||
0003U||760.0||||
0007U||91.54||||
0016U||131.17||||
0017M||2510.21||||
0017U||73.33||||
0018U||2401.67||||
0022U||1560.0||||
0023U||198.81||||
0026U||2880.0||||
0027U||97.53||||
0034U||372.94||||
0035U||432.79||||
0037U||2800.0||||
0038U||23.68||||
0039U||10.99||||
0040U||327.92||||
0041U||13.77||||
0042U||13.77||||
0043U||11.89||||
0044U||11.89||||
0046U||325.94||||
0047U||3098.4||||
0049U||325.94||||
0050U||2333.28||||
0051U||154.97||||
0052U||27.09||||
0054U||119.17||||
0058U||258.37||||
0059U||258.37||||
0064U||25.06||||
0065U||14.47||||
0068U||114.1||||
0077U||34.74||||
0082U||197.54||||
0084U||576.0||||
0087U||2527.54||||
0088U||2527.54||||
0107U||12.8||||
0109U||114.1||||
0120U||2008.17||||
0140U||156.75||||
0141U||156.75||||
0142U||156.75||||
0154U||385.71||||
0155U||219.86||||
0157U||282.88||||
0158U||282.88||||
0159U||282.88||||
0160U||282.88||||
0161U||282.88||||
0162U||486.54||||
0165U||463.76||||
0166U||402.72||||
0167U||6.02||||
0169U||372.94||||
0171U||1519.06||||
0172U||2424.0||||
0177U||219.86||||
0178U||459.86||||
0180U||274.83||||
0181U||148.16||||
0182U||241.08||||
0183U||148.16||||
0184U||148.16||||
0185U||148.16||||
0186U||148.16||||
0187U||219.86||||
0188U||219.86||||
0189U||219.86||||
0190U||219.86||||
0191U||219.86||||
0192U||219.86||||
0193U||226.3||||
0194U||148.16||||
0195U||300.2||||
0196U||148.16||||
0197U||148.16||||
0198U||226.3||||
0199U||219.86||||
0200U||219.86||||
0202U||333.42||||
0204U||2335.68||||
0210U||14.9||||
0216U||1537.02||||
0217U||2198.35||||
0218U||1823.2||||
0219U||725.0||||
0221U||274.83||||
0222U||282.88||||
0223U||238.88||||
0224U||33.7||||
0225U||416.78||||
0227U||62.14||||
0230U||301.35||||
0231U||846.27||||
0232U||274.83||||
0233U||274.83||||
0234U||527.87||||
0235U||600.0||||
0236U||602.7||||
0237U||584.9||||
0238U||584.9||||
0239U||3500.0||||
0240U||142.63||||
0241U||142.63||||
0242U||5000.0||||
0244U||3500.0||||
0246U||720.0||||
0275U||18.37||||
0279U||11.53||||
0280U||17.27||||
0281U||17.27||||
0282U||720.0||||
0283U||18.4||||
0284U||17.27||||
80047||8.17||||
80048||7.27||||
80051||6.23||||
80053||9.19||||
80055||35.83||||
80061||11.54||||
80069||7.6||||
80074||34.86||||
80076||6.38||||
80081||66.54||||
80143||14.91||||
80145||38.57||||
80150||13.4||||
80151||14.91||||
80155||15.4||||
80156||12.61||||
80157||10.99||||
80158||16.04||||
80159||16.44||||
80161||14.91||||
80162||11.8||||
80163||11.8||||
80164||12.04||||
80165||12.04||||
80167||14.91||||
80168||14.52||||
80169||12.21||||
80170||14.56||||
80171||14.43||||
80173||12.95||||
80175||11.78||||
80176||13.06||||
80177||11.78||||
80178||5.88||||
80179||14.91||||
80180||16.04||||
80181||14.91||||
80183||11.78||||
80184||8.4||||
80185||11.78||||
80186||12.23||||
80187||21.69||||
80188||14.75||||
80189||21.69||||
80190||18.24||||
80192||14.89||||
80193||30.86||||
80194||12.98||||
80195||11.99||||
80197||12.21||||
80198||12.57||||
80199||19.66||||
80200||14.33||||
80201||10.59||||
80202||12.04||||
80203||11.78||||
80204||30.86||||
80210||21.69||||
80220||18.64||||
80230||30.86||||
80235||21.69||||
80280||30.86||||
80285||21.69||||
80299||12.59||||
80305||10.08||||
80306||13.71||||
80307||43.5||||
80400||32.62||||
80402||86.96||||
80406||78.26||||
80408||125.5||||
80410||80.37||||
80412||371.04||||
80414||51.64||||
80415||55.89||||
80416||148.56||||
80417||43.99||||
80418||579.48||||
80420||81.1||||
80422||46.07||||
80424||50.5||||
80426||148.41||||
80428||66.7||||
80430||88.35||||
80432||145.11||||
