SVC_CD|MODIFIER_1|FEE|AGE_UNIT|FROM_AGE|THROUGH_AGE|PLACE_OF_SERVICE_CODE
A9513||279.48||||
A9542||3490.46||||
A9543||61774.82||||
A9590||324.85||||
A9592||929.46||||
A9595||551.96||||
A9596||968.2||||
A9602||498.87||||
A9604||16287.34||||
A9606||159.32||||
A9607||227.59||||
A9800||800.0||||
C9254||0.32||||
J0121||3.75||||
J0122||1.11||||
J0132||0.77||||
J0136||0.05||||
J0137||0.07||||
J0153||0.56||||
J0174||1.34||||
J0283||2.55||||
J0456||2.41||||
J0606||3.93||||
J0636||0.8||||
J0641||0.05||||
J0642||1.71||||
J0687||1.22||||
J0688||1.08||||
J0689||1.24||||
J0712||3.86||||
J0742||2.45||||
J0872||0.1||||
J0873||0.04||||
J0874||0.07||||
J0877||0.06||||
J0878||0.1||||
J0883||2.51||||
J0884||2.51||||
J0893||2.0||||
J0894||1.64||||
J1165||0.64||||
J1265||0.82||||
J1270||0.84||||
J1439||1.09||||
J1453||0.13||||
J1456||2.04||||
J1626||0.33||||
J1741||2.93||||
J1756||0.23||||
J1805||0.22||||
J1806||0.42||||
J1836||0.03||||
J1920||0.17||||
J1921||2.37||||
J1939||0.63||||
J1953||0.07||||
J2020||3.62||||
J2183||1.65||||
J2184||2.02||||
J2246||0.83||||
J2247||0.27||||
J2248||0.7||||
J2270||4.46||||
J2305||1.44||||
J2372||0.17||||
J2373||0.2||||
J2469||1.19||||
J2470||3.87||||
J2471||2.72||||
J2501||0.75||||
J2700||1.13||||
J2704||0.12||||
J2710||1.01||||
J2720||2.13||||
J2916||2.18||||
J3090||1.82||||
J3243||0.67||||
J3370||2.58||||
J7030||2.61||||
J7040||1.3||||
J7042||1.13||||
J7050||0.65||||
J7060||1.8||||
J7070||3.6||||
J7120||2.43||||
J7171||0.04||||
J7177||1.42||||
J7178||1.45||||
J7519||0.71||||
J9000||3.65||||
J9045||3.72||||
J9052||0.05||||
J9060||3.27||||
J9071||1.76||||
J9073||0.98||||
J9075||0.92||||
J9130||3.69||||
J9171||0.87||||
J9178||1.33||||
J9181||1.05||||
J9190||2.95||||
J9196||4.24||||
J9206||3.51||||
J9209||1.76||||
J9294||3.62||||
J9297||1.42||||
J9305||3.97||||
J9351||1.17||||
Q0138||0.39||||
Q0139||0.39||||
