SVC_CD|MODIFIER_1|FEE|AGE_UNIT|FROM_AGE|THROUGH_AGE|PLACE_OF_SERVICE_CODE
10040||108.61||||
10060||109.05||||
10061||195.14||||
10080||237.6||||
10081||320.31||||
10120||140.63||||
10121||243.36||||
10140||156.53||||
10160||120.11||||
10180||241.55||||
11000||53.72||||
11042||119.98||||
11043||211.14||||
11044||279.57||||
11045||36.03||||
11046||64.84||||
11055||67.59||||
11056||77.57||||
11102||95.41||||
11103||48.03||||
11104||118.03||||
11105||55.29||||
11106||146.21||||
11107||66.82||||
11200||84.77||||
11201||16.5||||
11300||95.51||||
11301||114.39||||
11302||128.7||||
11303||142.31||||
11305||99.33||||
11306||115.24||||
11307||130.21||||
11308||136.8||||
11310||109.44||||
11311||128.14||||
11312||145.93||||
11313||168.66||||
11400||119.85||||
11401||145.5||||
11402||159.78||||
11403||182.88||||
11404||206.82||||
11406||289.85||||
11420||119.13||||
11421||148.69||||
11422||166.3||||
11423||188.9||||
11424||216.74||||
11426||300.07||||
11440||134.46||||
11441||161.88||||
11442||179.43||||
11443||210.54||||
11444||259.62||||
11446||348.76||||
11720||30.21||||
11721||40.71||||
11730||107.09||||
11732||30.75||||
11740||53.48||||
11750||148.11||||
11765||154.79||||
11900||52.93||||
11901||64.31||||
11980||85.81||||
11982||112.43||||
11983||181.31||||
12001||86.58||||
12002||104.2||||
12004||120.54||||
12005||161.01||||
12006||186.47||||
12007||281.46||||
12011||103.33||||
12013||107.45||||
12014||130.43||||
12015||156.69||||
12016||198.99||||
12017||325.76||||
12018||380.12||||
12020||277.94||||
12021||162.51||||
12031||246.24||||
12032||283.47||||
12034||310.5||||
12035||359.14||||
12036||395.87||||
12037||441.94||||
12041||246.88||||
12042||288.47||||
12044||354.96||||
12045||382.9||||
12046||457.46||||
12047||499.89||||
12051||264.77||||
12052||293.82||||
12053||339.12||||
12054||356.78||||
12055||469.29||||
12056||535.41||||
12057||560.76||||
13100||317.61||||
13101||370.23||||
13102||107.03||||
13120||330.85||||
13121||395.48||||
13122||116.48||||
13131||360.43||||
13132||436.66||||
13133||153.16||||
13151||391.81||||
13152||458.53||||
13153||168.45||||
13160||708.75||||
15851||50.4||||
16020||78.9||||
17000||69.8||||
17003||6.33||||
17004||157.33||||
17106||316.32||||
17107||410.23||||
17108||686.15||||
17110||106.86||||
17111||124.18||||
17250||82.1||||
17281||166.91||||
17340||47.42||||
19000||94.83||||
19100||138.62||||
20520||201.01||||
20550||52.58||||
20551||52.58||||
20552||52.49||||
20553||56.22||||
20600||48.23||||
20604||75.69||||
20605||50.14||||
20606||81.92||||
20610||58.61||||
20611||91.25||||
20612||58.74||||
24640||113.55||||
27096||293.74||||
29000||324.97||||
29010||254.5||||
29015||272.38||||
29035||244.97||||
29040||272.8||||
29044||304.91||||
29046||310.13||||
29049||121.0||||
29055||207.24||||
29058||138.12||||
29065||92.7||||
29075||82.65||||
29085||88.77||||
29086||71.48||||
29105||76.09||||
29125||61.65||||
29126||71.89||||
29130||37.97||||
29131||49.08||||
29200||35.0||||
29240||35.74||||
29260||28.29||||
29280||52.12||||
29305||247.58||||
29325||252.82||||
29345||124.12||||
29355||130.0||||
29358||148.09||||
29365||113.9||||
29405||85.26||||
29425||83.77||||
29435||130.68||||
29440||50.63||||
29445||136.63||||
29450||131.57||||
29505||82.14||||
29515||65.9||||
29520||32.31||||
29530||29.78||||
29540||25.61||||
29550||17.51||||
29580||58.48||||
29581||84.24||||
29584||77.63||||
29700||57.37||||
29705||57.06||||
29710||111.11||||
29720||90.1||||
29730||58.04||||
29740||89.51||||
29750||96.83||||
30300||199.41||||
30901||147.26||||
30903||231.53||||
30905||331.84||||
30906||351.04||||
36410||16.03||||
38222||163.07||||
40804||175.37||||
40805||263.93||||
43762||216.09||||
46600||112.75||||
49082||199.17||||
49083||276.89||||
49450||640.36||||
51702||99.46||||
51798||59.2||||
54050||133.47||||
54056||133.6||||
56405||136.42||||
56420||173.94||||
56440||202.68||||
56441||169.0||||
56442||87.11||||
56501||180.42||||
56515||255.4||||
56605||88.54||||
56606||34.96||||
56620||608.04||||
56625||760.05||||
56630||1013.4||||
56631||1479.06||||
56632||1447.14||||
56633||1166.93||||
56634||1525.67||||
56700||184.42||||
56740||282.75||||
56800||243.22||||
56805||1036.96||||
56810||248.28||||
56820||125.61||||
56821||162.5||||
57000||202.68||||
57010||412.68||||
57020||115.29||||
57061||156.71||||
57065||228.04||||
57100||94.62||||
57105||163.85||||
57106||485.69||||
57107||1294.23||||
57109||1536.0||||
57110||804.28||||
57111||1536.0||||
57120||608.04||||
57130||213.65||||
57135||228.79||||
57150||53.94||||
57155||364.39||||
57156||211.59||||
57160||68.06||||
57180||186.58||||
57200||301.02||||
57210||355.17||||
57220||354.69||||
57230||378.17||||
57240||548.84||||
57250||550.83||||
57260||693.6||||
57265||774.96||||
57267||218.67||||
57268||457.07||||
57270||725.48||||
57280||857.91||||
57282||619.57||||
57283||623.94||||
57284||813.25||||
57285||618.47||||
57287||668.84||||
57288||775.25||||
57291||493.24||||
57292||737.83||||
57295||451.2||||
57296||851.36||||
57300||734.72||||
57305||912.06||||
57307||1013.4||||
57308||644.52||||
57320||734.72||||
57330||682.33||||
57335||1047.62||||
57400||114.11||||
57410||93.45||||
57415||158.69||||
57420||136.26||||
57421||161.73||||
57423||824.73||||
57425||863.04||||
57426||778.57||||
57452||115.93||||
57454||153.04||||
57455||147.15||||
57456||138.9||||
57460||292.89||||
57461||325.25||||
57465||49.32||||
57500||143.89||||
57505||145.19||||
57510||153.85||||
57511||184.97||||
57513||219.91||||
57520||324.05||||
57522||277.68||||
57530||338.58||||
57531||1573.52||||
57540||705.81||||
57545||742.65||||
57550||608.04||||
57555||734.72||||
57556||734.72||||
57558||202.68||||
57700||326.74||||
57720||304.02||||
57800||71.76||||
58100||93.0||||
58110||44.57||||
58120||272.38||||
58140||829.48||||
58145||509.19||||
58146||1023.47||||
58150||899.16||||
58152||1096.0||||
58180||849.86||||
58200||1190.55||||
58210||1611.86||||
58240||2595.46||||
58260||810.72||||
58262||824.23||||
58263||883.23||||
58267||1053.94||||
58270||881.66||||
58275||912.06||||
58280||941.6||||
58285||1262.15||||
58290||1020.22||||
58291||1101.64||||
58292||1160.46||||
58294||1078.42||||
58346||453.19||||
58350||144.92||||
58353||1067.62||||
58356||2334.87||||
58520||712.74||||
58541||710.9||||
58542||739.45||||
58543||800.08||||
58544||865.95||||
58545||798.74||||
58546||984.88||||
58548||1667.2||||
58550||783.5||||
58552||870.81||||
58553||990.14||||
58554||1152.61||||
58558||1278.35||||
58559||262.98||||
58560||274.63||||
58561||380.53||||
58562||401.81||||
58563||2043.34||||
58570||719.17||||
58571||807.81||||
58572||920.96||||
58573||1078.58||||
58575||1710.98||||
58660||602.32||||
58662||632.08||||
58674||722.21||||
58720||676.11||||
58740||801.18||||
58800||331.27||||
58805||608.04||||
58820||307.97||||
58822||638.47||||
58900||608.04||||
58920||637.79||||
58925||682.74||||
58940||608.04||||
58943||1039.38||||
58950||1026.87||||
58951||1278.1||||
58952||1461.15||||
58953||1770.15||||
58954||1912.75||||
58956||1205.29||||
58957||1408.27||||
58958||1467.57||||
58960||887.42||||
59000||104.75||||
59001||151.7||||
59012||171.1||||
59015||137.76||||
59020||63.55||||
59025||43.87||||
59030||95.01||||
59050||81.07||||
59051||74.48||||
59070||350.83||||
59072||441.84||||
59074||335.79||||
59076||441.84||||
59100||743.12||||
59120||709.86||||
59121||709.74||||
59130||821.9||||
59136||841.12||||
59140||367.13||||
59150||688.93||||
59151||673.79||||
59160||248.64||||
59300||208.18||||
59320||129.38||||
59325||219.91||||
59350||699.25||||
59400||2091.21||||
59409||685.07||||
59414||88.91||||
59510||2297.54||||
59514||771.01||||
59525||407.28||||
59610||2173.65||||
59612||768.69||||
59618||2320.13||||
59620||795.73||||
59812||324.38||||
59820||396.16||||
59821||388.32||||
59830||408.33||||
59870||479.39||||
59871||134.78||||
62270||121.83||||
69200||74.15||||
69205||87.39||||
69209||14.57||||
69210||43.2||||
76801||110.81||||
76802||56.53||||
76805||127.94||||
76810||82.36||||
76811||164.15||||
76812||180.01||||
76813||109.85||||
76814||69.52||||
76815||76.53||||
76816||103.35||||
76817||87.23||||
76819||78.86||||
76820||41.72||||
76821||83.45||||
76825||247.73||||
76826||148.67||||
76827||65.42||||
76828||45.77||||
90480||40.0||||
90785||13.36||||
90791||163.08||||
90792||175.74||||
90832||67.83||||
90833||62.12||||
90834||89.64||||
90836||78.73||||
90837||131.97||||
90838||104.13||||
90839||126.55||||
90840||62.46||||
90846||86.64||||
90847||89.65||||
90849||33.88||||
90853||23.96||||
90880||93.88||||
91065||79.98||||
91318||65.36||||
91319||87.78||||
91320||131.1||||
91321||145.92||||
91322||145.92||||
92502||85.82||||
92551||11.37||||
92552||33.77||||
92558||8.52||||
92587||41.0||||
92625||62.38||||
92950||299.11||||
93000||28.7||||
93005||16.4||||
93010||12.3||||
