SVC_CD|MODIFIER_1|FEE|AGE_UNIT|FROM_AGE|THROUGH_AGE|PLACE_OF_SERVICE_CODE
C9047||720.45||||
C9101||1.13||||
C9144||0.48||||
C9145||1.81||||
C9254||0.36||||
C9290||1.43||||
C9293||384.8||||
C9460||17.84||||
C9462||0.47||||
C9488||44.57||||
C9507||750.5||||
J0121||3.66||||
J0122||1.13||||
J0129||43.16||||
J0131||0.05||||
J0132||0.7||||
J0133||0.06||||
J0134||0.05||||
J0136||0.06||||
J0137||0.05||||
J0153||0.6||||
J0171||0.75||||
J0172||5.98||||
J0174||1.35||||
J0177||328.13||||
J0178||862.28||||
J0179||325.24||||
J0180||218.34||||
J0184||9.0||||
J0185||1.73||||
J0202||2324.34||||
J0206||5.55||||
J0207||1071.41||||
J0208||91.34||||
J0210||40.0||||
J0216||2.96||||
J0217||400.0||||
J0218||376.97||||
J0219||76.02||||
J0220||206.64||||
J0221||197.28||||
J0222||99.98||||
J0223||112.08||||
J0224||319.56||||
J0225||4947.38||||
J0248||6.06||||
J0256||4.88||||
J0257||5.35||||
J0278||0.83||||
J0283||4.75||||
J0285||9.54||||
J0287||10.5||||
J0288||21.03||||
J0289||26.66||||
J0290||1.01||||
J0291||3.6||||
J0300||183.26||||
J0330||1.32||||
J0348||0.46||||
J0349||9.75||||
J0360||5.59||||
J0391||45.27||||
J0400||0.76||||
J0401||6.81||||
J0402||5.88||||
J0456||2.6||||
J0457||2.54||||
J0461||0.08||||
J0470||56.42||||
J0475||177.8||||
J0476||37.44||||
J0480||4476.27||||
J0485||3.87||||
J0490||52.0||||
J0491||17.18||||
J0500||24.97||||
J0515||16.44||||
J0517||169.5||||
J0558||17.58||||
J0561||21.73||||
J0565||39.86||||
J0567||106.6||||
J0577||427.0||||
J0578||1708.0||||
J0584||443.5||||
J0585||6.33||||
J0586||8.24||||
J0587||13.03||||
J0588||5.19||||
J0593||85.28||||
J0595||2.8||||
J0596||33.51||||
J0597||64.36||||
J0598||62.56||||
J0599||11.0||||
J0606||3.75||||
J0612||0.05||||
J0613||0.09||||
J0630||1069.5||||
J0636||0.75||||
J0638||124.33||||
J0640||4.47||||
J0641||0.07||||
J0642||1.53||||
J0650||10.21||||
J0651||9.65||||
J0652||7.49||||
J0665||0.01||||
J0670||3.29||||
J0688||1.04||||
J0689||1.23||||
J0690||0.76||||
J0691||0.68||||
J0694||5.08||||
J0696||0.49||||
J0698||5.03||||
J0699||2.17||||
J0701||5.64||||
J0702||6.82||||
J0703||5.27||||
J0712||3.84||||
J0714||95.45||||
J0716||5246.1||||
J0717||4.82||||
J0720||48.65||||
J0725||23.17||||
J0735||19.27||||
J0736||1.9||||
J0737||1.75||||
J0739||6.35||||
J0740||554.19||||
J0741||22.6||||
J0742||2.46||||
J0775||66.27||||
J0780||3.43||||
J0791||127.1||||
J0795||9.13||||
J0801||4095.32||||
J0802||3449.08||||
J0834||27.11||||
J0840||1949.92||||
J0841||912.08||||
J0850||1807.87||||
J0873||0.05||||
J0874||0.08||||
J0875||15.29||||
J0877||0.07||||
J0878||0.04||||
J0879||0.23||||
J0881||2.93||||
J0882||2.93||||
J0883||2.4||||
J0884||2.4||||
J0885||8.89||||
J0887||1.62||||
J0888||1.62||||
J0891||1.82||||
J0892||1.82||||
J0893||0.78||||
J0894||1.69||||
J0895||8.6||||
J0896||39.97||||
J0897||25.2||||
J0898||3.9||||
J0899||3.9||||
J1000||35.75||||
J1010||0.22||||
J1050||0.57||||
J1071||0.03||||
J1095||1.15||||
J1100||0.12||||
J1110||42.34||||
J1120||28.12||||
J1130||0.21||||
J1160||9.41||||
J1162||4777.44||||
J1165||0.63||||
J1170||4.59||||
J1200||0.8||||
J1201||15.07||||
J1203||85.0||||
J1205||121.35||||
J1230||19.67||||
J1250||9.85||||
J1260||6.17||||
J1265||0.77||||
J1267||0.76||||
J1270||0.38||||
J1290||539.33||||
J1300||225.69||||
J1301||21.82||||
J1302||17.77||||
J1303||221.77||||
J1304||150.84||||
J1305||179.14||||
J1306||12.13||||
J1322||280.91||||
J1323||171.72||||
J1335||12.97||||
J1364||80.78||||
J1380||9.24||||
J1410||372.15||||
J1412||11328.13||||
J1426||160.0||||
J1427||56.4||||
J1428||160.0||||
J1429||160.0||||
J1437||18.86||||
J1439||1.15||||
J1442||0.99||||
J1445||0.18||||
J1447||0.44||||
J1448||5.2||||
J1449||29.68||||
J1451||15.0||||
J1453||0.14||||
J1454||173.55||||
J1455||69.4||||
J1456||0.44||||
J1458||462.99||||
J1459||48.29||||
J1460||50.73||||
J1551||13.89||||
J1554||491.41||||
J1555||15.92||||
J1556||72.96||||
J1557||55.15||||
J1558||14.18||||
J1559||12.95||||
J1560||507.26||||
J1561||49.79||||
J1562||11.95||||
J1566||78.5||||
J1568||44.98||||
J1569||44.15||||
J1571||59.62||||
J1572||52.94||||
J1573||95.33||||
J1574||50.0||||
J1575||17.09||||
J1576||66.44||||
J1580||2.69||||
J1596||0.62||||
J1597||1.7||||
J1598||2.55||||
J1599||106.5||||
J1600||22.51||||
J1602||12.34||||
J1610||188.37||||
J1611||123.83||||
J1626||0.38||||
J1627||5.67||||
J1628||130.32||||
J1630||1.42||||
J1631||8.78||||
J1632||74.5||||
J1640||31.35||||
J1642||0.02||||
J1643||4.58||||
J1644||0.27||||
J1650||0.68||||
J1670||578.61||||
J1720||17.85||||
J1729||13.64||||
J1738||3.13||||
J1740||25.6||||
J1741||2.7||||
J1743||542.92||||
J1745||32.16||||
J1746||74.62||||
J1747||60.22||||
J1748||429.24||||
J1750||17.32||||
J1756||0.22||||
J1786||44.02||||
J1790||8.95||||
J1800||9.32||||
J1805||0.26||||
J1806||0.45||||
J1811||6.8||||
J1812||1.66||||
J1813||15.57||||
J1814||1.62||||
J1815||1.09||||
J1823||473.51||||
J1826||2010.5||||
J1836||0.02||||
J1885||0.49||||
J1920||0.19||||
J1921||2.56||||
J1930||48.44||||
J1931||37.44||||
J1932||48.78||||
J1939||0.67||||
J1940||0.57||||
J1941||2245.1||||
J1943||3.09||||
J1944||3.11||||
J1945||536.09||||
J1950||1564.6||||
J1951||131.82||||
J1952||59.8||||
J1953||0.06||||
J1961||21.93||||
J2001||0.03||||
J2010||9.84||||
J2020||3.3||||
J2021||20.06||||
J2060||1.12||||
J2150||2.6||||
J2175||7.3||||
J2182||30.51||||
J2184||2.11||||
J2186||2.16||||
J2210||19.6||||
J2247||0.34||||
J2248||0.76||||
J2249||2.07||||
J2250||0.14||||
J2251||0.28||||
J2265||2.51||||
J2267||41.89||||
J2270||4.67||||
J2272||7.43||||
J2274||11.24||||
J2277||23.79||||
J2278||9.04||||
J2281||5.81||||
J2300||2.81||||
J2305||1.29||||
J2310||7.29||||
J2311||5.76||||
J2315||3.96||||
J2323||24.45||||
J2325||70.6||||
J2326||1149.17||||
J2327||15.36||||
J2329||67.66||||
J2350||59.75||||
J2353||210.83||||
J2354||1.19||||
J2356||18.59||||
J2357||39.46||||
J2358||2.92||||
J2359||0.95||||
J2360||9.71||||
J2371||0.01||||
J2372||0.18||||
J2401||0.04||||
J2402||0.31||||
J2404||0.09||||
J2405||0.1||||
J2406||40.92||||
J2407||27.6||||
J2425||28.56||||
J2426||14.32||||
J2427||12.21||||
J2430||8.87||||
J2469||0.85||||
J2501||0.67||||
J2503||785.5||||
J2504||367.96||||
J2506||50.68||||
J2507||3371.08||||
J2508||206.76||||
J2510||43.38||||
J2515||61.7||||
J2540||0.77||||
J2547||1.58||||
J2550||3.59||||
J2560||31.43||||
J2561||1.33||||
J2562||172.88||||
J2590||3.14||||
J2598||1.82||||
J2599||0.46||||
J2675||0.91||||
J2679||7.55||||
J2680||9.15||||
J2690||146.32||||
J2700||1.05||||
J2704||0.13||||
J2710||1.06||||
J2720||1.66||||
J2724||15.07||||
J2760||446.8||||
J2765||1.09||||
J2777||36.09||||
J2778||187.55||||
J2781||151.46||||
J2782||105.0||||
J2785||61.15||||
J2786||10.17||||
J2788||23.8||||
J2790||81.16||||
J2791||4.83||||
J2792||32.96||||
J2793||25.69||||
J2794||12.15||||
J2796||96.03||||
J2797||0.89||||
J2798||11.62||||
J2799||24.7||||
J2800||5.66||||
J2801||12.29||||
J2805||133.1||||
J2820||59.32||||
J2840||510.5||||
J2850||32.81||||
J2860||148.94||||
J2916||2.37||||
J2919||0.41||||
J2997||88.97||||
J2998||30.0||||
J3010||0.97||||
J3031||3.14||||
J3032||18.06||||
J3055||64.75||||
J3060||45.03||||
J3070||108.39||||
J3090||1.78||||
J3095||7.05||||
J3105||7.79||||
J3111||10.73||||
J3145||1.84||||
J3230||29.79||||
J3240||2021.17||||
J3241||328.0||||
J3243||0.74||||
J3244||2.5||||
J3245||140.66||||
J3260||2.66||||
J3262||6.12||||
J3285||56.38||||
J3299||48.58||||
J3300||4.03||||
J3301||0.95||||
J3303||3.61||||
J3304||17.54||||
J3315||413.59||||
J3316||3310.13||||
J3357||153.96||||
J3358||12.62||||
J3360||5.47||||
J3370||2.31||||
J3371||5.97||||
J3372||6.58||||
J3380||22.06||||
J3385||367.41||||
J3396||11.53||||
J3397||256.0||||
J3398||2833.33||||
J3410||9.91||||
J3420||1.44||||
J3424||4.85||||
J3425||0.01||||
J3430||2.9||||
J3475||0.69||||
J3486||9.76||||
J3489||7.21||||
J7030||2.69||||
J7040||1.35||||
J7042||1.59||||
J7050||0.67||||
J7060||1.93||||
J7070||3.86||||
J7120||2.59||||
J7165||3.15||||
J7168||2.98||||
J7169||125.0||||
J7170||50.65||||
J7177||1.1||||
J7178||1.38||||
J7316||1046.93||||
J7318||6.14||||
J7320||5.74||||
J7321||73.1||||
J7322||17.26||||
J7323||127.3||||
J7324||130.64||||
J7325||9.12||||
J7327||714.37||||
J7328||0.49||||
J7331||24.68||||
J7332||10.27||||
J7519||0.73||||
J9000||3.28||||
J9015||5551.47||||
J9017||15.78||||
J9019||427.27||||
J9020||64.56||||
J9021||50.96||||
J9022||85.01||||
J9023||92.37||||
J9025||0.35||||
J9027||21.39||||
J9032||48.88||||
J9033||9.19||||
J9034||14.76||||
J9035||74.07||||
J9036||13.09||||
J9037||45.28||||
J9039||145.57||||
J9040||21.02||||
J9041||1.96||||
J9042||230.61||||
J9043||210.45||||
J9045||3.6||||
J9046||45.8||||
J9047||47.09||||
J9048||45.8||||
J9049||1.52||||
J9050||271.47||||
J9051||3.43||||
J9052||18.4||||
J9055||73.72||||
J9056||33.45||||
J9058||20.78||||
J9059||20.78||||
J9060||4.04||||
J9061||19.98||||
J9063||65.71||||
J9065||15.77||||
J9071||1.79||||
J9072||3.65||||
J9073||3.66||||
J9074||2.8||||
J9075||2.49||||
J9100||0.97||||
J9118||72.88||||
J9119||27.46||||
J9120||668.9||||
J9130||3.73||||
J9144||49.05||||
J9145||61.71||||
J9150||35.67||||
J9153||231.76||||
J9155||4.19||||
J9171||1.0||||
J9173||80.71||||
J9175||9.7||||
J9176||7.38||||
J9177||35.03||||
J9178||1.38||||
J9179||134.02||||
J9181||0.99||||
J9185||173.97||||
J9190||3.22||||
J9196||8.78||||
J9198||40.28||||
J9200||3722.04||||
J9201||3.65||||
J9203||226.28||||
J9204||234.17||||
J9205||62.02||||
J9206||1.95||||
J9207||128.07||||
J9208||26.75||||
J9209||1.37||||
J9210||375.66||||
J9214||32.57||||
J9217||181.3||||
J9223||200.01||||
J9227||76.5||||
J9228||172.42||||
J9229||2580.15||||
J9230||321.72||||
J9245||148.02||||
J9246||16.49||||
J9247||503.5||||
J9259||15.45||||
J9260||3.03||||
J9261||110.98||||
J9263||0.07||||
J9264||14.29||||
J9266||25781.46||||
J9267||0.11||||
J9269||325.56||||
J9271||55.73||||
J9272||233.26||||
J9273||168.31||||
J9274||208.93||||
J9280||63.35||||
J9285||52.07||||
J9286||2707.93||||
J9293||43.58||||
J9294||10.55||||
J9295||5.74||||
J9296||9.89||||
J9297||1.3||||
J9298||187.15||||
J9299||31.09||||
J9301||70.34||||
J9302||60.34||||
J9303||150.66||||
J9304||62.32||||
J9305||4.37||||
J9306||15.43||||
J9307||289.14||||
J9308||70.24||||
J9309||124.29||||
J9311||37.41||||
J9312||79.2||||
J9313||23.39||||
J9314||19.49||||
J9316||67.05||||
J9317||34.08||||
J9318||31.99||||
J9319||31.96||||
J9320||349.23||||
J9321||53.8||||
J9322||9.61||||
J9323||6.01||||
J9325||66.59||||
J9328||10.4||||
J9330||30.99||||
J9331||109.29||||
J9332||32.08||||
J9333||21.61||||
J9334||31.3||||
J9340||251.21||||
J9345||29.83||||
J9347||136.09||||
J9348||609.77||||
J9349||13.6||||
J9350||629.64||||
J9351||0.78||||
J9352||338.4||||
J9353||47.05||||
J9354||38.37||||
J9355||80.47||||
J9356||66.02||||
J9358||27.24||||
J9359||200.63||||
J9360||4.22||||
J9370||7.73||||
J9376||86.54||||
J9380||30.85||||
J9381||36.26||||
J9390||7.42||||
