SVC_CD|MODIFIER_1|FEE|AGE_UNIT|FROM_AGE|THROUGH_AGE|PLACE_OF_SERVICE_CODE
A9513||279.48||||
A9542||3490.46||||
A9543||61774.82||||
A9590||324.85||||
A9592||929.46||||
A9595||551.96||||
A9596||968.2||||
A9602||498.87||||
A9604||16287.34||||
A9606||164.1||||
A9607||227.59||||
A9800||800.0||||
C9170||1500.0||||
C9171||35.38||||
C9254||0.37||||
C9293||411.74||||
C9460||19.09||||
J0121||3.88||||
J0122||1.21||||
J0132||0.57||||
J0133||0.04||||
J0136||0.05||||
J0137||0.05||||
J0138||0.23||||
J0153||0.42||||
J0174||1.34||||
J0177||335.71||||
J0178||835.4||||
J0179||331.23||||
J0180||222.93||||
J0202||2348.84||||
J0217||420.0||||
J0218||381.83||||
J0219||77.6||||
J0221||201.67||||
J0222||99.35||||
J0248||6.35||||
J0256||4.83||||
J0257||5.39||||
J0283||2.42||||
J0285||46.9||||
J0289||21.63||||
J0291||3.59||||
J0348||0.53||||
J0349||10.12||||
J0456||2.18||||
J0480||4581.22||||
J0491||17.33||||
J0565||39.89||||
J0567||110.86||||
J0596||34.78||||
J0597||67.77||||
J0598||64.28||||
J0606||3.93||||
J0612||0.04||||
J0636||1.0||||
J0641||0.02||||
J0642||1.7||||
J0687||1.08||||
J0688||1.06||||
J0689||1.27||||
J0699||2.27||||
J0701||5.69||||
J0703||5.13||||
J0712||4.03||||
J0714||100.2||||
J0740||544.73||||
J0742||2.52||||
J0775||68.68||||
J0791||127.39||||
J0840||1894.15||||
J0841||1056.39||||
J0850||1812.14||||
J0872||0.33||||
J0873||0.03||||
J0874||0.07||||
J0875||15.79||||
J0877||0.06||||
J0878||0.02||||
J0883||2.51||||
J0884||2.51||||
J0891||3.96||||
J0892||3.96||||
J0893||2.0||||
J0894||1.43||||
J1110||47.11||||
J1165||0.5||||
J1201||14.96||||
J1203||88.14||||
J1250||7.58||||
J1265||0.79||||
J1270||0.33||||
J1300||225.47||||
J1301||21.82||||
J1302||18.1||||
J1303||221.21||||
J1305||182.66||||
J1322||288.54||||
J1364||69.79||||
J1434||3.05||||
J1437||20.65||||
J1439||1.13||||
J1448||5.28||||
J1451||13.01||||
J1453||0.17||||
J1454||687.15||||
J1455||67.52||||
J1456||2.04||||
J1458||475.67||||
J1459||48.67||||
J1551||14.53||||
J1554||491.4||||
J1555||16.89||||
J1556||75.17||||
J1557||54.57||||
J1558||14.4||||
J1559||13.19||||
J1561||49.58||||
J1566||79.9||||
J1568||47.74||||
J1569||45.07||||
J1573||88.99||||
J1576||69.77||||
J1602||11.37||||
J1626||0.3||||
J1640||32.12||||
J1741||2.93||||
J1743||544.92||||
J1745||31.71||||
J1746||77.25||||
J1747||61.42||||
J1756||0.23||||
J1786||43.74||||
J1800||8.75||||
J1805||0.26||||
J1806||0.4||||
J1823||483.84||||
J1836||0.03||||
J1920||0.17||||
J1921||2.13||||
J1931||38.63||||
J1939||0.62||||
J1953||0.06||||
J2002||0.01||||
J2020||2.62||||
J2021||14.34||||
J2150||2.89||||
J2183||1.6||||
J2184||2.11||||
J2246||0.9||||
J2247||0.49||||
J2248||0.42||||
J2252||0.07||||
J2265||2.45||||
J2270||3.24||||
J2272||4.55||||
J2281||7.56||||
J2305||1.34||||
J2323||24.07||||
J2327||14.99||||
J2329||70.05||||
J2350||60.25||||
J2372||0.17||||
J2373||0.21||||
J2406||41.93||||
J2407||28.12||||
J2425||31.61||||
J2430||11.67||||
J2469||0.98||||
J2470||4.07||||
J2471||3.0||||
J2501||0.98||||
J2507||3447.06||||
J2508||217.09||||
J2601||3.75||||
J2690||412.74||||
J2700||0.94||||
J2704||0.09||||
J2710||1.04||||
J2720||0.89||||
J2724||15.01||||
J2777||34.82||||
J2778||137.63||||
J2781||149.07||||
J2782||110.46||||
J2786||10.09||||
J2792||33.72||||
J2805||142.52||||
J2860||153.16||||
J2916||2.14||||
J2997||91.34||||
J2998||32.99||||
J3032||18.66||||
J3060||44.57||||
J3090||1.81||||
J3095||7.06||||
J3105||3.66||||
J3241||336.14||||
J3243||0.58||||
J3247||17.56||||
J3263||39.27||||
J3285||55.48||||
J3300||23.6||||
J3304||17.83||||
J3358||12.88||||
J3370||2.0||||
J3371||5.94||||
J3372||6.48||||
J3380||22.88||||
J3385||369.48||||
J3396||11.52||||
J3397||263.7||||
J3398||3045.83||||
J3424||4.99||||
J3489||5.73||||
J7030||2.69||||
J7040||1.35||||
