SVC_CD|MODIFIER_1|FEE|AGE_UNIT|FROM_AGE|THROUGH_AGE|PLACE_OF_SERVICE_CODE
1494F||29.0||||
59409||544.28||||
59612||544.28||||
59620||544.72||||
59840||250.85||||
90785||3.88||||
90791||128.08||||
90792||103.25||||
90832||52.87||||
90833||34.49||||
90834||67.16||||
90836||56.02||||
90837||98.02||||
90838||90.57||||
90839||38.01||||
90840||18.98||||
90846||86.64||||
90847||89.65||||
90849||31.85||||
90853||3.47||||
90870||75.77||||
90880||52.11||||
90935||56.6||||
90937||153.36||||
90940||103.51||||
90945||72.16||||
90947||108.24||||
90951||821.0||||
90954||664.1||||
90955||377.8||||
90956||256.0||||
90957||535.3||||
90958||361.9||||
90959||237.4||||
90960||240.0||||
90961||193.2||||
90962||139.3||||
90963||459.7||||
90964||381.5||||
90965||363.0||||
90966||190.9||||
90967||16.7||||
90968||12.8||||
90969||12.5||||
90970||6.7||||
90989||667.4||||
90993||27.86||||
90997||87.67||||
91010||69.11||||
91013||20.74||||
91020||92.09||||
91022||95.0||||
91030||40.46||||
91034||77.61||||
91035||102.43||||
91037||134.22||||
91038||113.84||||
91040||416.6||||
91065||27.03||||
91110||804.29||||
91112||1081.07||||
91113||889.25||||
91122||60.37||||
91132||94.04||||
91133||112.85||||
91200||32.05||||
92002||37.15||||
92004||49.78||||
92012||37.15||||
92014||38.43||||
92015||8.01||||
92018||47.88||||
92019||43.1||||
92020||19.21||||
92025||26.82||||
92060||33.78||||
92071||32.04||||
92072||101.93||||
92081||32.95||||
92082||34.07||||
92083||30.51||||
92100||28.93||||
92132||26.44||||
92133||32.25||||
92134||32.25||||
92136||67.14||||
92201||22.11||||
92202||14.02||||
92227||10.72||||
92228||26.66||||
92230||46.44||||
92235||81.73||||
92240||73.99||||
92242||207.76||||
92250||42.13||||
92260||32.8||||
92265||42.24||||
92270||33.29||||
92273||122.88||||
92274||82.66||||
92283||16.79||||
92284||20.39||||
92310||36.4||||
92311||36.67||||
92312||43.83||||
92313||32.95||||
92314||36.04||||
92315||36.04||||
92316||47.68||||
92317||26.55||||
92325||12.21||||
92340||10.77||||
92341||15.9||||
92342||21.88||||
92352||10.77||||
92353||15.9||||
92370||6.3||||
92371||6.3||||
92502||61.76||||
92504||16.65||||
92507||29.72||||
92508||20.64||||
92511||41.79||||
92512||24.58||||
92516||19.65||||
92520||30.13||||
92521||74.98||||
92522||64.11||||
92523||130.58||||
92524||62.08||||
92526||33.82||||
92533||27.86||||
92537||35.33||||
92538||17.93||||
92540||82.13||||
92541||14.57||||
92542||13.93||||
92544||13.93||||
92545||13.93||||
92546||13.93||||
92547||13.93||||
92550||17.67||||
92551||10.2||||
92552||15.3||||
92553||20.4||||
92555||11.2||||
92556||27.0||||
92557||40.86||||
92562||7.7||||
92563||7.16||||
92565||9.29||||
92568||9.28||||
92570||26.84||||
92571||9.53||||
92572||2.08||||
92575||7.44||||
92576||12.07||||
92577||13.61||||
92579||25.43||||
92582||38.06||||
92587||41.0||||
92588||51.26||||
92590||34.36||||
92591||34.36||||
92594||20.32||||
92595||37.3||||
92597||81.89||||
92601||114.93||||
92602||80.56||||
92603||77.32||||
92604||52.68||||
92605||34.76||||
92606||34.76||||
92607||95.97||||
92608||18.8||||
92609||51.95||||
92610||48.78||||
92611||39.95||||
92612||114.92||||
92613||33.73||||
