SVC_CD|MODIFIER_1|FEE|AGE_UNIT|FROM_AGE|THROUGH_AGE|PLACE_OF_SERVICE_CODE
10180||23.45||||
11004||67.82||||
11005||90.78||||
11006||85.25||||
11008||34.32||||
11010||45.05||||
11011||56.59||||
11012||76.69||||
11720||3.72||||
11721||6.7||||
11762||32.76||||
11771||59.2||||
11772||85.26||||
11960||72.6||||
11970||77.07||||
11971||32.76||||
11981||41.7||||
11982||22.34||||
11983||36.11||||
12017||65.15||||
12018||75.95||||
12046||32.02||||
12047||68.88||||
12055||46.17||||
12056||71.11||||
12057||75.2||||
13132||50.63||||
13133||17.5||||
13152||67.39||||
13153||18.99||||
13160||109.83||||
14000||44.68||||
14001||58.45||||
14020||50.63||||
14021||67.39||||
14040||67.39||||
14041||84.51||||
14060||84.51||||
14061||148.18||||
14301||177.59||||
14302||37.97||||
14350||100.52||||
15002||54.03||||
15003||11.91||||
15004||65.03||||
15005||20.1||||
15040||43.19||||
15100||53.24||||
15110||133.28||||
15111||20.85||||
15115||124.72||||
15116||26.81||||
15120||92.7||||
15130||111.32||||
15131||17.13||||
15135||133.66||||
15136||15.64||||
15220||58.82||||
15240||67.39||||
15260||84.51||||
15570||115.41||||
15572||109.46||||
15574||116.16||||
15576||63.29||||
15600||33.51||||
15610||37.23||||
15620||50.63||||
15630||50.63||||
15731||179.33||||
15734||188.01||||
15736||173.49||||
15738||188.01||||
15740||101.27||||
15750||84.51||||
15756||369.69||||
15757||372.3||||
15758||370.44||||
15760||84.51||||
15769||84.88||||
15770||89.35||||
15780||90.84||||
15781||33.88||||
15782||33.88||||
15788||22.71||||
15789||36.49||||
15792||16.01||||
15793||24.94||||
15821||104.24||||
15840||223.38||||
15841||249.44||||
15842||253.16||||
15845||149.29||||
15920||50.63||||
15922||115.04||||
15931||75.95||||
15933||107.97||||
15934||135.52||||
15935||166.42||||
15936||136.63||||
15937||156.37||||
15940||98.66||||
15941||139.61||||
15944||128.07||||
15945||141.85||||
15946||198.06||||
15950||83.02||||
15951||126.95||||
15952||126.95||||
15953||158.6||||
15956||162.7||||
15958||167.91||||
16035||50.26||||
16036||14.89||||
19020||35.0||||
19110||76.69||||
19112||68.13||||
19125||48.03||||
19126||24.2||||
19294||27.59||||
19300||91.51||||
19301||66.71||||
19302||138.5||||
19303||152.58||||
19305||174.58||||
19306||181.94||||
19307||183.86||||
19316||91.96||||
19318||197.32||||
19325||134.03||||
19328||64.41||||
19330||85.63||||
19340||104.24||||
19342||101.27||||
19350||133.66||||
19357||141.85||||
19361||280.1||||
19364||341.4||||
19367||210.72||||
19368||293.37||||
19369||345.12||||
19370||50.63||||
19371||84.51||||
19380||102.38||||
19396||43.19||||
20100||69.99||||
20101||22.34||||
20102||26.81||||
20103||36.11||||
20150||147.06||||
20250||58.08||||
20251||72.23||||
20525||58.08||||
20664||71.11||||
20696||147.8||||
20697||212.96||||
20802||461.28||||
20805||635.14||||
20808||704.39||||
20822||381.61||||
20824||469.1||||
20827||409.53||||
20838||510.8||||
20912||89.35||||
20924||87.12||||
20931||16.75||||
20937||25.69||||
20938||27.92||||
20939||11.51||||
20955||463.89||||
20956||398.36||||
20957||390.92||||
20962||455.32||||
20969||479.15||||
20970||492.93||||
20972||444.53||||
20973||510.05||||
20985||22.34||||
21010||84.51||||
21011||53.98||||
21012||56.22||||
21013||83.02||||
21014||86.37||||
21015||98.66||||
21016||172.0||||
21025||59.2||||
21029||89.35||||
21031||41.7||||
21032||41.33||||
21040||37.23||||
21044||68.13||||
21045||169.02||||
21046||82.71||||
21047||119.65||||
21048||85.7||||
21049||112.81||||
21060||134.03||||
21070||84.51||||
21110||66.27||||
21120||148.92||||
21121||134.03||||
21122||148.92||||
21123||148.92||||
21127||190.62||||
21137||134.03||||
21138||163.81||||
21139||163.81||||
21141||207.74||||
21142||215.56||||
21143||224.12||||
21145||185.41||||
21146||203.28||||
21147||223.38||||
21150||246.09||||
21151||202.53||||
21154||219.28||||
21155||219.28||||
21159||269.92||||
21160||269.92||||
21172||269.92||||
21175||295.23||||
21179||251.3||||
21180||253.16||||
21181||148.92||||
21182||295.23||||
21183||295.23||||
21184||295.23||||
21188||243.48||||
21193||178.7||||
21194||223.38||||
21195||185.41||||
21196||208.49||||
21198||88.61||||
21199||178.7||||
21206||223.38||||
21208||123.98||||
21209||95.31||||
21210||148.92||||
21215||148.92||||
21230||134.03||||
21235||101.27||||
21240||176.84||||
21242||166.42||||
21243||236.04||||
21244||157.48||||
21245||158.97||||
21246||142.59||||
21247||247.58||||
21248||127.7||||
21249||202.53||||
21255||223.38||||
21256||223.38||||
21260||158.23||||
21261||332.09||||
21263||311.24||||
21267||286.67||||
21268||317.94||||
21270||118.02||||
21275||178.33||||
21280||78.18||||
21282||77.07||||
21295||46.17||||
21296||64.41||||
21325||33.51||||
21330||70.74||||
21335||126.58||||
21336||47.65||||
21338||96.43||||
21339||110.95||||
21340||148.18||||
21343||162.7||||
21344||142.59||||
21345||59.2||||
21346||101.27||||
21347||194.71||||
21348||93.08||||
21356||55.1||||
21360||59.2||||
21365||109.46||||
21366||110.95||||
21385||101.27||||
21386||101.27||||
21387||101.27||||
21390||118.02||||
21395||141.85||||
21400||40.58||||
21401||52.49||||
21406||104.62||||
21407||104.24||||
21408||94.19||||
21421||59.2||||
21422||97.54||||
21423||105.36||||
21431||59.2||||
21432||101.27||||
21433||266.94||||
21435||191.73||||
21436||215.19||||
21445||42.07||||
21451||75.95||||
21452||66.64||||
21453||67.39||||
21454||74.09||||
21461||119.14||||
21462||121.0||||
21465||101.27||||
21470||190.0||||
21480||14.15||||
21490||136.26||||
21497||53.24||||
21501||51.01||||
21510||87.49||||
21552||74.09||||
21554||121.0||||
21555||66.27||||
21556||79.67||||
21557||133.66||||
21558||226.36||||
21600||54.36||||
21601||204.43||||
21602||276.85||||
21603||305.2||||
21610||89.35||||
21615||128.82||||
21616||139.24||||
21620||112.06||||
21627||146.31||||
21630||242.37||||
21632||223.01||||
21700||84.51||||
21705||101.27||||
21720||67.39||||
21725||75.95||||
21740||215.56||||
21750||162.32||||
21811||102.75||||
21812||123.23||||
21813||167.91||||
21820||23.08||||
21825||126.21||||
21920||15.26||||
21925||53.98||||
21930||74.09||||
21931||77.07||||
21932||110.95||||
21933||121.74||||
21935||167.16||||
21936||234.92||||
22010||132.91||||
22015||131.79||||
22100||96.05||||
22101||99.4||||
22102||76.69||||
22103||23.45||||
22110||123.98||||
22112||124.72||||
22114||107.97||||
22116||23.45||||
22206||344.75||||
22207||340.28||||
22208||86.0||||
22210||209.6||||
22212||206.63||||
22214||194.34||||
22216||61.43||||
22220||212.96||||
22222||190.99||||
22224||202.9||||
22226||61.06||||
22310||27.55||||
22315||79.67||||
22318||195.46||||
22319||220.77||||
22325||145.2||||
22326||202.53||||
22327||202.53||||
22328||46.91||||
22513||93.43||||
22514||87.12||||
22515||39.02||||
22532||164.74||||
22533||156.05||||
22534||41.4||||
22548||273.64||||
22551||284.58||||
22552||65.75||||
22554||216.68||||
22556||256.89||||
22558||242.0||||
22585||56.59||||
22586||244.6||||
22590||239.02||||
22595||225.24||||
22600||191.36||||
22610||188.76||||
22612||238.64||||
22614||65.52||||
22630||224.87||||
22632||53.24||||
22633||302.97||||
22634||80.51||||
22800||206.63||||
22802||338.05||||
22804||367.09||||
22808||251.67||||
22810||273.27||||
22812||330.6||||
22818||344.01||||
22819||385.7||||
22830||133.66||||
22840||73.72||||
22842||81.91||||
22843||102.38||||
22844||124.72||||
22845||71.85||||
22846||94.56||||
22847||104.99||||
22848||68.13||||
22849||143.71||||
22850||106.11||||
22852||106.85||||
22853||43.93||||
22854||56.59||||
22855||96.05||||
22856||246.09||||
22857||185.39||||
22858||84.56||||
22859||56.59||||
22861||298.58||||
22862||228.63||||
22864||273.27||||
22865||222.26||||
22868||40.95||||
22870||23.83||||
22900||80.79||||
22901||108.71||||
22902||71.48||||
22903||72.6||||
22904||168.65||||
22905||218.91||||
23000||50.63||||
23020||92.7||||
23030||56.22||||
23035||152.64||||
23040||92.7||||
23044||92.7||||
23071||68.88||||
23073||113.55||||
23076||97.91||||
23077||187.27||||
23078||227.85||||
23100||89.35||||
23101||86.37||||
23105||122.86||||
23106||123.6||||
23107||92.7||||
23120||71.85||||
23125||123.6||||
23130||71.85||||
23140||50.63||||
23145||75.95||||
23146||75.95||||
23150||80.04||||
23155||105.36||||
23156||105.36||||
23174||122.11||||
23180||77.81||||
23182||82.65||||
23184||81.16||||
23190||59.2||||
23195||128.07||||
23200||166.42||||
23210||165.3||||
23220||189.87||||
23333||78.93||||
23334||184.29||||
23335||219.28||||
23395||189.87||||
23397||191.73||||
23400||180.19||||
23405||64.04||||
23406||74.83||||
23410||118.02||||
23412||118.02||||
23415||67.39||||
23420||151.9||||
23430||101.27||||
23440||101.27||||
23450||143.34||||
23455||160.09||||
23460||168.65||||
23462||168.65||||
23465||143.34||||
23466||173.86||||
23470||168.65||||
23473||271.03||||
23474||292.63||||
23480||84.51||||
23485||109.46||||
23490||154.88||||
23491||183.17||||
23515||75.95||||
23520||35.74||||
23530||84.51||||
23532||97.17||||
23550||95.68||||
23552||107.97||||
23585||101.27||||
23615||101.27||||
23616||234.92||||
23620||45.79||||
23630||96.8||||
23660||95.68||||
23670||101.27||||
23680||118.02||||
23800||168.65||||
23802||168.65||||
23900||202.53||||
23920||151.9||||
23921||67.39||||
23930||32.39||||
23935||108.34||||
24000||74.46||||
24006||80.79||||
24071||67.01||||
24073||114.3||||
24075||67.39||||
24076||67.39||||
24079||210.35||||
24100||74.46||||
24101||80.04||||
24102||104.24||||
24105||40.58||||
24110||80.04||||
24115||105.36||||
24116||105.36||||
24120||67.39||||
24125||84.51||||
24126||84.51||||
24130||67.39||||
24134||155.62||||
24136||96.43||||
24138||105.36||||
24140||82.28||||
24145||60.68||||
24147||59.57||||
24149||162.7||||
24150||182.05||||
24152||126.21||||
24155||134.4||||
24160||55.47||||
24164||42.81||||
24201||76.69||||
24300||60.31||||
24301||122.49||||
24305||55.47||||
24310||45.42||||
24320||134.03||||
24330||67.39||||
24331||67.39||||
24332||82.28||||
24340||104.24||||
24341||89.72||||
24342||126.21||||
24343||109.08||||
24344||163.81||||
24345||109.08||||
24346||163.81||||
24357||63.29||||
24358||74.46||||
24359||97.54||||
24360||141.47||||
24361||171.26||||
24365||107.59||||
24366||92.7||||
24370||256.89||||
24371||295.61||||
24400||101.27||||
24410||118.02||||
24420||147.43||||
24430||143.34||||
24435||168.65||||
24470||59.2||||
24495||116.16||||
24498||153.39||||
24515||92.7||||
24516||112.43||||
24538||84.51||||
24545||84.51||||
24546||132.54||||
24566||63.66||||
24575||75.95||||
24576||60.68||||
24579||75.95||||
24582||69.62||||
24586||167.16||||
24587||176.1||||
24615||101.27||||
24635||115.04||||
24665||67.39||||
24666||92.7||||
24685||67.39||||
24800||129.93||||
24802||134.77||||
24900||84.51||||
24920||75.95||||
24930||84.51||||
24931||113.92||||
24935||190.25||||
25000||37.23||||
25001||50.26||||
25020||99.78||||
25023||97.17||||
25024||115.79||||
25025||186.52||||
25028||91.21||||
25031||81.91||||
25035||72.6||||
25071||70.36||||
25073||87.86||||
25075||65.52||||
25076||34.35||||
25077||148.92||||
25078||183.92||||
25085||67.39||||
25100||42.07||||
25101||57.33||||
25105||67.39||||
25107||63.29||||
25109||84.46||||
25111||42.07||||
25112||42.07||||
25116||84.51||||
25118||74.46||||
25119||84.51||||
25120||63.66||||
25125||84.51||||
25126||84.51||||
25130||42.07||||
25135||59.2||||
25136||59.2||||
25145||120.63||||
25150||59.94||||
25151||70.74||||
25170||179.45||||
25210||59.2||||
25215||84.51||||
25230||42.07||||
25240||50.63||||
25248||93.08||||
25250||59.2||||
25251||77.81||||
25260||74.83||||
25270||65.15||||
25272||70.74||||
25274||80.04||||
25275||104.99||||
25280||69.62||||
25290||68.13||||
25295||66.64||||
25300||67.39||||
25301||67.39||||
25310||80.04||||
25312||86.0||||
25315||101.27||||
25316||229.34||||
25320||138.5||||
25332||155.62||||
25335||164.93||||
25337||79.3||||
25350||84.51||||
25355||101.27||||
25360||84.51||||
25365||118.02||||
25370||101.27||||
25375||151.9||||
25390||92.7||||
25391||118.02||||
25392||130.68||||
25393||147.43||||
25394||122.49||||
25400||118.02||||
25405||143.34||||
25415||168.65||||
25420||193.97||||
25425||125.47||||
25426||147.43||||
25430||108.71||||
25431||106.85||||
25440||118.02||||
25441||169.02||||
25442||77.07||||
25443||80.04||||
25444||80.04||||
25445||80.04||||
25446||199.93||||
25447||133.66||||
25449||198.81||||
25450||68.88||||
25455||71.85||||
25490||164.56||||
25491||165.67||||
25492||196.95||||
25515||67.39||||
25520||64.78||||
25525||126.21||||
25526||134.03||||
25545||67.39||||
25565||53.24||||
25574||96.05||||
25575||101.27||||
25606||104.0||||
25607||115.86||||
25608||131.98||||
25609||168.2||||
25628||110.95||||
25651||64.04||||
25652||94.94||||
25670||67.39||||
25671||78.56||||
25676||67.39||||
25680||50.63||||
25685||101.27||||
25695||69.99||||
25800||101.27||||
25805||144.08||||
25810||134.77||||
25820||101.27||||
25825||121.37||||
25830||83.4||||
25900||75.95||||
25905||78.56||||
25909||77.07||||
25915||236.04||||
25920||67.39||||
25924||67.39||||
25927||84.51||||
25931||84.51||||
26025||52.12||||
26030||108.34||||
26034||63.66||||
26035||163.81||||
26037||62.17||||
26045||57.71||||
26055||42.07||||
26070||45.05||||
26075||46.91||||
26080||50.63||||
26100||42.07||||
26105||48.4||||
26110||45.42||||
26111||68.5||||
26113||90.47||||
26117||137.38||||
26118||175.73||||
26121||70.36||||
26123||84.51||||
26125||42.07||||
26130||84.51||||
26135||71.85||||
26140||65.9||||
26145||84.51||||
26185||56.59||||
26200||57.71||||
26205||69.25||||
26210||57.33||||
26215||66.64||||
26230||59.57||||
26235||56.96||||
26236||53.24||||
26250||101.27||||
26260||84.51||||
26262||84.51||||
26320||59.2||||
26350||75.2||||
26352||118.02||||
26356||86.75||||
26357||88.24||||
26358||119.88||||
26370||81.16||||
26372||116.53||||
26373||84.51||||
26390||79.3||||
26392||106.85||||
26412||70.36||||
26415||141.85||||
26416||111.32||||
26418||58.45||||
26426||67.76||||
26428||92.7||||
26433||101.27||||
26434||60.68||||
26437||110.95||||
26440||68.13||||
26442||84.88||||
26445||64.78||||
26449||143.34||||
26450||36.49||||
26455||42.07||||
26471||59.2||||
26474||57.33||||
26476||67.39||||
26477||67.39||||
26478||67.39||||
26479||67.39||||
26480||76.69||||
26483||92.7||||
26485||86.0||||
26489||92.7||||
26490||80.04||||
26492||92.7||||
26494||101.27||||
26496||156.74||||
26497||84.51||||
26498||126.58||||
26499||84.51||||
26500||61.8||||
26502||67.39||||
26508||69.99||||
26510||118.76||||
26516||66.64||||
26517||88.61||||
26518||105.36||||
26520||68.88||||
26525||69.62||||
26530||81.16||||
26531||84.88||||
26535||67.39||||
26536||80.04||||
26540||84.51||||
26541||101.27||||
26542||84.51||||
26545||67.39||||
26546||104.62||||
26548||74.09||||
26550||246.09||||
26551||492.93||||
26553||487.71||||
26554||569.25||||
26555||242.74||||
26556||515.64||||
26560||80.04||||
26561||101.27||||
26562||151.53||||
26565||67.39||||
26567||64.78||||
26568||168.65||||
26580||212.21||||
26590||220.4||||
26593||111.69||||
26608||46.91||||
26615||59.2||||
26650||50.63||||
26665||84.51||||
26685||51.01||||
26686||104.24||||
26715||50.63||||
26746||45.05||||
26756||72.97||||
26820||84.51||||
26841||67.76||||
26842||84.51||||
26843||72.23||||
26844||84.51||||
26850||65.9||||
26852||75.58||||
26860||53.24||||
26861||18.62||||
26862||70.74||||
26863||25.32||||
26910||68.13||||
26990||135.14||||
26992||193.97||||
27003||67.39||||
27005||65.9||||
27006||67.39||||
27025||84.51||||
27027||129.93||||
27030||118.02||||
27033||118.02||||
27035||143.34||||
27036||147.06||||
27045||122.49||||
27047||102.75||||
27048||87.86||||
27049||167.54||||
27050||50.63||||
27052||104.24||||
27054||148.92||||
27057||144.08||||
27059||297.47||||
27060||42.07||||
27062||40.95||||
27066||80.04||||
27067||187.64||||
27070||93.45||||
27071||101.27||||
27075||218.17||||
27076||263.96||||
27077||281.46||||
27078||183.17||||
27080||50.63||||
27087||107.97||||
27090||118.02||||
27091||135.14||||
27097||119.51||||
27098||120.63||||
27100||126.58||||
27105||134.77||||
27110||151.9||||
27111||139.24||||
27120||202.53||||
27122||168.65||||
27125||208.49||||
27130||297.84||||
27134||320.18||||
27137||247.58||||
27140||101.27||||
27146||202.53||||
27147||237.53||||
27151||211.84||||
27156||253.16||||
27161||168.65||||
27165||202.53||||
27170||189.87||||
27175||105.36||||
27176||163.81||||
27177||167.54||||
27178||163.81||||
27179||134.77||||
