CPT Code,CPT Descriptor,Base Unit Value
00100,ANESTH SALIVARY GLAND                   ,4.52
00102,ANESTH REPAIR OF CLEFT LIP              ,5.42
00103,ANESTH BLEPHAROPLASTY                   ,4.52
00104,ANESTH ELECTROSHOCK                     ,3.61
00120,ANESTH EAR SURGERY                      ,4.52
00124,ANESTH EAR EXAM                         ,3.61
00126,ANESTH TYMPANOTOMY                      ,3.61
00140,ANESTH PROCEDURES ON EYE                ,4.52
00142,ANESTH LENS SURGERY                     ,5.42
00144,ANESTH CORNEAL TRANSPLANT               ,5.42
00145,ANESTH VITREORETINAL SURG               ,5.42
00147,ANESTH IRIDECTOMY                       ,3.61
00148,ANESTH EYE EXAM                         ,3.61
00160,ANESTH NOSE/SINUS SURGERY               ,4.52
00162,ANESTH NOSE/SINUS SURGERY               ,6.32
00164,ANESTH BIOPSY OF NOSE                   ,3.61
00170,ANESTH PROCEDURE ON MOUTH               ,4.52
00172,ANESTH CLEFT PALATE REPAIR              ,5.42
00174,ANESTH PHARYNGEAL SURGERY               ,5.42
00176,ANESTH PHARYNGEAL SURGERY               ,6.32
00190,ANESTH FACE/SKULL BONE SURG             ,4.52
00192,ANESTH FACIAL BONE SURGERY              ,6.32
00210,ANESTH CRANIAL SURG NOS                 ,9.93
00212,ANESTH SKULL DRAINAGE                   ,4.52
00214,ANESTH SKULL DRAINAGE                   ,8.13
00215,ANESTH SKULL REPAIR/FRACT               ,8.13
00216,ANESTH HEAD VESSEL SURGERY              ,13.55
00218,ANESTH SPECIAL HEAD SURGERY             ,11.74
00220,ANESTH INTRCRN NERVE                    ,9.03
00222,ANESTH HEAD NERVE SURGERY               ,5.42
00300,ANESTH HEAD/NECK/PTRUNK                 ,4.52
00320,ANESTH NECK ORGAN 1YR/>                 ,5.42
00322,ANESTH BIOPSY OF THYROID                ,2.71
00326,ANESTH LARYNX/TRACH < 1 YR              ,7.22
00350,ANESTH NECK VESSEL SURGERY              ,9.03
00352,ANESTH NECK VESSEL SURGERY              ,4.52
00400,ANESTH SKIN EXT/PER/ATRUNK              ,2.71
00402,ANESTH SURGERY OF BREAST                ,4.52
00404,ANESTH SURGERY OF BREAST                ,4.52
00406,ANESTH SURGERY OF BREAST                ,11.74
00410,ANESTH CORRECT HEART RHYTHM             ,3.61
00450,ANESTH SURGERY OF SHOULDER              ,4.52
00454,ANESTH COLLAR BONE BIOPSY               ,2.71
00470,ANESTH REMOVAL OF RIB                   ,5.42
00472,ANESTH CHEST WALL REPAIR                ,9.03
00474,ANESTH SURGERY OF RIB                   ,11.74
00500,ANESTH ESOPHAGEAL SURGERY               ,13.55
00520,ANESTH CHEST PROCEDURE                  ,5.42
00522,ANESTH CHEST LINING BIOPSY              ,3.61
00524,ANESTH CHEST DRAINAGE                   ,3.61
00528,ANES MEDIASCPY & DX THORSCPY            ,7.22
00529,ANES MEDSCPY&THORSCPY 1 LUNG            ,9.93
00530,ANESTH PACEMAKER INSERTION              ,3.61
00532,ANESTH VASCULAR ACCESS                  ,3.61
00534,ANESTH CARDIOVERTER/DEFIB               ,6.32
00537,ANESTH CARDIAC ELECTROPHYS              ,6.32
00539,ANESTH TRACH-BRONCH RECONST             ,16.25
00540,ANESTH CHEST SURGERY                    ,11.74
00541,ANESTH ONE LUNG VENTILATION             ,13.55
00542,ANESTHESIA REMOVAL PLEURA               ,13.55
00546,ANESTH LUNG CHEST WALL SURG             ,13.55
00548,ANESTH TRACHEA BRONCHI SURG             ,13.55
00550,ANESTH STERNAL DEBRIDEMENT              ,9.03
00560,ANESTH HEART SURG W/O PUMP              ,13.55
00561,ANESTH HEART SURG < 1 YR                ,22.58
00562,ANESTH HRT SURG W/PMP AGE 1+            ,18.06
00563,ANESTH HEART SURG W/ARREST              ,22.58
00566,ANESTH CABG W/O PUMP                    ,22.58
00580,ANESTH HEART/LUNG TRANSPLNT             ,18.06
00600,ANESTH SPINE CORD SURGERY               ,9.03
00604,ANESTH SITTING PROCEDURE                ,11.74
00620,ANESTH SPINE CORD SURGERY               ,9.03
00625,ANES SPINE TRANTHOR W/O VENT            ,11.74
00626,ANES SPINE TRANSTHOR W/VENT             ,13.55
00630,ANESTH SPINE CORD SURGERY               ,7.22
00632,ANESTH REMOVAL OF NERVES                ,6.32
00635,ANESTH LUMBAR PUNCTURE                  ,3.61
00640,ANESTH SPINE MANIPULATION               ,2.71
00670,ANESTH SPINE CORD SURGERY               ,11.74
00700,ANESTH ABDOMINAL WALL SURG              ,2.71
00702,ANESTH FOR LIVER BIOPSY                 ,3.61
00730,ANESTH ABDOMINAL WALL SURG              ,4.52
00731,ANES UPR GI NDSC PX NOS                 ,5.0
00732,ANES UPR GI NDSC PX ERCP                ,6.0
00750,ANESTH REPAIR OF HERNIA                 ,3.61
00752,ANESTH REPAIR OF HERNIA                 ,5.42
00754,ANESTH REPAIR OF HERNIA                 ,6.32
00756,ANESTH REPAIR OF HERNIA                 ,6.32
00770,ANESTH BLOOD VESSEL REPAIR              ,13.55
00790,ANESTH SURG UPPER ABDOMEN               ,6.32
