SVC_CD|MODIFIER_1|FEE|AGE_UNIT|FROM_AGE|THROUGH_AGE|PLACE_OF_SERVICE_CODE
70010||50.04||||
70015||89.01||||
70030||24.68||||
70100||25.1||||
70110||34.04||||
70120||25.98||||
70130||45.84||||
70134||45.84||||
70140||25.98||||
70150||37.28||||
70160||24.79||||
70170||43.28||||
70190||25.98||||
70200||37.89||||
70210||21.62||||
70220||33.35||||
70240||21.62||||
70250||25.98||||
70260||40.22||||
70300||8.63||||
70310||17.3||||
70320||34.61||||
70328||24.45||||
70330||38.09||||
70332||68.0||||
70350||14.55||||
70355||16.04||||
70360||17.3||||
70370||38.09||||
70380||27.7||||
70390||41.33||||
70450||101.27||||
70460||142.83||||
70470||168.04||||
70480||152.34||||
70481||175.41||||
70482||206.28||||
70486||123.35||||
70487||146.65||||
70488||179.54||||
70490||144.01||||
70491||178.55||||
70492||214.84||||
70496||266.02||||
70498||265.18||||
70540||222.97||||
70542||264.84||||
70543||333.68||||
70544||210.94||||
70545||222.78||||
70546||324.17||||
70547||211.59||||
70548||240.58||||
70549||339.06||||
70551||190.16||||
70552||264.23||||
70553||311.06||||
70554||373.98||||
70555||99.01||||
70557||171.75||||
70558||177.25||||
70559||166.78||||
71045||17.67||||
71046||27.48||||
71047||35.27||||
71048||37.87||||
71100||27.16||||
71101||32.32||||
71110||33.31||||
71111||42.4||||
71120||25.98||||
71130||25.98||||
71250||127.32||||
71260||160.94||||
71270||191.61||||
71271||131.79||||
71275||270.91||||
71550||338.6||||
71551||374.13||||
71552||472.42||||
71555||329.74||||
72020||17.3||||
72040||25.98||||
72050||40.0||||
72052||50.31||||
72070||28.04||||
72072||30.83||||
72074||35.11||||
72080||27.39||||
72081||34.72||||
72082||56.31||||
72083||61.12||||
72084||73.11||||
72100||30.29||||
72110||43.85||||
72114||52.91||||
72120||34.61||||
72125||124.99||||
72126||163.08||||
72127||192.38||||
72128||124.68||||
72129||164.34||||
72130||193.14||||
72131||124.34||||
72132||163.08||||
72133||192.07||||
72141||185.65||||
72142||270.65||||
72146||185.35||||
72147||267.74||||
72148||186.0||||
72149||265.53||||
72156||313.24||||
72157||313.58||||
72158||312.29||||
72159||340.97||||
72170||21.62||||
72190||31.55||||
72191||274.89||||
72192||127.59||||
72193||204.45||||
72194||236.34||||
72195||226.34||||
72196||265.03||||
72197||332.91||||
72198||331.39||||
72200||21.62||||
72202||29.57||||
72220||25.02||||
72240||87.55||||
72255||87.02||||
72265||81.98||||
72270||112.92||||
72285||100.47||||
72295||87.48||||
73000||20.78||||
73010||21.39||||
73020||17.3||||
73030||25.86||||
73040||50.69||||
73050||25.9||||
73060||20.78||||
73070||20.78||||
73080||25.98||||
73085||71.82||||
73090||20.78||||
73092||20.78||||
73100||17.3||||
73110||25.14||||
73115||41.14||||
73120||17.3||||
73130||25.14||||
73140||15.59||||
73200||158.57||||
73201||196.77||||
73202||247.35||||
73206||291.05||||
73218||303.23||||
73219||329.93||||
73220||390.48||||
