SVC_CD|MODIFIER_1|FEE|AGE_UNIT|FROM_AGE|THROUGH_AGE|PLACE_OF_SERVICE_CODE
10004||45.05||||
10005||111.69||||
10006||51.75||||
10007||259.49||||
10008||145.57||||
10009||428.52||||
10010||256.89||||
10021||73.34||||
10030||133.28||||
10035||492.55||||
10036||430.75||||
10040||48.03||||
10060||42.44||||
10061||75.76||||
10080||55.1||||
10081||115.53||||
10120||51.75||||
10121||93.91||||
10140||49.89||||
10160||46.91||||
10180||117.65||||
11000||19.73||||
11001||10.42||||
11004||339.12||||
11005||453.92||||
11006||426.26||||
11008||171.58||||
11010||225.24||||
11011||282.58||||
11012||384.96||||
11042||103.87||||
11043||156.74||||
11044||202.53||||
11045||14.6||||
11046||31.27||||
11047||54.36||||
11055||16.75||||
11056||25.32||||
11057||26.81||||
11102||89.35||||
11103||48.03||||
11104||112.06||||
11105||54.73||||
11106||135.89||||
11107||64.78||||
11200||31.65||||
11201||12.66||||
11300||26.43||||
11301||33.88||||
11302||39.09||||
11303||46.91||||
11305||25.69||||
11306||35.37||||
11307||39.84||||
11308||50.63||||
11310||32.02||||
11311||39.46||||
11312||43.19||||
11313||54.73||||
11400||58.08||||
11401||65.52||||
11402||71.85||||
11403||81.16||||
11404||88.61||||
11406||193.22||||
11420||53.24||||
11421||67.01||||
11422||74.09||||
11423||86.75||||
11424||101.27||||
11426||240.13||||
11440||64.41||||
11441||74.46||||
11442||80.04||||
11443||99.03||||
11444||122.86||||
11446||278.48||||
11450||117.65||||
11451||155.62||||
11462||113.18||||
11463||161.95||||
11470||135.52||||
11471||174.24||||
11600||69.25||||
11601||79.3||||
11602||84.51||||
11603||168.28||||
11604||181.68||||
11606||227.1||||
11620||84.51||||
11621||126.58||||
11622||166.79||||
11623||183.54||||
11624||209.6||||
11626||269.55||||
11640||126.58||||
11641||168.65||||
11642||186.15||||
11643||230.83||||
11644||279.23||||
11646||354.43||||
11720||19.73||||
11721||33.13||||
11730||32.02||||
11732||14.89||||
11740||19.59||||
11750||84.51||||
11755||61.8||||
11760||100.52||||
11762||163.07||||
11765||52.87||||
11770||97.17||||
