SVC_CD|MODIFIER_1|FEE|AGE_UNIT|FROM_AGE|THROUGH_AGE|PLACE_OF_SERVICE_CODE
90284||22.08||||
90371||142.04||||
90375||282.2||||
90376||175.36||||
90377||254.95||||
90378||1786.75||||
90380||499.46||||
90381||499.46||||
90396||2187.03||||
90471||4.46||||
90472||4.46||||
90585||161.53||||
90587||105.44||||
90611||0.01||||
90619||159.82||||
90620||215.03||||
90621||183.41||||
90622||0.01||||
90626||285.46||||
90627||285.46||||
90630||24.8||||
90632||74.54||||
90633||40.91||||
90636||124.36||||
90644||27.67||||
90647||33.42||||
90648||16.16||||
90649||164.72||||
90650||132.59||||
90651||291.25||||
90653||63.99||||
90654||20.36||||
90655||30.51||||
90656||24.23||||
90657||10.48||||
90658||22.7||||
90662||77.86||||
90670||262.45||||
90671||250.66||||
90673||45.07||||
90674||38.63||||
90675||333.01||||
90677||293.12||||
90678||299.46||||
90679||284.46||||
90682||77.86||||
90685||22.82||||
90686||26.81||||
90687||14.9||||
90688||25.34||||
90691||126.42||||
90694||81.82||||
90696||60.85||||
90697||146.55||||
90698||109.9||||
90700||30.23||||
90702||69.05||||
90707||94.7||||
90710||271.61||||
90713||44.35||||
90714||33.11||||
90715||43.13||||
90716||178.03||||
90717||183.99||||
90723||93.34||||
90732||137.93||||
90733||126.88||||
90734||152.25||||
90736||217.13||||
90738||272.54||||
90739||164.74||||
90740||156.58||||
90743||78.31||||
90744||34.36||||
90746||74.84||||
90747||145.21||||
90748||46.35||||
90750||187.87||||
90756||36.83||||
90759||78.28||||
91304||148.2||||
91318||65.36||||
91319||87.78||||
91320||131.1||||
91321||145.92||||
91322||145.92||||
