SVC_CD|MODIFIER_1|FEE|AGE_UNIT|FROM_AGE|THROUGH_AGE|PLACE_OF_SERVICE_CODE
65205||6.74||||
65210||117.27||||
65220||13.48||||
65222||20.21||||
65430||137.75||||
65435||42.07||||
65436||163.44||||
67820||13.48||||
67938||273.27||||
68761||125.47||||
68801||136.63||||
90480||40.0||||
90585||167.81||||
90625||229.46||||
90660||17.88||||
90672||32.25||||
90680||99.67||||
90681||113.21||||
90690||111.13||||
92002||32.8||||
92004||39.44||||
92012||22.59||||
92014||39.44||||
92015||8.01||||
92020||16.4||||
92025||26.82||||
92060||33.78||||
92071||32.04||||
92072||101.93||||
92081||16.4||||
92082||22.14||||
92083||22.14||||
92100||28.93||||
92132||32.24||||
92133||39.33||||
92134||39.33||||
92227||10.72||||
92228||26.66||||
92250||42.13||||
92310||36.4||||
92311||36.4||||
92312||36.4||||
92340||10.77||||
92341||15.9||||
92342||21.88||||
92352||10.77||||
92353||15.9||||
92370||6.3||||
92371||6.3||||
93005||7.43||||
93041||16.07||||
98940||16.72||||
98941||16.72||||
98942||16.72||||
99056||7.5||||
99202||34.3||||
99203||57.2||||
99204||68.9||||
99205||82.7||||
99211||12.0||||
99212||11.41||||
99213||24.0||||
99214||37.5||||
99215||57.2||||
99242||47.2||||
99243||59.5||||
99358||42.2||||
99359||21.1||||
99417||28.38||||
A4217||6.0||||
A4267||14.99||||
A4268||10.83||||
A4269||14.99||||
A4280||3.0||||
A4556||12.02||||
A4557||16.05||||
A4595||17.44||||
A4602||3.97||||
A4604||55.57||||
A4615||0.85||||
A4619||2.1||||
A4620||0.74||||
A4635||4.1||||
A4636||2.91||||
A4637||1.54||||
A5500||47.49||||
A5501||142.43||||
A5503||21.12||||
A5504||21.12||||
A5505||21.12||||
A5506||21.12||||
A5507||21.12||||
A5512||19.38||||
A5513||28.91||||
A6544||11.5||||
A6545||71.56||||
A6550||21.0||||
A7000||9.35||||
A7001||38.51||||
A7005||24.46||||
A7015||1.79||||
A7020||16.85||||
A7027||174.73||||
A7028||47.41||||
A7029||20.29||||
A7030||143.93||||
A7031||53.74||||
A7032||30.81||||
A7033||22.85||||
A7034||89.85||||
A7035||30.13||||
A7036||14.98||||
A7037||27.18||||
A7038||3.87||||
A7039||11.05||||
A7044||106.57||||
A7046||17.15||||
A7048||36.66||||
A8000||122.68||||
A8001||122.68||||
B4164||16.25||||
B4168||23.7||||
B4176||45.85||||
B4178||55.03||||
B4180||23.33||||
B4185||10.74||||
B4216||7.38||||
C9088||0.74||||
C9143||1.58||||
C9169||89.5||||
C9285||16.95||||
C9360||9.0||||
C9361||212.09||||
C9362||40.7||||
C9363||14.3||||
C9364||14.14||||
E0167||9.6||||
E0182||251.33||||
E0241||14.62||||
