SVC_CD|MODIFIER_1|FEE|AGE_UNIT|FROM_AGE|THROUGH_AGE|PLACE_OF_SERVICE_CODE
J0129||43.73||||
J0171||0.81||||
J0185||1.72||||
J0206||5.49||||
J0223||112.28||||
J0224||318.49||||
J0225||4932.11||||
J0278||0.79||||
J0290||0.88||||
J0330||1.26||||
J0360||4.11||||
J0401||7.01||||
J0402||5.92||||
J0457||2.13||||
J0461||0.08||||
J0475||177.58||||
J0476||45.94||||
J0490||54.13||||
J0500||20.33||||
J0515||16.29||||
J0517||168.22||||
J0561||23.97||||
J0577||426.97||||
J0578||1707.88||||
J0584||464.74||||
J0585||6.38||||
J0586||8.78||||
J0587||13.06||||
J0588||5.21||||
J0595||3.82||||
J0630||1071.97||||
J0638||126.55||||
J0640||4.43||||
J0670||3.38||||
J0690||0.82||||
J0694||4.48||||
J0696||0.46||||
J0702||7.28||||
J0717||4.46||||
J0725||21.82||||
J0735||17.37||||
J0736||2.39||||
J0737||3.26||||
J0741||22.92||||
J0780||3.64||||
J0801||3479.53||||
J0802||3480.99||||
J0834||21.73||||
J0881||3.06||||
J0882||3.06||||
J0885||8.13||||
J0887||1.08||||
J0888||1.08||||
J0895||6.9||||
J0896||40.68||||
J0897||26.75||||
J1000||39.33||||
J1010||0.14||||
J1120||24.04||||
J1160||7.17||||
J1171||0.29||||
J1200||0.91||||
J1205||63.79||||
J1230||20.69||||
J1290||562.88||||
J1304||150.83||||
J1306||12.21||||
J1323||179.92||||
J1335||10.74||||
J1380||8.32||||
J1410||384.03||||
J1447||0.4||||
J1449||26.17||||
J1460||50.07||||
J1560||500.71||||
J1571||62.78||||
J1575||17.24||||
J1580||2.07||||
J1596||0.46||||
J1598||2.55||||
J1610||189.46||||
J1611||129.67||||
J1627||5.63||||
J1628||133.98||||
J1630||1.16||||
J1631||6.53||||
J1643||3.42||||
J1644||0.23||||
J1650||0.58||||
J1670||564.92||||
J1720||19.85||||
J1740||28.72||||
J1750||17.99||||
J1790||9.31||||
J1811||7.54||||
J1815||0.41||||
J1826||2006.19||||
J1885||0.83||||
J1930||50.03||||
J1932||42.34||||
J1940||0.44||||
J1941||2245.1||||
J1943||3.14||||
J1944||3.22||||
J1950||1673.93||||
J1951||140.0||||
J1952||55.64||||
J1961||21.92||||
J2003||0.04||||
J2010||9.95||||
J2060||1.31||||
J2175||6.02||||
J2182||30.46||||
J2210||20.79||||
J2250||0.14||||
J2251||0.21||||
J2267||34.74||||
J2274||10.48||||
J2278||9.78||||
J2300||3.23||||
J2310||9.34||||
J2311||7.71||||
J2315||4.1||||
J2353||215.48||||
J2354||0.9||||
J2356||18.24||||
J2357||38.33||||
J2359||0.98||||
J2360||9.09||||
J2407||23.66||||
J2426||14.66||||
J2427||12.53||||
J2506||55.13||||
J2540||0.93||||
J2550||3.57||||
J2560||32.77||||
J2562||127.41||||
J2590||2.93||||
J2598||1.93||||
J2599||1.57||||
J2679||7.31||||
J2680||8.92||||
J2760||399.33||||
J2765||0.93||||
J2788||25.88||||
J2790||77.32||||
J2791||4.76||||
J2794||12.16||||
J2798||12.21||||
J2799||25.08||||
J2800||8.1||||
J2801||11.27||||
J2820||60.0||||
J3010||0.84||||
J3055||67.61||||
J3111||11.16||||
J3145||1.89||||
J3230||30.09||||
J3240||2065.84||||
J3245||133.55||||
J3260||2.39||||
J3262||5.95||||
J3301||1.03||||
J3315||458.51||||
J3357||158.16||||
J3360||5.45||||
J3380||18.42||||
J3410||14.5||||
J3420||1.11||||
J3430||2.85||||
J3475||0.5||||
J3486||8.08||||
J7170||52.57||||
J9021||52.6||||
J9025||0.44||||
J9040||25.14||||
J9041||1.73||||
J9049||1.92||||
J9100||0.76||||
J9144||51.0||||
J9155||4.27||||
J9217||180.54||||
J9260||2.58||||
J9266||27014.86||||
J9311||36.53||||
J9316||66.32||||
J9321||54.44||||
J9333||22.83||||
J9356||64.61||||
J9380||31.75||||
J9394||12.26||||
J9395||8.73||||
Q4081||0.81||||
Q5101||0.25||||
Q5105||0.68||||
Q5106||6.82||||
Q5108||147.76||||
Q5110||0.28||||
Q5111||166.05||||
Q5122||79.6||||
Q5125||0.41||||
Q5127||335.39||||
Q5130||194.06||||
Q5135||4.82||||
Q9991||1961.56||||
Q9992||1961.56||||
S0080||127.3||||
S0132||164.07||||
S5552||0.37||||
S5566||46.04||||
S5571||61.7||||
