SVC_CD|MODIFIER_1|FEE|AGE_UNIT|FROM_AGE|THROUGH_AGE|PLACE_OF_SERVICE_CODE
C9047||749.27||||
C9101||1.13||||
C9144||0.48||||
C9145||1.81||||
C9293||407.28||||
C9460||14.63||||
C9462||0.47||||
C9488||44.57||||
C9507||750.5||||
J0129||43.44||||
J0171||0.83||||
J0172||5.98||||
J0177||329.24||||
J0178||817.52||||
J0179||328.11||||
J0180||219.06||||
J0184||9.0||||
J0185||1.77||||
J0202||2333.23||||
J0206||5.0||||
J0207||1071.41||||
J0208||91.34||||
J0210||40.0||||
J0216||2.96||||
J0217||437.54||||
J0218||378.1||||
J0219||73.29||||
J0220||206.64||||
J0221||197.51||||
J0222||94.42||||
J0223||112.14||||
J0224||317.88||||
J0225||4926.0||||
J0248||1.89||||
J0256||0.48||||
J0257||1.12||||
J0278||0.77||||
J0285||44.5||||
J0287||10.5||||
J0288||21.03||||
J0289||18.87||||
J0290||0.78||||
J0300||183.26||||
J0330||1.18||||
J0349||5.66||||
J0360||4.04||||
J0391||45.27||||
J0400||0.76||||
J0401||7.07||||
J0402||5.95||||
J0457||1.97||||
J0461||0.11||||
J0470||56.42||||
J0475||174.58||||
J0476||43.55||||
J0480||4584.31||||
J0490||54.15||||
J0491||12.83||||
J0500||15.87||||
J0515||16.56||||
J0517||167.3||||
J0558||19.52||||
J0561||24.37||||
J0565||35.4||||
J0567||106.4||||
J0577||429.16||||
J0578||1716.62||||
J0584||469.58||||
J0585||6.41||||
J0586||8.63||||
J0587||12.99||||
J0588||5.34||||
J0593||85.28||||
J0595||4.06||||
J0596||30.26||||
J0597||63.9||||
J0598||59.75||||
J0599||11.64||||
J0613||0.09||||
J0630||1173.06||||
J0638||127.81||||
J0640||4.07||||
J0650||10.21||||
J0651||4.75||||
J0652||7.49||||
J0665||0.01||||
J0666||1.56||||
J0670||3.49||||
J0690||0.81||||
J0691||0.68||||
J0694||4.51||||
J0696||0.44||||
J0698||5.03||||
J0701||1.37||||
J0702||7.4||||
J0703||0.51||||
J0714||96.12||||
J0716||5246.1||||
J0717||4.65||||
J0720||48.65||||
J0725||19.18||||
J0735||18.37||||
J0736||2.47||||
J0737||2.82||||
J0739||6.55||||
J0740||523.54||||
J0741||22.9||||
J0775||66.7||||
J0780||3.66||||
J0791||124.08||||
J0795||9.13||||
J0801||3750.08||||
J0802||3416.97||||
J0834||25.09||||
J0840||1757.89||||
J0841||1035.65||||
J0850||1810.48||||
J0870||48.11||||
J0875||11.15||||
J0879||0.23||||
J0881||3.04||||
J0882||3.04||||
J0885||7.53||||
J0887||1.21||||
J0888||1.16||||
J0895||6.78||||
J0896||40.62||||
J0897||26.96||||
