SVC_CD|Modifier_1|FEE|ASOFDATE
G0076||52.81|01-01-2023
G0077||78.68|01-01-2023
G0078||130.69|01-01-2023
G0079||172.3|01-01-2023
G0080||225.26|01-01-2023
G0081||51.65|01-01-2023
G0082||84.11|01-01-2023
G0083||133.26|01-01-2023
G0084||188.54|01-01-2023
G0085||225.26|01-01-2023
G0086||81.65|01-01-2023
G0087||113.76|01-01-2023
G0101||43.75|01-01-2023
G0102||26.7|01-01-2023
G0104||218.77|01-01-2023
G0105||387.17|01-01-2023
G0105|53|193.38|01-01-2023
G0106||262.87|01-01-2023
G0106|TC|198.46|01-01-2023
G0106|26|64.41|01-01-2023
G0108||60.16|01-01-2023
G0109||17.13|01-01-2023
G0117||73.45|01-01-2023
G0118||49.23|01-01-2023
G0120||262.87|01-01-2023
G0120|TC|198.46|01-01-2023
G0120|26|64.41|01-01-2023
G0121||387.41|01-01-2023
G0121|53|193.63|01-01-2023
G0124||25.92|01-01-2023
G0127||27.15|01-01-2023
G0128||10.69|01-01-2023
G0130||41.61|01-01-2023
G0130|TC|29.96|01-01-2023
G0130|26|11.65|01-01-2023
G0141||25.92|01-01-2023
G0166||124.66|01-01-2023
G0168||146.97|01-01-2023
G0179||46.63|01-01-2023
G0180||58.44|01-01-2023
G0181||113.76|01-01-2023
G0182||114.56|01-01-2023
G0237||12.69|01-01-2023
G0238||12.29|01-01-2023
G0239||15.1|01-01-2023
G0245||71.1|01-01-2023
G0246||43.33|01-01-2023
G0247||97.71|01-01-2023
G0248||116.23|01-01-2023
G0249||80.56|01-01-2023
G0250||9.43|01-01-2023
G0268||58.99|01-01-2023
G0270||35.86|01-01-2023
G0271||18.74|01-01-2023
G0276||393.73|01-01-2023
G0277||203.68|01-01-2023
G0278||13.94|01-01-2023
G0279||59.98|01-01-2023
G0279|TC|28.91|01-01-2023
G0279|26|31.06|01-01-2023
G0281||13.45|01-01-2023
G0283||13.45|01-01-2023
G0288||46.63|01-01-2023
G0289||90.04|01-01-2023
G0296||30.64|01-01-2023
G0316||34.23|01-01-2023
G0317||34.23|01-01-2023
G0318||33.42|01-01-2023
G0323||47.48|01-01-2023
G0329||12.81|01-01-2023
G0341||1914.75|01-01-2023
G0342||802.67|01-01-2023
G0343||1311.81|01-01-2023
G0372||9.48|01-01-2023
G0396||37.65|01-01-2023
G0397||73.07|01-01-2023
G0402||182.42|01-01-2023
G0403||16.15|01-01-2023
G0404||7.47|01-01-2023
G0405||8.67|01-01-2023
G0406||44.22|01-01-2023
G0407||77.47|01-01-2023
G0408||112.99|01-01-2023
G0409||27.15|01-01-2023
G0412||790.77|01-01-2023
G0413||1156.35|01-01-2023
G0414||1092.23|01-01-2023
G0415||1480.03|01-01-2023
G0416||411.83|01-01-2023
G0416|TC|222.64|01-01-2023
G0416|26|189.19|01-01-2023
G0420||117.77|01-01-2023
G0421||28.32|01-01-2023
G0422||132.87|01-01-2023
G0423||132.87|01-01-2023
G0425||98.51|01-01-2023
G0426||139.18|01-01-2023
G0427||198.08|01-01-2023
G0429||110.14|01-01-2023
G0438||182.02|01-01-2023
G0439||143.22|01-01-2023
G0442||21.08|01-01-2023
G0443||27.76|01-01-2023
G0444||21.08|01-01-2023
G0445||28.96|01-01-2023
G0446||28.16|01-01-2023
G0447||27.76|01-01-2023
G0451||12.69|01-01-2023
G0452||54.15|01-01-2023
G0452|TC|3.46|01-01-2023
G0452|26|50.69|01-01-2023
G0453||34.28|01-01-2023
G0454||9.43|01-01-2023
G0455||147.2|01-01-2023
G0459||44.26|01-01-2023
G0473||13.61|01-01-2023
G0500||66.27|01-01-2023
G0506||68.42|01-01-2023
G0508||220.26|01-01-2023
G0509||201.47|01-01-2023
G0513||68.69|01-01-2023
G0514||68.69|01-01-2023
G0516||228.18|01-01-2023
G0517||252.39|01-01-2023
G0518||443.04|01-01-2023
G2001||52.81|01-01-2023
G2002||78.68|01-01-2023
G2003||130.69|01-01-2023
G2004||172.3|01-01-2023
G2005||225.26|01-01-2023
G2006||51.65|01-01-2023
G2007||84.11|01-01-2023
G2008||133.26|01-01-2023
G2009||188.54|01-01-2023
G2010||13.45|01-01-2023
G2011||17.8|01-01-2023
G2012||15.37|01-01-2023
G2013||225.26|01-01-2023
G2014||81.65|01-01-2023
G2015||113.76|01-01-2023
G2082||981.02|01-01-2023
G2083||1395.03|01-01-2023
G2086||422.86|01-01-2023
G2087||380.1|01-01-2023
G2088||67.36|01-01-2023
G2212||34.63|01-01-2023
G2213||70.37|01-01-2023
G2214||65.19|01-01-2023
G2250||13.45|01-01-2023
G2251||15.37|01-01-2023
G2252||28.73|01-01-2023
G3002||87.53|01-01-2023
G3003||31.94|01-01-2023
G6001||213.22|01-01-2023
G6001|TC|178.54|01-01-2023
G6001|26|34.68|01-01-2023
G6002||87.23|01-01-2023
G6002|TC|64.9|01-01-2023
G6002|26|22.33|01-01-2023
G6003||183.36|01-01-2023
G6004||154.85|01-01-2023
G6005||155.25|01-01-2023
G6006||154.45|01-01-2023
G6007||285.76|01-01-2023
G6008||213.72|01-01-2023
G6009||212.92|01-01-2023
G6010||211.71|01-01-2023
G6011||285.2|01-01-2023
G6012||281.99|01-01-2023
G6013||282.79|01-01-2023
G6014||281.18|01-01-2023
G6015||431.86|01-01-2023
G6016||431.12|01-01-2023
G9157||98.39|01-01-2023
G9187||53.13|01-01-2023
G9481||18.47|01-01-2023
G9482||34.9|01-01-2023
G9483||54.46|01-01-2023
G9484||91.69|01-01-2023
G9485||119.86|01-01-2023
G9486||18.47|01-01-2023
G9487||36.8|01-01-2023
G9488||56.55|01-01-2023
G9489||79.63|01-01-2023
G9490||52.89|01-01-2023
G9685||198.82|01-01-2023
G9868||28.33|01-01-2023
G9869||37.89|01-01-2023
G9870||47.45|01-01-2023
G9978||30.12|01-01-2023
G9979||51.36|01-01-2023
G9980||81.76|01-01-2023
G9981||136.27|01-01-2023
G9982||181.7|01-01-2023
G9983||30.12|01-01-2023
G9984||58.89|01-01-2023
G9985||89.48|01-01-2023
G9986||129.02|01-01-2023
G9987||53.13|01-01-2023
P3001||25.92|01-01-2023
Q0035||19.76|01-01-2023
Q0035|TC|11.09|01-01-2023
Q0035|26|8.67|01-01-2023
Q0091||49.73|01-01-2023
Q0092||29.56|01-01-2023
0446T||3776.63|01-01-2023
0447T||110.45|01-01-2023
0448T||3753.47|01-01-2023
0503T||1067.2|01-01-2023
0509T||88.14|01-01-2023
0509T|TC|65.3|01-01-2023
0509T|26|22.84|01-01-2023
10004||55.52|01-01-2023
10005||153.85|01-01-2023
10006||65.57|01-01-2023
10007||345.84|01-01-2023
10008||164.82|01-01-2023
10009||510.68|01-01-2023
10010||276.72|01-01-2023
10021||115.4|01-01-2023
10030||765.47|01-01-2023
10035||436.06|01-01-2023
10036||365.85|01-01-2023
10040||134.27|01-01-2023
10060||143.33|01-01-2023
10061||239.49|01-01-2023
10080||295.63|01-01-2023
10081||396.88|01-01-2023
10120||173.87|01-01-2023
10121||299.5|01-01-2023
10140||192.97|01-01-2023
10160||148.02|01-01-2023
10180||298.76|01-01-2023
11000||66.0|01-01-2023
11001||30.88|01-01-2023
11004||591.52|01-01-2023
11005||799.91|01-01-2023
11006||726.68|01-01-2023
11008||282.0|01-01-2023
11010||514.69|01-01-2023
11011||561.26|01-01-2023
11012||732.0|01-01-2023
11042||148.34|01-01-2023
11043||259.23|01-01-2023
11044||342.24|01-01-2023
11045||44.16|01-01-2023
11046||79.28|01-01-2023
11047||130.56|01-01-2023
11055||84.05|01-01-2023
11056||96.19|01-01-2023
11057||104.31|01-01-2023
11102||118.25|01-01-2023
11103||58.21|01-01-2023
11104||146.29|01-01-2023
11105||68.41|01-01-2023
11106||181.27|01-01-2023
11107||82.68|01-01-2023
11200||104.58|01-01-2023
11201||20.09|01-01-2023
11300||118.54|01-01-2023
11301||141.54|01-01-2023
11302||159.15|01-01-2023
11303||175.8|01-01-2023
11305||122.81|01-01-2023
11306||142.46|01-01-2023
11307||160.69|01-01-2023
11308||168.29|01-01-2023
11310||135.59|01-01-2023
11311||158.35|01-01-2023
11312||180.31|01-01-2023
11313||207.91|01-01-2023
11400||148.46|01-01-2023
11401||179.85|01-01-2023
11402||197.36|01-01-2023
11403||225.58|01-01-2023
11404||255.18|01-01-2023
11406||356.64|01-01-2023
11420||147.19|01-01-2023
