SVC_CD|Modifier_1|FEE|ASOFDATE
G0101||29.7|01-01-2023
G0102||9.43|01-01-2023
G0104||60.55|01-01-2023
G0105||195.62|01-01-2023
G0105|53|97.81|01-01-2023
G0121||195.87|01-01-2023
G0121|53|98.06|01-01-2023
G0127||7.87|01-01-2023
G0168||15.26|01-01-2023
G0245||42.18|01-01-2023
G0246||21.24|01-01-2023
G0247||23.02|01-01-2023
G0268||35.7|01-01-2023
G0270||30.24|01-01-2023
G0271||17.13|01-01-2023
G0296||27.43|01-01-2023
G0316||32.62|01-01-2023
G0317||32.62|01-01-2023
G0318||31.82|01-01-2023
G0323||31.02|01-01-2023
G0341||320.14|01-01-2023
G0396||33.64|01-01-2023
G0397||69.46|01-01-2023
G0402||140.66|01-01-2023
G0429||73.19|01-01-2023
G0442||9.83|01-01-2023
G0443||24.55|01-01-2023
G0444||9.83|01-01-2023
G0445||24.14|01-01-2023
G0446||24.55|01-01-2023
G0447||24.55|01-01-2023
G0455||75.72|01-01-2023
G0473||12.41|01-01-2023
G0500||5.64|01-01-2023
G0506||47.14|01-01-2023
G0513||63.47|01-01-2023
G0514||63.87|01-01-2023
G0516||104.49|01-01-2023
G0517||118.67|01-01-2023
G0518||194.47|01-01-2023
G2010||9.83|01-01-2023
G2012||13.36|01-01-2023
G2082||37.35|01-01-2023
G2083||37.35|01-01-2023
G2086||301.19|01-01-2023
G2087||322.27|01-01-2023
G2088||37.25|01-01-2023
G2212||33.42|01-01-2023
G2213||65.56|01-01-2023
G2214||40.7|01-01-2023
G2250||9.83|01-01-2023
G2251||13.36|01-01-2023
G2252||27.12|01-01-2023
G3002||78.7|01-01-2023
G3003||27.12|01-01-2023
Q0091||19.62|01-01-2023
0446T||60.16|01-01-2023
0447T||70.7|01-01-2023
0448T||100.85|01-01-2023
10004||45.08|01-01-2023
10005||77.96|01-01-2023
10006||53.12|01-01-2023
10007||93.65|01-01-2023
10008||53.99|01-01-2023
10009||115.14|01-01-2023
10010||74.34|01-01-2023
10021||58.38|01-01-2023
10030||142.25|01-01-2023
10035||89.51|01-01-2023
10036||45.0|01-01-2023
10040||55.96|01-01-2023
10060||118.43|01-01-2023
10061||203.35|01-01-2023
10080||116.53|01-01-2023
10081||186.06|01-01-2023
10120||117.65|01-01-2023
10121||200.72|01-01-2023
10140||130.33|01-01-2023
10160||107.06|01-01-2023
10180||195.56|01-01-2023
11000||28.65|01-01-2023
11001||15.62|01-01-2023
11010||299.05|01-01-2023
11011||314.7|01-01-2023
11012||442.87|01-01-2023
11042||64.41|01-01-2023
11043||163.65|01-01-2023
11044||238.24|01-01-2023
11045||26.5|01-01-2023
11046||57.2|01-01-2023
11047||101.24|01-01-2023
11055||16.59|01-01-2023
11056||23.1|01-01-2023
11057||30.02|01-01-2023
11102||40.75|01-01-2023
11103||23.27|01-01-2023
11104||50.32|01-01-2023
11105||27.45|01-01-2023
11106||60.39|01-01-2023
11107||32.89|01-01-2023
11200||86.1|01-01-2023
11201||17.68|01-01-2023
11300||36.62|01-01-2023
11301||55.21|01-01-2023
11302||64.38|01-01-2023
11303||76.21|01-01-2023
11305||39.68|01-01-2023
11306||52.51|01-01-2023
11307||67.12|01-01-2023
11308||74.32|01-01-2023
11310||49.26|01-01-2023
11311||67.6|01-01-2023
11312||80.73|01-01-2023
11313||102.7|01-01-2023
11400||94.65|01-01-2023
11401||118.41|01-01-2023
11402||128.69|01-01-2023
11403||165.75|01-01-2023
11404||181.69|01-01-2023
11406||269.9|01-01-2023
11420||91.78|01-01-2023
11421||121.53|01-01-2023
11422||151.23|01-01-2023
11423||173.14|01-01-2023
11424||196.4|01-01-2023
11426||293.3|01-01-2023
11440||120.6|01-01-2023
11441||149.19|01-01-2023
11442||163.89|01-01-2023
11443||198.09|01-01-2023
11444||247.84|01-01-2023
11446||344.94|01-01-2023
11450||288.39|01-01-2023
11451||363.85|01-01-2023
11462||274.38|01-01-2023
11463||366.58|01-01-2023
11470||316.69|01-01-2023
11471||383.42|01-01-2023
11600||135.0|01-01-2023
11601||163.36|01-01-2023
11602||177.67|01-01-2023
