SVC_CD|Modifier_1|FEE|ASOFDATE
G0101||29.3|20230101
G0102||9.3|20230101
G0104||59.82|20230101
G0105||192.9|20230101
G0105|53|96.45|20230101
G0121||193.13|20230101
G0121|53|96.68|20230101
G0127||7.75|20230101
G0168||14.99|20230101
G0245||41.57|20230101
G0246||20.93|20230101
G0247||22.67|20230101
G0268||35.17|20230101
G0270||29.9|20230101
G0271||16.94|20230101
G0296||27.04|20230101
G0316||32.17|20230101
G0317||32.17|20230101
G0318||31.37|20230101
G0323||30.57|20230101
G0341||314.73|20230101
G0396||33.16|20230101
G0397||68.46|20230101
G0402||138.71|20230101
G0429||72.23|20230101
G0442||9.7|20230101
G0443||24.2|20230101
G0444||9.7|20230101
G0445||23.8|20230101
G0446||24.2|20230101
G0447||24.2|20230101
G0455||74.62|20230101
G0473||12.24|20230101
G0500||5.55|20230101
G0506||46.49|20230101
G0513||62.6|20230101
G0514||63.0|20230101
G0516||103.13|20230101
G0517||117.11|20230101
G0518||191.85|20230101
G2010||9.7|20230101
G2012||13.17|20230101
G2082||36.8|20230101
G2083||36.8|20230101
G2086||296.46|20230101
G2087||317.46|20230101
G2088||36.68|20230101
G2212||32.97|20230101
G2213||64.49|20230101
G2214||40.14|20230101
G2250||9.7|20230101
G2251||13.17|20230101
G2252||26.74|20230101
G3002||77.61|20230101
G3003||26.74|20230101
Q0091||19.35|20230101
0446T||59.32|20230101
0447T||69.71|20230101
0448T||99.46|20230101
10004||44.42|20230101
10005||76.79|20230101
10006||52.34|20230101
10007||92.24|20230101
10008||53.04|20230101
10009||113.4|20230101
10010||73.07|20230101
10021||57.52|20230101
10030||140.1|20230101
10035||88.18|20230101
10036||44.32|20230101
10040||55.22|20230101
10060||117.3|20230101
10061||201.13|20230101
10080||115.33|20230101
10081||183.72|20230101
10120||116.46|20230101
10121||198.28|20230101
10140||128.89|20230101
10160||105.9|20230101
10180||193.21|20230101
11000||28.22|20230101
11001||15.38|20230101
11010||295.17|20230101
11011||310.16|20230101
11012||436.56|20230101
11042||63.57|20230101
11043||161.34|20230101
11044||234.71|20230101
11045||26.07|20230101
11046||56.29|20230101
11047||99.63|20230101
11055||16.32|20230101
11056||22.74|20230101
11057||29.56|20230101
11102||40.21|20230101
11103||22.96|20230101
11104||49.63|20230101
11105||27.07|20230101
11106||59.56|20230101
11107||32.43|20230101
11200||85.3|20230101
11201||17.43|20230101
11300||36.12|20230101
11301||54.47|20230101
11302||63.52|20230101
11303||75.19|20230101
11305||39.08|20230101
11306||51.75|20230101
11307||66.18|20230101
11308||73.22|20230101
11310||48.59|20230101
11311||66.7|20230101
11312||79.63|20230101
11313||101.32|20230101
11400||93.75|20230101
11401||117.18|20230101
