SVC_CD|Modifier_1|FEE|ASOFDATE
G0011||28.15|01-01-2024
G0012||15.8|01-01-2024
G0013||26.31|01-01-2024
G0017||223.18|01-01-2024
G0018||110.37|01-01-2024
G0019||88.48|01-01-2024
G0022||54.73|01-01-2024
G0023||88.48|01-01-2024
G0024||54.73|01-01-2024
G0076||52.01|01-01-2024
G0077||77.13|01-01-2024
G0078||126.57|01-01-2024
G0079||165.85|01-01-2024
G0080||218.7|01-01-2024
G0081||50.89|01-01-2024
G0082||82.4|01-01-2024
G0083||129.64|01-01-2024
G0084||183.02|01-01-2024
G0085||218.7|01-01-2024
G0086||78.92|01-01-2024
G0087||110.32|01-01-2024
G0101||42.74|01-01-2024
G0102||26.31|01-01-2024
G0104||212.39|01-01-2024
G0105||375.24|01-01-2024
G0105|53|187.42|01-01-2024
G0106||249.44|01-01-2024
G0106|TC|187.89|01-01-2024
G0106|26|61.55|01-01-2024
G0108||58.59|01-01-2024
G0109||16.97|01-01-2024
G0117||72.1|01-01-2024
G0118||48.25|01-01-2024
G0120||249.44|01-01-2024
G0120|TC|187.89|01-01-2024
G0120|26|61.55|01-01-2024
G0121||375.46|01-01-2024
G0121|53|187.65|01-01-2024
G0124||26.69|01-01-2024
G0127||27.14|01-01-2024
G0128||11.17|01-01-2024
G0130||41.58|01-01-2024
G0130|TC|30.33|01-01-2024
G0130|26|11.25|01-01-2024
G0136||21.22|01-01-2024
G0140||88.48|01-01-2024
G0141||26.69|01-01-2024
G0146||54.73|01-01-2024
G0166||119.76|01-01-2024
G0168||140.56|01-01-2024
G0179||46.53|01-01-2024
G0180||58.79|01-01-2024
G0181||112.17|01-01-2024
G0182||111.95|01-01-2024
G0237||13.13|01-01-2024
G0238||11.95|01-01-2024
G0239||15.08|01-01-2024
G0245||70.81|01-01-2024
G0246||43.17|01-01-2024
G0247||96.1|01-01-2024
G0248||116.63|01-01-2024
G0249||76.86|01-01-2024
G0250||9.1|01-01-2024
G0268||56.86|01-01-2024
G0270||34.74|01-01-2024
G0271||18.14|01-01-2024
G0276||380.04|01-01-2024
G0277||213.2|01-01-2024
G0278||13.4|01-01-2024
G0279||52.04|01-01-2024
G0279|TC|22.68|01-01-2024
G0279|26|29.36|01-01-2024
G0281||12.62|01-01-2024
G0283||12.62|01-01-2024
G0288||49.73|01-01-2024
G0289||86.99|01-01-2024
G0296||29.37|01-01-2024
G0316||33.45|01-01-2024
G0317||33.45|01-01-2024
G0318||32.5|01-01-2024
G0323||58.89|01-01-2024
G0329||12.05|01-01-2024
G0341||1805.64|01-01-2024
