SVC_CD|Modifier_1|FEE|ASOFDATE
G0011||23.85|03-09-2024
G0013||9.26|03-09-2024
G0017||195.48|03-09-2024
G0018||97.89|03-09-2024
G0019||52.99|03-09-2024
G0022||36.95|03-09-2024
G0023||52.99|03-09-2024
G0024||36.95|03-09-2024
G0101||29.14|03-09-2024
G0102||9.26|03-09-2024
G0104||60.91|03-09-2024
G0105||193.07|03-09-2024
G0105|53|96.73|03-09-2024
G0121||193.3|03-09-2024
G0121|53|96.96|03-09-2024
G0127||7.72|03-09-2024
G0136||9.65|03-09-2024
G0140||52.99|03-09-2024
G0146||36.95|03-09-2024
G0168||14.91|03-09-2024
G0245||41.78|03-09-2024
G0246||20.84|03-09-2024
G0247||22.57|03-09-2024
G0268||34.75|03-09-2024
G0270||29.75|03-09-2024
G0271||16.85|03-09-2024
G0296||26.67|03-09-2024
G0316||32.01|03-09-2024
G0317||32.01|03-09-2024
G0318||31.45|03-09-2024
G0323||45.96|03-09-2024
G0341||313.36|03-09-2024
G0396||33.23|03-09-2024
G0397||67.32|03-09-2024
G0402||139.0|03-09-2024
G0429||72.71|03-09-2024
G0442||9.65|03-09-2024
G0443||23.85|03-09-2024
G0444||9.65|03-09-2024
G0445||23.85|03-09-2024
G0446||24.25|03-09-2024
G0447||23.85|03-09-2024
G0455||73.77|03-09-2024
G0473||12.18|03-09-2024
G0500||5.75|03-09-2024
G0506||46.66|03-09-2024
G0513||62.69|03-09-2024
G0514||63.09|03-09-2024
G0516||103.01|03-09-2024
G0517||117.33|03-09-2024
G0518||191.55|03-09-2024
G2010||9.65|03-09-2024
G2012||13.5|03-09-2024
G2082||36.85|03-09-2024
G2083||36.85|03-09-2024
G2086||425.02|03-09-2024
G2087||408.85|03-09-2024
G2088||40.32|03-09-2024
G2212||33.04|03-09-2024
G2213||63.12|03-09-2024
G2214||40.57|03-09-2024
G2250||9.65|03-09-2024
G2251||13.5|03-09-2024
G2252||26.38|03-09-2024
G3002||78.66|03-09-2024
G3003||27.4|03-09-2024
G9978||29.55|03-09-2024
G9979||49.99|03-09-2024
G9980||79.96|03-09-2024
G9981||134.71|03-09-2024
G9982||179.93|03-09-2024
G9983||29.55|03-09-2024
G9984||58.2|03-09-2024
G9985||88.23|03-09-2024
G9986||128.72|03-09-2024
Q0091||19.25|03-09-2024
0446T||59.83|03-09-2024
0447T||70.18|03-09-2024
0448T||99.78|03-09-2024
10004||45.04|03-09-2024
10005||75.78|03-09-2024
10006||52.09|03-09-2024
10007||92.48|03-09-2024
10008||51.93|03-09-2024
10009||112.06|03-09-2024
10010||72.79|03-09-2024
10021||57.22|03-09-2024
10030||138.67|03-09-2024
10035||86.72|03-09-2024
10036||43.7|03-09-2024
10040||55.32|03-09-2024
10060||119.63|03-09-2024
10061||203.22|03-09-2024
10080||116.86|03-09-2024
10081||184.15|03-09-2024
10120||118.1|03-09-2024
10121||198.82|03-09-2024
10140||130.37|03-09-2024
10160||106.65|03-09-2024
10180||194.03|03-09-2024
11000||28.72|03-09-2024
