HCPCS_CPT_CODE|MODIFIER|FEE
A9527||208.58
C1716||868.33
C1717||342.39
C1719||564.5
C2616||17485.1
C2634||162.84
C2635||69.38
C2636||52.91
C2638||37.04
C2639||35.11
C2640||69.69
C2641||79.77
C2642||107.86
C2643||96.56
C2645||4.69
C2698||37.04
C2699||35.11
C5271||368.21
C5273||1100.39
C5275||368.21
C5277||368.21
C7500||1348.05
C7501||1348.05
C7502||1348.05
C7503||3008.58
C7504||3937.76
C7505||3937.76
C7506||3937.76
C7507||7439.86
C7509||1806.12
C7510||1806.12
C7512||1806.12
C7513||1781.87
C7514||1781.87
C7515||1781.87
C7516||2949.38
C7517||2949.38
C7518||2949.38
C7519||2949.38
C7521||2949.38
C7522||2949.38
C7523||2949.38
C7524||2949.38
C7525||2949.38
C7526||2949.38
C7527||2949.38
C7528||2949.38
C7529||2949.38
C7531||6844.32
C7532||6600.54
C7535||11979.44
C7537||12231.46
C7538||12434.64
C7539||12547.31
C7540||12370.19
C7545||3033.1
C7546||1856.6
C7548||1856.6
C7549||1856.6
C7550||1856.6
C7551||3465.32
C7554||1076.6
C7555||5491.35
C7556||1806.12
C7560||2103.91
C7562||2949.38
C7563||6600.54
C7564||12227.8
C7565||3033.1
C8002||4365.58
C8003||16305.04
C8900||216.18
C8901||146.12
C8902||216.18
C8903||108.47
C8905||216.18
C8906||216.18
C8908||216.18
C8909||216.18
C8910||146.12
C8911||216.18
C8912||216.18
C8913||146.12
C8914||216.18
C8918||216.18
C8919||146.12
C8920||216.18
C8931||216.18
C8932||146.12
C8933||216.18
C8934||216.18
C8935||146.12
C8936||216.18
C9600||7921.03
C9725||548.99
C9727||737.32
C9728||822.37
C9734||7439.86
C9739||4384.57
C9740||8770.73
C9757||10685.99
C9761||5360.91
C9762||327.27
C9763||327.27
C9764||8696.17
C9765||14016.92
C9766||14299.2
C9767||14208.01
C9772||8495.11
C9773||13051.12
C9774||13327.06
C9775||14708.36
C9777||2940.73
C9778||3163.85
C9781||11414.55
C9789||1355.04
C9796||1987.34
C9797||13800.44
D4210||1564.02
D4211||1564.02
D4212||1564.02
D4260||3272.1
