SVC_CD|MODIFIER_1|MODIFIER_2|MODIFIER_3|MODIFIER_4|FEE|AS_OF_DATE|AGE_UNIT|FROM_AGE|THROUGH_AGE|PLACE_OF_SERVICE_CODE
A4216|||||0.62|1/1/25||||
A4217|||||3.72|1/1/25||||
A4217|AU||||3.72|1/1/25||||
A4221|||||25.19|1/1/25||||
A4222|||||47.78|1/1/25||||
A4224|||||25.19|1/1/25||||
A4225|||||3.38|1/1/25||||
A4233|NU||||0.51|1/1/25||||
A4234|NU||||2.36|1/1/25||||
A4235|NU||||1.0|1/1/25||||
A4236|NU||||1.16|1/1/25||||
A4238|KF||||275.21|1/1/25||||
A4239|||||267.92|1/1/25||||
A4239|KF||||311.74|1/1/25||||
A4253|NU||||8.32|1/1/25||||
A4255|||||5.74|1/1/25||||
A4256|||||3.38|1/1/25||||
A4257|||||17.83|1/1/25||||
A4258|||||2.12|1/1/25||||
A4259|||||1.42|1/1/25||||
A4265|||||4.76|1/1/25||||
A4271|||||33.43|1/1/25||||
A4280|||||7.24|1/1/25||||
A4310|||||10.79|1/1/25||||
A4311|||||20.7|1/1/25||||
A4312|||||25.2|1/1/25||||
A4313|||||25.88|1/1/25||||
A4314|||||35.32|1/1/25||||
A4315|||||36.85|1/1/25||||
A4316|||||39.68|1/1/25||||
A4320|||||6.34|1/1/25||||
A4321|||||0.0|1/1/25||||
A4322|||||4.26|1/1/25||||
A4326|||||13.05|1/1/25||||
A4327|||||62.32|1/1/25||||
A4328|||||14.58|1/1/25||||
A4330|||||9.64|1/1/25||||
A4331|||||4.44|1/1/25||||
A4332|||||0.15|1/1/25||||
A4333|||||3.1|1/1/25||||
A4334|||||6.87|1/1/25||||
A4336|||||2.01|1/1/25||||
A4338|||||17.14|1/1/25||||
A4340|||||39.22|1/1/25||||
A4341|||||340.93|1/1/25||||
A4342|||||860.84|1/1/25||||
A4344|||||22.36|1/1/25||||
A4346|||||26.54|1/1/25||||
A4349|||||2.81|1/1/25||||
A4351|||||2.15|1/1/25||||
A4352|||||8.97|1/1/25||||
A4353|||||9.79|1/1/25||||
A4354|||||16.5|1/1/25||||
A4355|||||12.46|1/1/25||||
A4356|||||63.75|1/1/25||||
A4357|||||13.57|1/1/25||||
A4358|||||9.14|1/1/25||||
A4360|||||0.69|1/1/25||||
A4361|||||25.65|1/1/25||||
A4362|||||4.77|1/1/25||||
A4363|||||3.31|1/1/25||||
A4364|||||3.49|1/1/25||||
A4366|||||1.8|1/1/25||||
A4367|||||9.75|1/1/25||||
A4368|||||0.35|1/1/25||||
A4369|||||2.88|1/1/25||||
A4371|||||5.02|1/1/25||||
A4372|||||5.87|1/1/25||||
A4373|||||8.76|1/1/25||||
A4375|||||23.99|1/1/25||||
A4376|||||66.48|1/1/25||||
A4377|||||5.99|1/1/25||||
A4378|||||42.96|1/1/25||||
A4379|||||20.98|1/1/25||||
A4380|||||52.16|1/1/25||||
A4381|||||6.46|1/1/25||||
A4382|||||34.4|1/1/25||||
A4383|||||39.38|1/1/25||||
A4384|||||13.42|1/1/25||||
A4385|||||7.12|1/1/25||||
A4387|||||3.14|1/1/25||||
A4388|||||6.09|1/1/25||||
A4389|||||8.67|1/1/25||||
A4390|||||13.41|1/1/25||||
A4391|||||9.87|1/1/25||||
A4392|||||11.42|1/1/25||||
A4393|||||12.63|1/1/25||||
A4394|||||3.62|1/1/25||||
A4395|||||0.05|1/1/25||||
A4396|||||56.56|1/1/25||||
A4398|||||19.31|1/1/25||||
A4399|||||14.57|1/1/25||||
A4400|||||68.28|1/1/25||||
A4402|||||2.23|1/1/25||||
A4404|||||2.34|1/1/25||||
A4405|||||4.77|1/1/25||||
A4406|||||8.0|1/1/25||||
A4407|||||12.24|1/1/25||||
A4408|||||13.79|1/1/25||||
A4409|||||8.67|1/1/25||||
A4410|||||12.63|1/1/25||||
A4411|||||7.12|1/1/25||||
A4412|||||3.78|1/1/25||||
A4413|||||7.7|1/1/25||||
A4414|||||6.87|1/1/25||||
A4415|||||8.38|1/1/25||||
A4416|||||3.85|1/1/25||||
A4417|||||5.21|1/1/25||||
A4418|||||2.53|1/1/25||||
A4419|||||2.41|1/1/25||||
A4420|||||0.0|1/1/25||||
A4422|||||0.15|1/1/25||||
A4423|||||2.59|1/1/25||||
A4424|||||6.65|1/1/25||||
A4425|||||5.0|1/1/25||||
A4426|||||3.81|1/1/25||||
A4427|||||3.9|1/1/25||||
A4428|||||9.11|1/1/25||||
A4429|||||11.53|1/1/25||||
A4430|||||11.9|1/1/25||||
A4431|||||8.67|1/1/25||||
A4432|||||5.01|1/1/25||||
A4433|||||4.69|1/1/25||||
A4434|||||5.25|1/1/25||||
A4435|||||8.05|1/1/25||||
A4436|||||22.77|1/1/25||||
A4437|||||22.77|1/1/25||||
A4438|||||1.93|1/1/25||||
A4450|AU||||0.1|1/1/25||||
A4450|AV||||0.1|1/1/25||||
A4450|AW||||0.14|1/1/25||||
A4452|AU||||0.49|1/1/25||||
A4452|AV||||0.49|1/1/25||||
A4452|AW||||0.53|1/1/25||||
A4455|||||1.99|1/1/25||||
A4456|||||0.34|1/1/25||||
A4461|||||4.61|1/1/25||||
A4463|||||18.6|1/1/25||||
A4481|||||0.51|1/1/25||||
A4483|||||0.0|1/1/25||||
A4541|||||39.61|1/1/25||||
A4542|||||516.52|1/1/25||||
A4544|||||6.22|1/1/25||||
A4545|||||40.57|1/1/25||||
A4556|||||14.42|1/1/25||||
A4557|||||12.13|1/1/25||||
A4558|||||7.62|1/1/25||||
A4559|||||0.13|1/1/25||||
A4561|||||27.87|1/1/25||||
A4562|||||69.42|1/1/25||||
A4563|||||1608.14|1/1/25||||
A4565|||||10.76|1/1/25||||
A4594|NU||||3034.43|1/1/25||||
A4595|||||11.1|1/1/25||||
A4596|||||39.61|1/1/25||||
A4602|NU||||5.21|1/1/25||||
A4604|NU||||49.33|1/1/25||||
A4605|NU||||22.92|1/1/25||||
A4608|||||70.04|1/1/25||||
A4614|||||33.23|1/1/25||||
A4615|||||1.02|1/1/25||||
A4616|||||0.08|1/1/25||||
A4617|||||4.33|1/1/25||||
A4618|NU||||12.43|1/1/25||||
A4618|RR||||1.44|1/1/25||||
A4618|UE||||9.32|1/1/25||||
A4619|NU||||2.5|1/1/25||||
A4620|||||0.89|1/1/25||||
A4623|||||7.79|1/1/25||||
A4624|NU||||3.69|1/1/25||||
A4625|||||8.55|1/1/25||||
A4626|||||3.78|1/1/25||||
A4628|NU||||5.1|1/1/25||||
A4629|||||6.46|1/1/25||||
A4630|NU||||7.4|1/1/25||||
A4633|NU||||57.34|1/1/25||||
A4635|NU||||7.14|1/1/25||||
A4635|RR||||0.97|1/1/25||||
A4635|UE||||4.76|1/1/25||||
A4636|NU||||3.86|1/1/25||||
A4636|NU|KE|||0.0|1/1/25||||
A4636|RR||||0.39|1/1/25||||
A4636|RR|KE|||0.0|1/1/25||||
A4636|UE||||2.9|1/1/25||||
A4636|UE|KE|||0.0|1/1/25||||
A4637|NU||||2.14|1/1/25||||
A4637|NU|KE|||0.0|1/1/25||||
A4637|RR||||0.22|1/1/25||||
A4637|RR|KE|||0.0|1/1/25||||
A4637|UE||||1.61|1/1/25||||
A4637|UE|KE|||0.0|1/1/25||||
A4638|NU||||0.0|1/1/25||||
A4638|RR||||0.0|1/1/25||||
A4638|UE||||0.0|1/1/25||||
A4639|RR||||40.14|1/1/25||||
A4640|NU||||56.58|1/1/25||||
A4640|RR||||5.66|1/1/25||||
A4640|UE||||42.44|1/1/25||||
A5051|||||2.88|1/1/25||||
A5052|||||2.08|1/1/25||||
A5053|||||2.41|1/1/25||||
A5054|||||2.51|1/1/25||||
A5055|||||1.86|1/1/25||||
A5056|||||6.53|1/1/25||||
