SVC_CD|Modifier_1|FEE|ASOFDATE
G0011||28.81|20250101
G0012||15.61|20250101
G0013||25.99|20250101
G0017||222.78|20250101
G0018||109.51|20250101
G0019||87.18|20250101
G0022||53.84|20250101
G0023||87.18|20250101
G0024||53.84|20250101
G0076||51.54|20250101
G0077||76.74|20250101
G0078||125.03|20250101
G0079||163.84|20250101
G0080||215.27|20250101
G0081||50.43|20250101
G0082||81.79|20250101
G0083||128.06|20250101
G0084||180.18|20250101
G0085||215.27|20250101
G0086||77.96|20250101
G0087||108.98|20250101
G0101||42.0|20250101
G0102||25.99|20250101
G0104||208.65|20250101
G0105||368.2|20250101
G0105|53|183.99|20250101
G0108||58.26|20250101
G0109||16.76|20250101
G0117||70.46|20250101
G0118||46.89|20250101
G0121||368.42|20250101
G0121|53|184.21|20250101
G0124||27.52|20250101
G0127||26.81|20250101
G0128||11.04|20250101
G0130||42.62|20250101
G0130|TC|31.12|20250101
G0130|26|11.5|20250101
G0136||20.97|20250101
G0138||203.78|20250101
G0140||87.18|20250101
G0141||27.52|20250101
G0146||53.84|20250101
G0166||115.21|20250101
G0168||111.98|20250101
G0179||46.35|20250101
G0180||58.23|20250101
G0181||111.42|20250101
G0182||110.04|20250101
G0237||13.35|20250101
G0238||11.81|20250101
G0239||15.29|20250101
G0245||69.17|20250101
G0246||42.26|20250101
G0247||93.38|20250101
G0248||114.83|20250101
G0249||72.45|20250101
G0250||8.99|20250101
G0268||55.95|20250101
G0270||34.7|20250101
G0271||18.3|20250101
G0276||375.21|20250101
G0277||202.5|20250101
G0278||13.02|20250101
G0279||47.54|20250101
G0279|TC|18.15|20250101
G0279|26|29.39|20250101
G0281||12.47|20250101
G0283||13.63|20250101
G0288||52.93|20250101
G0289||86.09|20250101
G0296||29.01|20250101
G0316||33.04|20250101
G0317||32.65|20250101
G0318||32.27|20250101
G0323||58.89|20250101
G0329||11.9|20250101
G0341||1764.73|20250101
G0342||773.73|20250101
G0343||1259.18|20250101
G0372||9.04|20250101
G0396||36.16|20250101
G0397||67.39|20250101
G0402||176.56|20250101
G0403||15.45|20250101
G0404||7.18|20250101
G0405||8.27|20250101
G0406||42.08|20250101
G0407||74.47|20250101
G0408||107.89|20250101
G0409||27.64|20250101
G0412||767.05|20250101
G0413||1121.0|20250101
G0414||1060.44|20250101
G0415||1432.98|20250101
G0416||404.13|20250101
G0416|TC|223.35|20250101
G0416|26|180.77|20250101
G0420||112.59|20250101
G0421||27.18|20250101
G0422||138.88|20250101
G0423||138.88|20250101
G0425||94.0|20250101
G0426||133.82|20250101
G0427||190.04|20250101
G0429||107.89|20250101
G0438||176.17|20250101
G0439||139.45|20250101
G0442||19.42|20250101
G0443||34.25|20250101
G0444||19.42|20250101
G0445||33.86|20250101
G0446||34.25|20250101
G0447||34.25|20250101
G0451||13.35|20250101
G0452||51.49|20250101
G0452|TC|3.7|20250101
G0452|26|47.79|20250101
G0453||32.7|20250101
G0454||8.99|20250101
G0455||142.97|20250101
G0459||44.72|20250101
G0465||1051.75|20250101
G0473||13.0|20250101
G0500||64.68|20250101
G0506||67.52|20250101
G0508||212.54|20250101
G0509||193.96|20250101
G0513||65.72|20250101
G0514||65.72|20250101
G0516||188.77|20250101
G0517||212.72|20250101
G0518||336.76|20250101
G0537||20.97|20250101
G0538||17.1|20250101
G0539||56.78|20250101
G0540||27.69|20250101
G0541||56.78|20250101
G0542||27.69|20250101
G0543||24.97|20250101
G0544||67.87|20250101
G0545||46.01|20250101
G0546||18.26|20250101
G0547||36.91|20250101
G0548||55.77|20250101
G0549||74.81|20250101
G0550||34.53|20250101
G0551||36.46|20250101
G0553||58.09|20250101
G0554||43.85|20250101
G0556||16.6|20250101
G0557||53.88|20250101
G0558||117.67|20250101
G0559||9.15|20250101
G0560||43.59|20250101
G2001||51.54|20250101
G2002||76.74|20250101
G2003||125.03|20250101
G2004||163.84|20250101
G2005||215.27|20250101
G2006||50.43|20250101
G2007||81.79|20250101
G2008||128.06|20250101
G2009||180.18|20250101
G2010||13.24|20250101
G2011||17.2|20250101
G2013||215.27|20250101
G2014||77.96|20250101
G2015||108.98|20250101
G2082||981.43|20250101
G2083||1393.91|20250101
G2086||491.91|20250101
G2087||441.81|20250101
G2088||61.36|20250101
G2211||16.59|20250101
G2212||33.43|20250101
G2213||62.23|20250101
G2214||60.45|20250101
G2250||13.24|20250101
G2251||15.05|20250101
G2252||27.56|20250101
G3002||86.53|20250101
G3003||32.04|20250101
G6001||201.74|20250101
G6001|TC|168.23|20250101
G6001|26|33.51|20250101
G6002||85.26|20250101
G6002|TC|63.56|20250101
G6002|26|21.7|20250101
G6003||175.18|20250101
G6004||141.96|20250101
G6005||141.96|20250101
G6006||141.19|20250101
G6007||252.04|20250101
G6008||195.49|20250101
G6009||197.03|20250101
G6010||193.94|20250101
G6011||257.67|20250101
G6012||258.05|20250101
G6013||259.21|20250101
G6014||257.67|20250101
G6015||402.01|20250101
G6016||401.12|20250101
G9037||44.44|20250101
G9038||55.39|20250101
G9157||93.78|20250101
G9187||53.85|20250101
G9481||17.29|20250101
G9482||32.91|20250101
G9483||51.43|20250101
G9484||87.26|20250101
G9485||114.43|20250101
G9486||17.29|20250101
G9487||34.93|20250101
G9488||53.91|20250101
G9489||75.8|20250101
G9490||53.85|20250101
G9685||190.26|20250101
G9868||26.96|20250101
G9869||36.06|20250101
G9870||45.16|20250101
G9978||53.99|20250101
G9979||77.71|20250101
G9980||113.61|20250101
G9981||172.61|20250101
G9982||223.73|20250101
G9983||53.99|20250101
G9984||87.07|20250101
G9985||123.42|20250101
G9986||169.27|20250101
G9987||53.85|20250101
P3001||27.52|20250101
Q0035||24.17|20250101
Q0035|TC|15.67|20250101
Q0035|26|8.49|20250101
Q0091||49.61|20250101
Q0092||30.73|20250101
0446T||3534.32|20250101
0447T||106.2|20250101
0448T||3344.49|20250101
0509T||84.99|20250101
0509T|TC|63.18|20250101
0509T|26|21.82|20250101
10004||55.74|20250101
10005||144.31|20250101
10006||62.97|20250101
10007||338.42|20250101
10008||155.73|20250101
10009||469.62|20250101
10010||260.36|20250101
10021||109.13|20250101
10030||698.57|20250101
10035||394.95|20250101
10036||324.02|20250101
10040||128.3|20250101
10060||140.19|20250101
10061||231.79|20250101
10080||275.38|20250101
10081||371.95|20250101
10120||167.29|20250101
10121||287.21|20250101
10140||185.39|20250101
10160||142.26|20250101
10180||285.71|20250101
11000||64.37|20250101
11001||29.32|20250101
11004||566.41|20250101
11005||763.96|20250101
11006||697.14|20250101
11008||268.59|20250101
11010||480.23|20250101
11011||537.68|20250101
11012||692.97|20250101
11042||142.38|20250101
11043||249.07|20250101
11044||328.98|20250101
11045||42.36|20250101
11046||76.2|20250101
11047||125.64|20250101
11055||78.9|20250101
11056||91.13|20250101
11057||98.89|20250101
11102||110.1|20250101
11103||54.64|20250101
11104||136.8|20250101
11105||65.56|20250101
11106||170.19|20250101
11107||77.47|20250101
11200||102.42|20250101
11201||19.33|20250101
11300||110.01|20250101
11301||132.6|20250101
11302||150.07|20250101
11303||165.98|20250101
11305||114.82|20250101
11306||133.4|20250101
11307||149.72|20250101
11308||156.78|20250101
11310||126.46|20250101
11311||149.66|20250101
11312||169.98|20250101
11313||196.98|20250101
11400||141.76|20250101
11401||171.46|20250101
11402||189.22|20250101
11403||216.96|20250101
11404||245.23|20250101
11406||344.57|20250101
11420||139.74|20250101
11421||174.78|20250101
11422||196.49|20250101
11423||225.15|20250101
11424||259.53|20250101
11426||353.74|20250101
11440||157.8|20250101
11441||190.38|20250101
11442||211.94|20250101
11443||248.83|20250101
11444||307.48|20250101
11446||414.71|20250101
11450||468.94|20250101
11451||572.57|20250101
11462||462.28|20250101
11463||573.32|20250101
11470||495.09|20250101
11471||589.72|20250101
11600||216.82|20250101
11601||250.31|20250101
11602||268.63|20250101
11603||304.24|20250101
11604||338.52|20250101
11606||482.08|20250101
11620||217.38|20250101
11621||251.48|20250101
11622||276.72|20250101
11623||321.54|20250101
11624||364.74|20250101
11626||436.35|20250101
11640||223.57|20250101
11641||259.37|20250101
11642||292.64|20250101
11643||341.88|20250101
11644||419.88|20250101
11646||539.36|20250101
11719||15.61|20250101
11720||36.17|20250101
11721||48.83|20250101
11730||125.62|20250101
11732||35.49|20250101
11740||64.51|20250101
11750||175.5|20250101
11755||132.81|20250101
11760||202.63|20250101
11762||315.24|20250101
11765||183.16|20250101
11770||379.96|20250101
11771||676.25|20250101
11772||831.01|20250101
11900||63.06|20250101
11901||76.03|20250101
11920||219.47|20250101
11921||239.71|20250101
11922||67.35|20250101
11950||89.43|20250101
11951||118.18|20250101
11952||156.9|20250101
11954||173.45|20250101
11960||1106.18|20250101
11970||601.88|20250101
11971||595.62|20250101
11976||153.75|20250101
11980||101.45|20250101
11981||108.0|20250101
11982||117.5|20250101
11983||149.21|20250101
12001||102.17|20250101
12002||123.28|20250101
12004||142.46|20250101
12005||189.04|20250101
12006||218.39|20250101
12007||241.84|20250101
12011||121.47|20250101
12013||125.65|20250101
12014||151.92|20250101
12015||184.19|20250101
12016||233.92|20250101
12017||151.1|20250101
12018||170.92|20250101
12020||326.69|20250101
12021||190.51|20250101
12031||288.28|20250101
12032||333.95|20250101
12034||364.87|20250101
12035||423.62|20250101
12036||469.97|20250101
12037||524.66|20250101
12041||288.84|20250101
12042||338.54|20250101
12044||418.71|20250101
12045||448.94|20250101
12046||541.41|20250101
12047||591.61|20250101
12051||309.4|20250101
12052||344.0|20250101
12053||396.33|20250101
12054||414.76|20250101
12055||544.22|20250101
12056||629.21|20250101
12057||652.62|20250101
13100||370.9|20250101
13101||431.13|20250101
13102||124.66|20250101
13120||385.83|20250101
13121||461.3|20250101
13122||135.1|20250101
13131||421.08|20250101
13132||509.01|20250101
13133||178.94|20250101
13151||457.1|20250101
13152||534.53|20250101
13153||196.84|20250101
13160||838.78|20250101
14000||695.33|20250101
14001||878.87|20250101
14020||770.35|20250101
14021||946.01|20250101
14040||828.69|20250101
14041||1005.38|20250101
14060||833.93|20250101
14061||1085.62|20250101
14301||1165.22|20250101
14302||219.24|20250101
14350||705.79|20250101
15002||366.94|20250101
15003||72.86|20250101
15004||421.02|20250101
15005||121.77|20250101
15040||285.99|20250101
15050||638.7|20250101
15100||930.37|20250101
15101||198.38|20250101
15110||876.88|20250101
15111||116.37|20250101
15115||862.57|20250101
15116||157.01|20250101
15120||907.44|20250101
15121||220.84|20250101
15130||778.18|20250101
15131||101.99|20250101
15135||933.93|20250101
15136||100.45|20250101
15150||735.97|20250101
15151||119.73|20250101
15152||157.66|20250101
15155||847.58|20250101
15156||160.29|20250101
15157||178.94|20250101
15200||907.54|20250101
15201||149.71|20250101
15220||838.27|20250101
15221||137.87|20250101
15240||1009.94|20250101
15241||186.19|20250101
15260||1087.81|20250101
15261||219.63|20250101
15271||166.48|20250101
15272||25.92|20250101
15273||324.75|20250101
15274||85.38|20250101
15275||171.91|20250101
15276||34.41|20250101
15277||362.7|20250101
15278||100.57|20250101
15570||974.37|20250101
15572||952.1|20250101
15574||924.42|20250101
15576||848.59|20250101
15600||373.62|20250101
15610||409.81|20250101
15620||493.17|20250101
15630||510.74|20250101
15650||596.15|20250101
15730||1531.57|20250101
15731||1201.59|20250101
15733||1079.6|20250101
15734||1557.1|20250101
15736||1282.93|20250101
15738||1319.14|20250101
15740||1097.96|20250101
15750||986.28|20250101
15756||2364.61|20250101
15757||2349.78|20250101
15758||2341.56|20250101
15760||915.59|20250101
15769||510.43|20250101
15770||722.18|20250101
15771||662.97|20250101
15772||204.28|20250101
15773||646.72|20250101
15774||199.47|20250101
15775||405.27|20250101
15776||546.32|20250101
15777||218.76|20250101
15778||391.49|20250101
15780||926.26|20250101
15781||574.4|20250101
15782||536.15|20250101
15783||496.91|20250101
15786||250.14|20250101
15787||32.65|20250101
15788||433.21|20250101
15789||588.21|20250101
15792||373.87|20250101
15793||526.21|20250101
15820||630.34|20250101
15821||673.3|20250101
15822||501.95|20250101
15823||674.71|20250101
15830||1235.81|20250101
15832||985.57|20250101
15833||935.38|20250101
15834||952.23|20250101
15835||989.94|20250101
15836||852.23|20250101
15837||940.65|20250101
15838||698.98|20250101
15839||961.18|20250101
15840||1063.01|20250101
15841||1871.08|20250101
15842||2814.72|20250101
15845||1132.27|20250101
15851||58.52|20250101
15852||45.02|20250101
15853||12.97|20250101
15854||16.44|20250101
15860||107.42|20250101
15920||671.85|20250101
15922||854.18|20250101
15931||738.97|20250101
15933||921.73|20250101
15934||1045.39|20250101
15935||1228.61|20250101
15936||929.51|20250101
15937||1031.12|20250101
15940||747.28|20250101
15941||1012.74|20250101
15944||997.36|20250101
15945||1086.98|20250101
15946||1673.26|20250101
15950||684.66|20250101
15951||961.94|20250101
15952||977.8|20250101
15953||1076.0|20250101
15956||1223.38|20250101
15958||1224.31|20250101
16000||86.64|20250101
16020||94.03|20250101
16025||168.24|20250101
16030||213.46|20250101
16035||198.09|20250101
16036||82.48|20250101
17000||75.36|20250101
17003||7.53|20250101
17004||183.76|20250101
17106||377.9|20250101
17107||491.91|20250101
17108||690.34|20250101
17110||126.89|20250101
17111||147.7|20250101
17250||94.5|20250101
17260||109.51|20250101
17261||164.14|20250101
17262||196.0|20250101
17263||212.02|20250101
17264||227.41|20250101
17266||257.62|20250101
17270||165.23|20250101
17271||183.31|20250101
17272||206.72|20250101
17273||229.18|20250101
17274||267.1|20250101
17276||307.98|20250101
17280||155.64|20250101
17281||197.31|20250101
17282||224.98|20250101
17283||264.92|20250101
17284||300.06|20250101
17286||385.01|20250101
17311||748.51|20250101
17312||455.05|20250101
17313||704.97|20250101
17314||436.57|20250101
17315||87.88|20250101
17340||56.32|20250101
17360||133.5|20250101
19000||106.3|20250101
19001||27.41|20250101
19020||500.8|20250101
19030||177.35|20250101
19081||540.78|20250101
19082||417.21|20250101
19083||536.02|20250101
19084||409.59|20250101
19085||826.79|20250101
19086||642.31|20250101
19100||158.19|20250101
19101||341.46|20250101
19105||2492.78|20250101
19110||518.38|20250101
19112||492.86|20250101
19120||556.54|20250101
19125||611.57|20250101
