SVC_CD|Modifier_1|FEE|ASOFDATE
G0011||25.34|20250101
G0013||8.86|20250101
G0017||187.84|20250101
G0018||93.79|20250101
G0019||50.14|20250101
G0022||35.17|20250101
G0023||50.14|20250101
G0024||35.17|20250101
G0101||27.68|20250101
G0102||8.86|20250101
G0104||58.72|20250101
G0105||185.74|20250101
G0105|53|92.96|20250101
G0121||185.95|20250101
G0121|53|93.17|20250101
G0127||7.38|20250101
G0136||9.25|20250101
G0140||50.14|20250101
G0146||35.17|20250101
G0168||14.02|20250101
G0245||39.61|20250101
G0246||19.95|20250101
G0247||21.61|20250101
G0268||33.03|20250101
G0270||28.92|20250101
G0271||16.16|20250101
G0296||25.54|20250101
G0316||31.04|20250101
G0317||30.65|20250101
G0318||30.27|20250101
G0323||43.19|20250101
G0341||303.12|20250101
G0396||32.19|20250101
G0397||62.99|20250101
G0402||132.9|20250101
G0429||69.78|20250101
G0442||9.25|20250101
G0443||30.7|20250101
G0444||9.25|20250101
G0445||30.32|20250101
G0446||30.7|20250101
G0447||30.7|20250101
G0455||70.8|20250101
G0465||91.79|20250101
G0473||11.67|20250101
G0500||5.48|20250101
G0506||44.08|20250101
G0513||59.82|20250101
G0514||59.82|20250101
G0516||98.9|20250101
G0517||112.61|20250101
G0518||183.85|20250101
G0537||9.25|20250101
G0538||9.25|20250101
G0539||47.21|20250101
G0540||25.4|20250101
G0541||47.21|20250101
G0542||25.4|20250101
G0543||10.9|20250101
G0544||50.52|20250101
G0553||30.99|20250101
G0554||29.89|20250101
G0556||12.54|20250101
G0557||38.26|20250101
G0558||83.97|20250101
G0560||42.55|20250101
G2010||9.25|20250101
G2082||35.04|20250101
G2083||35.04|20250101
G2086||414.62|20250101
G2087||388.79|20250101
G2088||37.62|20250101
G2212||31.42|20250101
G2213||56.25|20250101
G2214||39.02|20250101
G2250||9.25|20250101
G2251||12.93|20250101
G2252||25.64|20250101
G3002||75.73|20250101
G3003||26.24|20250101
G9978||28.46|20250101
G9979||47.64|20250101
G9980||76.9|20250101
G9981||129.71|20250101
G9982||173.21|20250101
G9983||28.46|20250101
G9984||56.11|20250101
G9985||84.7|20250101
G9986||123.43|20250101
Q0091||18.44|20250101
0446T||57.5|20250101
0447T||66.99|20250101
0448T||95.76|20250101
10004||43.45|20250101
10005||72.87|20250101
10006||49.83|20250101
10007||88.64|20250101
10008||50.57|20250101
10009||107.57|20250101
10010||70.28|20250101
10021||55.33|20250101
10030||133.72|20250101
10035||83.51|20250101
10036||42.18|20250101
10040||53.35|20250101
10060||115.55|20250101
10061||195.15|20250101
10080||112.43|20250101
10081||176.92|20250101
10120||113.67|20250101
10121||191.75|20250101
10140||126.12|20250101
10160||103.02|20250101
10180||187.54|20250101
11000||26.88|20250101
11001||14.8|20250101
11010||284.74|20250101
11011||301.47|20250101
11012||419.74|20250101
11042||62.28|20250101
11043||155.85|20250101
11044||225.69|20250101
11045||24.57|20250101
11046||53.66|20250101
11047||95.42|20250101
11055||15.31|20250101
11056||22.03|20250101
11057||28.15|20250101
11102||38.47|20250101
11103||22.25|20250101
11104||47.64|20250101
11105||25.76|20250101
11106||57.3|20250101
11107||31.05|20250101
11200||83.62|20250101
11201||16.38|20250101
11300||34.57|20250101
11301||52.64|20250101
11302||61.1|20250101
11303||72.96|20250101
11305||37.38|20250101
11306||49.23|20250101
11307||62.25|20250101
11308||69.18|20250101
11310||46.22|20250101
11311||64.12|20250101
11312||76.15|20250101
11313||97.81|20250101
11400||91.54|20250101
11401||113.58|20250101
11402||123.85|20250101
11403||160.71|20250101
11404||175.57|20250101
11406||260.02|20250101
11420||88.75|20250101
11421||116.44|20250101
11422||146.66|20250101
11423||168.78|20250101
11424||192.3|20250101
11426||280.85|20250101
11440||117.35|20250101
11441||143.73|20250101
11442||158.1|20250101
11443||190.99|20250101
11444||239.19|20250101
11446||333.02|20250101
11450||277.98|20250101
11451||349.17|20250101
11462||267.67|20250101
11463||348.08|20250101
11470||302.97|20250101
11471||368.4|20250101
11600||129.31|20250101
11601||156.62|20250101
11602||170.52|20250101
11603||202.54|20250101
11604||221.79|20250101
11606||323.41|20250101
11620||130.23|20250101
11621||157.75|20250101
11622||178.1|20250101
11623||218.4|20250101
11624||246.44|20250101
11626||298.16|20250101
11640||134.46|20250101
11641||164.01|20250101
11642||190.71|20250101
11643||236.88|20250101
11644||291.23|20250101
11646||397.74|20250101
11719||7.38|20250101
11720||14.31|20250101
11721||23.74|20250101
11730||54.9|20250101
11732||16.69|20250101
11740||35.49|20250101
11750||107.22|20250101
11755||61.19|20250101
11760||114.9|20250101
11762||196.95|20250101
11765||99.99|20250101
11770||190.46|20250101
11771||469.05|20250101
11772||606.9|20250101
11900||30.17|20250101
11901||46.39|20250101
11920||118.47|20250101
11921||134.94|20250101
11922||28.66|20250101
11950||53.06|20250101
11951||73.76|20250101
11952||103.52|20250101
11954||113.71|20250101
11976||91.58|20250101
11980||54.97|20250101
11981||62.92|20250101
11982||72.66|20250101
11983||103.07|20250101
12001||44.26|20250101
12002||57.77|20250101
12004||71.67|20250101
12005||91.19|20250101
12006||112.81|20250101
12007||140.81|20250101
12011||54.86|20250101
12013||55.87|20250101
12014||71.81|20250101
12015||90.59|20250101
12016||122.72|20250101
12020||197.92|20250101
12021||147.87|20250101
12031||160.59|20250101
12032||202.24|20250101
12034||215.07|20250101
12035||250.73|20250101
12036||290.51|20250101
12037||335.16|20250101
12041||153.06|20250101
12042||206.3|20250101
12044||223.89|20250101
12045||284.53|20250101
12046||328.12|20250101
12047||361.86|20250101
12051||178.33|20250101
12052||209.76|20250101
12053||225.54|20250101
12054||227.15|20250101
12055||310.87|20250101
12056||401.64|20250101
12057||436.41|20250101
13100||209.18|20250101
13101||257.99|20250101
13102||72.15|20250101
13120||241.9|20250101
13121||267.82|20250101
