SVC_CD|Modifier_1|FEE|ASOFDATE
G0011||28.4|20250101
G0012||15.42|20250101
G0013||25.7|20250101
G0017||219.6|20250101
G0018||107.95|20250101
G0019||86.11|20250101
G0022||53.16|20250101
G0023||86.11|20250101
G0024||53.16|20250101
G0076||50.82|20250101
G0077||75.64|20250101
G0078||123.23|20250101
G0079||161.46|20250101
G0080||212.18|20250101
G0081||49.72|20250101
G0082||80.63|20250101
G0083||126.23|20250101
G0084||177.6|20250101
G0085||212.18|20250101
G0086||76.88|20250101
G0087||107.46|20250101
G0101||41.45|20250101
G0102||25.7|20250101
G0104||206.43|20250101
G0105||363.68|20250101
G0105|53|181.73|20250101
G0108||57.5|20250101
G0109||16.54|20250101
G0117||69.69|20250101
G0118||46.41|20250101
G0121||363.89|20250101
G0121|53|181.94|20250101
G0124||27.21|20250101
G0127||26.52|20250101
G0128||10.93|20250101
G0130||42.16|20250101
G0130|TC|30.82|20250101
G0130|26|11.34|20250101
G0136||20.73|20250101
G0138||201.82|20250101
G0140||86.11|20250101
G0141||27.21|20250101
G0146||53.16|20250101
G0166||114.11|20250101
G0168||110.83|20250101
G0179||45.8|20250101
G0180||57.52|20250101
G0181||109.9|20250101
G0182||108.54|20250101
G0237||13.22|20250101
G0238||11.69|20250101
G0239||15.13|20250101
G0245||68.31|20250101
G0246||41.76|20250101
G0247||92.4|20250101
G0248||113.73|20250101
G0249||71.77|20250101
G0250||8.86|20250101
G0268||55.22|20250101
G0270||34.28|20250101
G0271||18.07|20250101
G0276||369.48|20250101
G0277||200.59|20250101
G0278||12.79|20250101
G0279||46.95|20250101
G0279|TC|17.98|20250101
G0279|26|28.96|20250101
G0281||12.31|20250101
G0283||13.45|20250101
G0288||52.37|20250101
G0289||84.69|20250101
G0296||28.6|20250101
G0316||32.57|20250101
G0317||32.18|20250101
G0318||31.8|20250101
G0323||58.11|20250101
G0329||11.77|20250101
G0341||1746.13|20250101
G0342||760.93|20250101
G0343||1238.12|20250101
G0372||8.91|20250101
G0396||35.64|20250101
G0397||66.43|20250101
G0402||174.22|20250101
G0403||15.25|20250101
G0404||7.1|20250101
G0405||8.15|20250101
G0406||41.45|20250101
G0407||73.36|20250101
G0408||106.31|20250101
G0409||27.38|20250101
G0412||755.57|20250101
G0413||1104.06|20250101
G0414||1044.49|20250101
G0415||1410.74|20250101
G0416||399.56|20250101
G0416|TC|221.25|20250101
G0416|26|178.31|20250101
G0420||110.98|20250101
G0421||26.79|20250101
G0422||137.07|20250101
G0423||137.07|20250101
G0425||92.56|20250101
G0426||131.81|20250101
G0427||187.19|20250101
G0429||106.52|20250101
G0438||173.84|20250101
G0439||137.63|20250101
G0442||19.19|20250101
G0443||33.77|20250101
G0444||19.19|20250101
G0445||33.38|20250101
G0446||33.77|20250101
G0447||33.77|20250101
G0451||13.22|20250101
G0452||50.8|20250101
G0452|TC|3.65|20250101
G0452|26|47.15|20250101
G0453||32.23|20250101
G0454||8.86|20250101
G0455||141.21|20250101
G0459||44.06|20250101
G0465||1041.55|20250101
G0473||12.82|20250101
G0500||64.03|20250101
G0506||66.66|20250101
G0508||209.38|20250101
G0509||191.05|20250101
G0513||64.79|20250101
G0514||64.79|20250101
G0516||186.53|20250101
G0517||210.19|20250101
G0518||332.7|20250101
G0537||20.73|20250101
G0538||16.9|20250101
G0539||56.01|20250101
G0540||27.32|20250101
G0541||56.01|20250101
G0542||27.32|20250101
G0543||24.68|20250101
G0544||66.98|20250101
G0545||45.34|20250101
G0546||17.99|20250101
G0547||36.36|20250101
G0548||54.94|20250101
G0549||73.69|20250101
G0550||34.02|20250101
G0551||35.94|20250101
G0553||57.39|20250101
G0554||43.28|20250101
G0556||16.37|20250101
G0557||53.18|20250101
G0558||116.11|20250101
G0559||9.0|20250101
G0560||42.93|20250101
G2001||50.82|20250101
G2002||75.64|20250101
G2003||123.23|20250101
G2004||161.46|20250101
G2005||212.18|20250101
G2006||49.72|20250101
G2007||80.63|20250101
G2008||126.23|20250101
G2009||177.6|20250101
G2010||13.07|20250101
G2011||16.94|20250101
G2013||212.18|20250101
G2014||76.88|20250101
G2015||107.46|20250101
G2082||972.17|20250101
G2083||1380.85|20250101
G2086||485.03|20250101
G2087||435.48|20250101
G2088||60.58|20250101
G2211||16.35|20250101
G2212||32.95|20250101
G2213||61.23|20250101
G2214||59.69|20250101
G2250||13.07|20250101
G2251||14.84|20250101
G2252||27.17|20250101
G3002||85.3|20250101
G3003||31.59|20250101
G6001||199.73|20250101
G6001|TC|166.67|20250101
G6001|26|33.06|20250101
G6002||84.37|20250101
G6002|TC|62.97|20250101
G6002|26|21.4|20250101
G6003||173.56|20250101
G6004||140.65|20250101
G6005||140.65|20250101
G6006||139.88|20250101
G6007||249.7|20250101
G6008||193.66|20250101
G6009||195.19|20250101
G6010||192.13|20250101
G6011||255.27|20250101
G6012||255.65|20250101
G6013||256.8|20250101
G6014||255.27|20250101
G6015||398.25|20250101
G6016||397.41|20250101
G9037||43.87|20250101
G9038||54.67|20250101
G9157||92.28|20250101
G9187||53.29|20250101
G9481||16.98|20250101
G9482||32.34|20250101
G9483||50.5|20250101
G9484||85.7|20250101
G9485||112.36|20250101
G9486||16.98|20250101
G9487||34.3|20250101
G9488||52.94|20250101
G9489||74.45|20250101
G9490||53.29|20250101
G9685||187.4|20250101
G9868||26.55|20250101
G9869||35.51|20250101
G9870||44.47|20250101
G9978||53.34|20250101
G9979||76.73|20250101
G9980||112.1|20250101
G9981||170.27|20250101
G9982||220.66|20250101
G9983||53.34|20250101
G9984||85.96|20250101
G9985||121.82|20250101
G9986||167.05|20250101
G9987||53.29|20250101
P3001||27.21|20250101
Q0035||23.88|20250101
Q0035|TC|15.52|20250101
Q0035|26|8.36|20250101
Q0091||49.05|20250101
Q0092||30.44|20250101
0446T||3501.44|20250101
0447T||104.87|20250101
0448T||3313.16|20250101
0509T||84.11|20250101
0509T|TC|62.58|20250101
0509T|26|21.52|20250101
10004||54.93|20250101
10005||142.51|20250101
10006||62.08|20250101
10007||334.69|20250101
10008||153.88|20250101
10009||464.59|20250101
10010||257.4|20250101
10021||107.75|20250101
10030||691.26|20250101
10035||390.79|20250101
10036||320.75|20250101
10040||126.82|20250101
10060||138.51|20250101
10061||228.83|20250101
10080||272.38|20250101
10081||367.48|20250101
10120||165.33|20250101
10121||283.59|20250101
10140||183.14|20250101
10160||140.52|20250101
10180||282.05|20250101
11000||63.61|20250101
11001||28.96|20250101
11004||556.78|20250101
11005||750.4|20250101
11006||685.05|20250101
11008||263.78|20250101
11010||474.16|20250101
11011||530.68|20250101
11012||683.78|20250101
