SVC_CD|MODIFIER_1|MODIFIER_2|MODIFIER_3|MODIFIER_4|FEE|AS_OF_DATE|AGE_UNIT|FROM_AGE|THROUGH_AGE|PLACE_OF_SERVICE_CODE
A4216|||||0.61|10/1/24||||
A4217|||||3.64|10/1/24||||
A4217|AU||||3.64|10/1/24||||
A4221|||||24.46|10/1/24||||
A4222|||||46.39|10/1/24||||
A4224|||||24.46|10/1/24||||
A4225|||||3.28|10/1/24||||
A4233|NU||||0.51|10/1/24||||
A4234|NU||||2.36|10/1/24||||
A4235|NU||||1.0|10/1/24||||
A4236|NU||||1.16|10/1/24||||
A4238|KF||||268.76|10/1/24||||
A4239|||||261.64|10/1/24||||
A4239|KF||||304.43|10/1/24||||
A4253|NU||||8.32|10/1/24||||
A4255|||||5.61|10/1/24||||
A4256|||||3.38|10/1/24||||
A4257|||||17.41|10/1/24||||
A4258|||||2.12|10/1/24||||
A4259|||||1.42|10/1/24||||
A4265|||||4.65|10/1/24||||
A4271|||||32.65|10/1/24||||
A4280|||||7.07|10/1/24||||
A4310|||||10.54|10/1/24||||
A4311|||||20.21|10/1/24||||
A4312|||||24.61|10/1/24||||
A4313|||||25.27|10/1/24||||
A4314|||||34.49|10/1/24||||
A4315|||||35.99|10/1/24||||
A4316|||||38.75|10/1/24||||
A4320|||||6.2|10/1/24||||
A4321|||||0.0|10/1/24||||
A4322|||||4.16|10/1/24||||
A4326|||||12.74|10/1/24||||
A4327|||||60.86|10/1/24||||
A4328|||||14.24|10/1/24||||
A4330|||||9.41|10/1/24||||
A4331|||||4.34|10/1/24||||
A4332|||||0.15|10/1/24||||
A4333|||||3.03|10/1/24||||
A4334|||||6.71|10/1/24||||
A4336|||||1.96|10/1/24||||
A4338|||||16.74|10/1/24||||
A4340|||||38.3|10/1/24||||
A4341|||||332.94|10/1/24||||
A4342|||||840.66|10/1/24||||
A4344|||||21.84|10/1/24||||
A4346|||||25.92|10/1/24||||
A4349|||||2.74|10/1/24||||
A4351|||||2.1|10/1/24||||
A4352|||||8.76|10/1/24||||
A4353|||||9.56|10/1/24||||
A4354|||||16.11|10/1/24||||
A4355|||||12.17|10/1/24||||
A4356|||||62.26|10/1/24||||
A4357|||||13.25|10/1/24||||
A4358|||||8.93|10/1/24||||
A4360|||||0.67|10/1/24||||
A4361|||||25.05|10/1/24||||
A4362|||||4.66|10/1/24||||
A4363|||||3.23|10/1/24||||
A4364|||||3.41|10/1/24||||
A4366|||||1.76|10/1/24||||
A4367|||||9.52|10/1/24||||
A4368|||||0.34|10/1/24||||
A4369|||||2.81|10/1/24||||
A4371|||||4.9|10/1/24||||
A4372|||||5.73|10/1/24||||
A4373|||||8.55|10/1/24||||
A4375|||||23.43|10/1/24||||
A4376|||||64.92|10/1/24||||
A4377|||||5.85|10/1/24||||
A4378|||||41.95|10/1/24||||
A4379|||||20.49|10/1/24||||
A4380|||||50.94|10/1/24||||
A4381|||||6.31|10/1/24||||
A4382|||||33.59|10/1/24||||
A4383|||||38.46|10/1/24||||
A4384|||||13.11|10/1/24||||
A4385|||||6.95|10/1/24||||
A4387|||||3.07|10/1/24||||
A4388|||||5.95|10/1/24||||
A4389|||||8.47|10/1/24||||
A4390|||||13.1|10/1/24||||
A4391|||||9.64|10/1/24||||
A4392|||||11.15|10/1/24||||
A4393|||||12.33|10/1/24||||
A4394|||||3.54|10/1/24||||
A4395|||||0.05|10/1/24||||
A4396|||||55.23|10/1/24||||
A4398|||||18.86|10/1/24||||
A4399|||||14.23|10/1/24||||
A4400|||||66.68|10/1/24||||
A4402|||||2.18|10/1/24||||
A4404|||||2.29|10/1/24||||
A4405|||||4.66|10/1/24||||
A4406|||||7.81|10/1/24||||
A4407|||||11.95|10/1/24||||
A4408|||||13.47|10/1/24||||
A4409|||||8.47|10/1/24||||
A4410|||||12.33|10/1/24||||
A4411|||||6.95|10/1/24||||
A4412|||||3.69|10/1/24||||
A4413|||||7.52|10/1/24||||
A4414|||||6.71|10/1/24||||
A4415|||||8.18|10/1/24||||
A4416|||||3.76|10/1/24||||
A4417|||||5.09|10/1/24||||
A4418|||||2.47|10/1/24||||
A4419|||||2.35|10/1/24||||
A4420|||||0.0|10/1/24||||
A4422|||||0.15|10/1/24||||
A4423|||||2.53|10/1/24||||
A4424|||||6.49|10/1/24||||
A4425|||||4.88|10/1/24||||
A4426|||||3.72|10/1/24||||
A4427|||||3.81|10/1/24||||
A4428|||||8.9|10/1/24||||
A4429|||||11.26|10/1/24||||
A4430|||||11.62|10/1/24||||
A4431|||||8.47|10/1/24||||
A4432|||||4.89|10/1/24||||
A4433|||||4.58|10/1/24||||
A4434|||||5.13|10/1/24||||
A4435|||||7.86|10/1/24||||
A4436|||||22.24|10/1/24||||
A4437|||||22.24|10/1/24||||
A4438|||||1.88|10/1/24||||
A4450|AU||||0.1|10/1/24||||
A4450|AV||||0.1|10/1/24||||
A4450|AW||||0.14|10/1/24||||
A4452|AU||||0.48|10/1/24||||
A4452|AV||||0.48|10/1/24||||
A4452|AW||||0.52|10/1/24||||
A4455|||||1.94|10/1/24||||
A4456|||||0.33|10/1/24||||
A4461|||||4.5|10/1/24||||
A4463|||||18.16|10/1/24||||
A4481|||||0.5|10/1/24||||
A4483|||||0.0|10/1/24||||
A4541|||||38.68|10/1/24||||
A4542|||||504.41|10/1/24||||
A4544|||||6.07|10/1/24||||
A4545|||||39.62|10/1/24||||
A4556|||||14.08|10/1/24||||
A4557|||||11.78|10/1/24||||
A4558|||||7.44|10/1/24||||
A4559|||||0.13|10/1/24||||
A4561|||||27.22|10/1/24||||
A4562|||||67.79|10/1/24||||
A4563|||||1570.45|10/1/24||||
A4565|||||10.51|10/1/24||||
A4595|||||10.77|10/1/24||||
A4596|||||38.68|10/1/24||||
A4602|NU||||5.09|10/1/24||||
A4604|NU||||47.9|10/1/24||||
A4605|NU||||22.38|10/1/24||||
