SVC_CD	MODIFIER_1	MODIFIER_2	MODIFIER_3	MODIFIER_4	FEE	AS_OF_DATE	AGE_UNIT	FROM_AGE	THROUGH_AGE	PLACE_OF_SERVICE_CODE
90371					138.873					
90375					286.016					
90376					353.489					
90377					241.202					
90586					141.652					
90632					68.745					
90662					65.261					
90670					257.989					
90671					246.195					
90672					26.876					
90674					29.94					
90675					291.791					
90677					283.717					
90682					65.261					
90685					21.639					
90686					20.526					
90687					9.953					
90688					19.906					
90694					66.426					
90714					28.986					
90715					36.76					
90732					133.472					
90739					152.076					
90740					146.329					
90744					29.043					
90746					70.376					
90747					140.752					
90756					28.37					
90759					73.815					
A9575					0.132					
A9576					1.441					
A9577					1.85					
A9578					1.821					
A9579					1.559					
A9581					14.739					
A9585					0.331					
A9589					1225.445					
A9606										
J0121					3.467					
J0122					1.068					
J0129					44.22					
J0132					0.553					
J0133					0.021					
J0153					0.467					
J0171					0.745					
J0172					5.978					
J0178					912.889					
J0179					311.96					
J0180					205.921					
J0185					1.72					
J0202					2194.489					
J0219					72.681					
J0221					186.414					
J0222					98.97					
J0223					107.959					
J0248					5.512					
J0256					4.613					
J0257					5.152					
J0278					0.803					
J0280					11.714					
J0285					46.322					
J0287					10.198					
J0289					26.363					
J0290					0.746					
J0291					3.128					
J0295					2.238					
J0348					0.553					
J0360					4.415					
J0401					6.312					
J0456					2.527					
J0461					0.077					
J0475					182.024					
J0476					57.224					
J0480					4087.668					
J0485					3.782					
J0490					49.439					
J0491					16.177					
J0500					27.215					
J0515					18.034					
J0517					168.863					
J0558					12.861					
J0561					16.483					
J0565					39.874					
J0583					0.287					
J0584					401.498					
J0585					6.207					
J0586					8.52					
J0587					12.172					
J0588					5.058					
J0592					4.079					
J0594					2.04					
J0595					2.969					
J0596					31.597					
J0597					60.773					
J0598					60.674					
J0600					5708.594					
J0610					3.956					
J0630					2231.387					
J0636					0.682					
J0637					5.481					
J0638					118.609					
J0640					4.373					
J0641					0.093					
J0642					1.458					
J0670					3.143					
J0690					0.755					
J0691					0.724					
J0692					1.776					
J0694					4.633					
J0695					6.395					
J0696					0.51					
J0697					2.038					
J0702					6.554					
J0712					3.725					
J0713					2.092					
J0714					91.786					
J0717					5.581					
J0720					35.08553066					
J0725					24.529					
J0735					26.304					
J0740					583.011					
J0741					21.053					
J0742					2.38					
J0743					8.281					
J0744					1.103					
J0770					15.167					
J0775					58.871					
J0780					3.995					
J0791					125.057					
J0800					3879.745					
J0834					26.953					
J0840					2605.388					
J0841					1072.212					
J0850					1654.657					
J0875					14.912					
J0878					0.047					
J0881					3.315					
J0882					3.315					
J0885					8.216					
J0887					1.621					
J0888					1.621					
J0894					1.585					
J0895					10.416					
J0896					37.941					
J0897					22.255					
J1000					26.093					
J1020					4.611					
J1030					6.926					
J1040					10.443					
J1050					0.571					
J1071					0.029					
J1100					0.131					
J1110					58.236					
J1120					21.568					
J1160					10.301					
J1162					4293.36					
J1165					0.441					
J1170					3.289					
J1190					168.783					
J1200					1.51					
J1201					15.088					
J1205					30.55					
J1212					636.414					
J1230					16.787					
J1240					6.973					
J1245					3.51					
J1250					6.35					
J1265					0.49					
J1270					0.323					
J1290					513.735					
J1300					228.015					
J1301					20.994					
J1303					224.087					
J1322					262.308					
J1325					15.768					
J1335					17.24					
J1364					73.653					
J1380					9.803					
J1410					353.67					
J1430					454.17					
J1437					23.03					
J1439					1.108					
J1442					0.996					
J1447					0.419					
J1448					4.94					
J1450					2.879					
J1453					0.183					
J1454					466.074					
J1458					432.431					
J1459					46.933					
J1460					46.164					
J1551					12.028					
J1554					481.77					
J1555					14.971					
J1556					70.49					
J1557					48.338					
J1558					13.569					
J1559					12.347					
J1560					461.639					
J1561					43.39					
J1566					73.175					
J1568					42.019					
J1569					44.997					
J1570					47.154					
J1571					75.141					
J1572					40.522					
J1575					15.894					
J1580					2.365					
J1602					14.689					
J1610					171.601					
J1626					0.311					
J1627					6.446					
J1630					0.734					
J1631					8.75					
J1640					28.924					
J1642					0.015					
J1644					0.242					
J1645					11.725					
J1650					0.757					
J1652					1.156					
J1670					516.486					
J1720					17.574					
J1740					33.792					
J1743					542.824					
J1745					35.713					
J1746					69.759					
J1750					16.373					
J1756					0.203					
J1786					44.151					
J1817					8.311					
J1823					462.867					
J1885					0.654					
J1930					65.972					
J1931					35.884					
J1940					0.6					
J1943					2.941					
J1944					2.924					
J1950					1495.367					
J1951					133.464					
J1953					0.092					
J1955					25.375					
J1956					0.878					
J1980					29.753					
J2001					0.023					
J2010					9.588					
J2020					4.855					
J2060					0.741					
J2150					2.604					
J2175					6.11					
J2182					29.11					
J2185					0.699					
J2210					20.197					
J2248					0.476					
J2250					0.168					
J2260					1.705					
J2270					5.125					
J2274					11.529					
J2278					9.078					
J2280					9.667					
J2300					2.775					
J2310					9.585					
J2315					3.537					
J2323					24.171					
J2350					60.492					
J2353					207.507					
J2354					0.816					
J2357					38.117					
J2358					2.914					
J2360					4.115					
J2400					30.447					
J2405					0.086					
J2406					42.269					
J2407					25.588					
J2425					25.127					
J2426					13.132					
J2430					10.576					
J2469					0.905					
J2501					0.697					
J2506					155.827					
J2507					3110.558					
J2510					35.227					
J2515					26.17					
J2540					0.687					
J2543					1.284					
J2545					121.211					
J2550					2.781					
J2560					40.295					
J2562					402.538					
J2597					7.706					
J2675					1.086					
J2680					9.844					
J2690					113.925					
J2700					1.04					
J2704					0.116					
J2720					1.807					
J2724					15.058					
J2760					392.679					
J2765					1.05					
J2770					337.465					
J2778					275.14					
J2779					83.229					
J2783					330.896					
J2785					61.475					
J2786					9.945					
J2788					24.195					
J2790					79.468					
J2791					4.814					
J2792					31.909					
J2794					11.467					
J2795					0.071					
J2796					87.737					
J2798					10.921					
J2800					6.513					
J2805					119.267					
J2820					55.32					
J2860					128.492					
J2916					1.862					
J2920					4.188					
J2930					5.524					
J2997					85.823					
J3000					38.199					
J3010					0.841					
J3032					16.421					
