SVC_CD	MODIFIER_1	MODIFIER_2	MODIFIER_3	MODIFIER_4	FEE	AS_OF_DATE	AGE_UNIT	FROM_AGE	THROUGH_AGE	PLACE_OF_SERVICE_CODE
90371					146.312					
90375					280.37					
90377					250.524					
90586					149.951					
90632					71.608					
90653					83.49					
90656					22.35					
90657					10.929					
90658					21.858					
90660					28.871					
90661					36.849					
90662					83.492					
90670					257.989					
90671					253.56					
90673					83.492					
90675					327.776					
90677					298.036					
90684					327.893					
90714					33.483					
90715					38.628					
90732					133.472					
90739					168.298					
90740					158.152					
90743					75.145					
90744					30.77					
90746					70.376					
90747					140.752					
90759					73.815					
91304					161.538					
91318					65.55					
91319					87.78					
91320					155.89499999999998					
91321					147.06					
91322					161.652					
A9573					3.581					
A9575					0.117					
A9576					1.46					
A9577					1.824					
A9578					1.793					
A9579					1.484					
A9581					14.701					
A9585					0.278					
A9589					1378.71					
A9606										
J0121					3.916					
J0122					1.21					
J0129					43.797					
J0131					0.048					
J0132					0.545					
J0133					0.051					
J0134					0.042					
J0136					0.049					
J0137					0.048					
J0153					0.316					
J0171					0.762					
J0172					5.978					
J0173					2.384					
J0174					1.33					
J0175					4.094					
J0177					329.056					
J0178					801.065					
J0179					338.891					
J0180					223.517					
J0185					1.701					
J0202					2413.358					
J0206					4.395					
J0217					440.808					
J0218					381.579					
J0219					77.861					
J0221					201.64					
J0222					98.833					
J0223					115.466					
J0224					318.006					
J0225					4917.749					
J0248					6.354					
J0256					5.091					
J0257					5.512					
J0278					0.54					
J0280					5.17					
J0282					0.394					
J0283					2.524					
J0285					50.066					
J0289					23.975					
J0290					0.714					
J0291					3.574					
J0295					1.641					
J0348					0.507					
J0349					10.424					
J0360					4.077					
J0401					7.07					
J0402					5.917					
J0456					2.128					
J0457					2.071					
J0461					0.107					
J0475					173.837					
J0476					40.728					
J0480					4657.581					
J0485					3.933					
J0490					54.908					
J0491					17.763					
J0500					14.904					
J0515					16.888					
J0517					165.894					
J0558					17.368					
J0561					26.821					
J0565					39.865					
J0577					428.656					
J0578					1714.625					
J0583					0.163					
J0584					469.726					
J0585					6.471					
J0586					8.526					
J0587					12.991					
J0588					5.305					
J0592					4.303					
J0594					1.416					
J0595					5.68					
J0596					34.665					
J0597					72.456					
J0598					64.066					
J0600					6084.101					
J0612					0.036					
J0613					0.106					
J0630					1142.411					
J0637					5.055					
J0638					135.878					
J0640					4.162					
J0641					0.042					
J0642					1.35					
J0650					5.39					
J0651					3.818					
J0652					5.136					
J0665					0.01					
J0666					1.445					
J0670					3.554					
J0687					1.109					
J0688					1.003					
J0689					1.233					
J0690					0.814					
J0692					1.238					
J0694					4.452					
J0695					8.149					
J0696					0.446					
J0697					1.89					
J0699					2.282					
J0701					5.737					
J0702					7.51					
J0703					4.923					
J0712					3.946					
J0713					1.648					
J0714					100.727					
J0717					3.898					
J0725					19.673					
J0735					16.738					
J0736					2.134					
J0737					2.605					
J0739					6.892					
J0740					301.103					
J0741					23.174					
J0742					2.499					
J0743					7.199					
J0744					0.828					
J0750					1.817					
J0751					71.289					
J0770					12.161					
J0775					70.887					
J0780					2.953					
J0791					128.68					
J0801					3827.827					
J0802					3468.848					
J0834					33.433					
J0840					1779.644					
J0841					1027.168					
J0850					1814.108					
J0872					0.042					
J0873					0.037					
J0874					0.067					
J0875					15.6					
J0877					0.042					
J0878					0.035					
J0881					2.972					
J0882					2.972					
J0884					0.803					
J0885					6.461					
J0887					1.224					
J0888					1.206					
J0894					2.334					
J0895					8.937					
J0896					41.275					
J0897					27.656					
J1000					38.653					
J1010					0.117					
J1071					0.032					
J1096					112.947					
J1100					0.108					
J1110					41.037					
J1120					21.618					
J1160					8.819					
J1162					5069.98					
J1165					0.471					
J1171					0.089					
J1190					80.875					
J1200					0.734					
J1201					15.73					
J1203					89.377					
J1205					60.464					
J1212					715.39					
J1230					20.661					
J1240					8.672					
J1245					3.867					
J1250					7.39					
J1265					0.773					
J1270					0.379					
J1290					563.098					
J1300					224.159					
J1301					21.682					
J1302					18.127					
J1303					220.588					
J1304					155.338					
J1305					186.306					
J1306					12.277					
J1322					293.924					
J1323					177.647					
J1325					16.436					
J1335					11.014					
J1364					62.14					
J1380					7.942					
J1410					382.912					
J1430					491.653					
J1437					20.774					
J1439					1.105					
J1440					63.6					
J1442					0.984					
J1447					0.404					
J1448					5.366					
J1449					22.135					
J1450					2.385					
J1453					0.12					
J1454					658.1					
J1455					38.277					
J1456					0.441					
J1458					484.922					
J1459					49.284					
J1460					49.416					
J1551					14.512					
J1552					146.889					
J1554					494.97					
J1555					16.611					
J1556					76.632					
J1557					56.766					
J1558					14.255					
J1559					13.637					
J1560					494.164					
J1561					49.009					
J1566					81.431					
J1568					49.301					
J1569					46.459					
J1570					28.743					
J1571					65.935					
J1573					65.935					
J1575					17.687					
J1576					69.098					
J1580					2.47					
J1596					0.576					
J1598					2.019					
J1602					10.536					
J1610					184.179					
J1611					111.908					
J1626					0.227					
J1627					5.514					
J1628					73.523					
J1630					1.207					
J1631					5.547					
J1640					33.122					
J1642					0.018					
J1643					3.519					
J1644					0.202					
J1645					13.864					
J1650					0.564					
J1652					0.672					
J1670					572.068					
J1720					20.939					
J1740					25.358					
J1741					2.965					
J1743					542.221					
