SVC_CD|MODIFIER_1|MODIFIER_2|MODIFIER_3|MODIFIER_4|FEE|AS_OF_DATE|AGE_UNIT|FROM_AGE|THROUGH_AGE|PLACE_OF_SERVICE_CODE
90371|||||143.215|||||
90375|||||289.914|||||
90377|||||241.148|||||
90586|||||156.962|||||
90632|||||72.157|||||
90653|||||83.49|||||
90656|||||22.35|||||
90657|||||10.929|||||
90658|||||21.858|||||
90660|||||28.871|||||
90661|||||36.849|||||
90662|||||83.492|||||
90670|||||257.989|||||
90671|||||261.146|||||
90673|||||83.492|||||
90675|||||317.673|||||
90677|||||312.902|||||
90684|||||327.893|||||
90714|||||33.96|||||
90715|||||39.07|||||
90732|||||133.472|||||
90739|||||177.555|||||
90740|||||164.422|||||
90743|||||75.145|||||
90744|||||31.671|||||
90746|||||70.376|||||
90747|||||140.752|||||
90759|||||73.815|||||
91304|||||161.538|||||
91318|||||65.55|||||
91319|||||87.78|||||
91320|||||155.895|||||
91321|||||147.06|||||
91322|||||161.652|||||
A9573|||||3.472|||||
A9575|||||0.119|||||
A9576|||||1.434|||||
A9577|||||1.815|||||
A9578|||||1.808|||||
A9579|||||1.491|||||
A9581|||||14.712|||||
A9585|||||0.264|||||
A9589|||||1378.413|||||
A9606||||||||||
J0121|||||3.866|||||
J0122|||||1.206|||||
J0129|||||43.377|||||
J0131|||||0.052|||||
J0132|||||0.446|||||
J0133|||||0.035|||||
J0134|||||0.052|||||
J0136|||||0.049|||||
J0137|||||0.025|||||
J0138|||||0.218|||||
J0153|||||0.386|||||
J0171|||||0.732|||||
J0172|||||5.978|||||
J0173|||||2.252|||||
J0174|||||1.33|||||
J0175|||||4.181|||||
J0177|||||321.176|||||
J0178|||||795.861|||||
J0179|||||339.988|||||
J0180|||||222.839|||||
J0185|||||1.71|||||
J0202|||||2441.493|||||
J0206|||||4.45|||||
J0217|||||444.976|||||
J0218|||||381.237|||||
J0219|||||77.817|||||
J0221|||||201.566|||||
J0222|||||99.039|||||
J0223|||||116.471|||||
J0224|||||318.852|||||
J0225|||||4956.31|||||
J0248|||||6.354|||||
J0256|||||5.16|||||
J0257|||||5.448|||||
J0278|||||0.601|||||
J0280|||||11.049|||||
J0281|||||1.303|||||
J0282|||||0.327|||||
J0283|||||2.594|||||
J0285|||||50.066|||||
J0287|||||10.299|||||
J0289|||||23.307|||||
J0290|||||0.597|||||
J0291|||||3.574|||||
J0295|||||1.573|||||
J0348|||||0.472|||||
J0349|||||10.418|||||
J0360|||||4.402|||||
J0401|||||7.033|||||
J0402|||||5.872|||||
J0456|||||2.221|||||
J0457|||||2.478|||||
J0461|||||0.111|||||
J0475|||||174.804|||||
J0476|||||53.819|||||
J0480|||||4687.658|||||
J0485|||||3.891|||||
J0490|||||54.968|||||
J0491|||||17.777|||||
J0500|||||12.857|||||
