HCPCS	EFF_DATE	RATE
0001U	20250101	720.0
0002M	20250101	503.4
0002U	20250101	25.0
0003M	20250101	503.4
0003U	20250101	950.0
0004M	20250101	79.0
0005U	20250101	760.0
0006M	20250101	150.0
0007M	20250101	375.0
0007U	20250101	114.43
0008U	20250101	597.91
0009U	20250101	107.0
0010U	20250101	427.26
0011M	20250101	760.0
0011U	20250101	114.43
0012M	20250101	760.0
0013M	20250101	760.0
0015M	20250101	1305.37
0016M	20250101	3489.63
0016U	20250101	163.96
0017M	20250101	2510.21
0017U	20250101	91.66
0018M	20250101	640.73
0018U	20250101	3002.09
0019M	20250101	712.4
0019U	20250101	3675.0
0020M	20250101	0.0
0021U	20250101	760.0
0022U	20250101	1950.0
0023U	20250101	248.51
0024U	20250101	34.19
0025U	20250101	114.43
0026U	20250101	3600.0
0027U	20250101	121.91
0029U	20250101	742.27
0030U	20250101	134.13
0031U	20250101	174.81
0032U	20250101	174.81
0033U	20250101	349.62
0034U	20250101	466.17
0035U	20250101	540.99
0036U	20250101	4780.0
0037U	20250101	3500.0
0038U	20250101	29.6
0039U	20250101	13.74
0040U	20250101	409.9
0041U	20250101	17.21
0042U	20250101	17.21
0043U	20250101	14.86
0044U	20250101	14.86
0045U	20250101	3873.0
0046U	20250101	407.43
0047U	20250101	3873.0
0048U	20250101	2919.6
0049U	20250101	407.43
0050U	20250101	2916.6
0051U	20250101	246.92
0052U	20250101	33.86
0054U	20250101	198.74
0055U	20250101	3240.0
0058U	20250101	322.96
0059U	20250101	322.96
0060U	20250101	759.05
0061U	20250101	25.1
0062U	20250101	380.72
0063U	20250101	750.0
0064U	20250101	31.33
0065U	20250101	18.09
0066U	20250101	15.29
0067U	20250101	1897.0
0068U	20250101	142.63
0069U	20250101	380.0
0070U	20250101	676.37
0071U	20250101	600.0
0072U	20250101	450.91
0073U	20250101	450.91
0074U	20250101	450.91
0075U	20250101	450.91
0076U	20250101	450.91
0077U	20250101	43.43
0078U	20250101	450.91
0080U	20250101	3520.0
0082U	20250101	246.92
0083U	20250101	167.35
0084U	20250101	720.0
0086U	20250101	200.0
0087U	20250101	3159.42
0088U	20250101	3159.42
0089U	20250101	760.0
0090U	20250101	1950.0
0092U	20250101	2488.0
0093U	20250101	62.14
0094U	20250101	7582.2
0095U	20250101	771.98
0096U	20250101	35.09
0101U	20250101	1743.95
0102U	20250101	1303.95
0103U	20250101	1743.95
0105U	20250101	950.0
0106U	20250101	874.49
0107U	20250101	16.0
0108U	20250101	4950.0
0109U	20250101	142.63
0110U	20250101	27.11
0111U	20250101	682.29
0112U	20250101	356.13
0113U	20250101	760.0
0114U	20250101	1938.01
0115U	20250101	275.35
0116U	20250101	246.92
0117U	20250101	840.65
0118U	20250101	2753.25
0119U	20250101	83.76
0120U	20250101	2510.21
0121U	20250101	509.2
0122U	20250101	526.23
0123U	20250101	357.63
0129U	20250101	1303.95
0130U	20250101	584.9
0131U	20250101	710.0
0132U	20250101	741.64
0133U	20250101	690.29
0134U	20250101	748.39
0135U	20250101	700.56
0136U	20250101	407.43
0137U	20250101	282.88
0138U	20250101	468.33
0140U	20250101	156.75
0141U	20250101	156.75
0142U	20250101	156.75
0152U	20250101	2126.2
0153U	20250101	3159.42
0154U	20250101	482.14
0155U	20250101	274.83
0156U	20250101	1740.0
0157U	20250101	282.88
0158U	20250101	282.88
0159U	20250101	282.88
0160U	20250101	282.88
0161U	20250101	282.88
0162U	20250101	486.54
0163U	20250101	390.75
0164U	20250101	112.02
0165U	20250101	463.76
0166U	20250101	503.4
0169U	20250101	466.17
0170U	20250101	1950.0
0171U	20250101	1519.06
0172U	20250101	3030.0
0173U	20250101	466.17
0174U	20250101	1305.37
0175U	20250101	1336.09
0176U	20250101	64.19
0177U	20250101	274.83
0178U	20250101	459.86
0179U	20250101	1943.21
0180U	20250101	274.83
0181U	20250101	185.2
0182U	20250101	301.35
0183U	20250101	185.2
0184U	20250101	185.2
0185U	20250101	185.2
0186U	20250101	185.2
0187U	20250101	274.83
0188U	20250101	274.83
0189U	20250101	274.83
0190U	20250101	274.83
0191U	20250101	274.83
0192U	20250101	274.83
0193U	20250101	282.88
0194U	20250101	185.2
0195U	20250101	375.25
0196U	20250101	185.2
0197U	20250101	185.2
0198U	20250101	282.88
0199U	20250101	274.83
0200U	20250101	274.83
0201U	20250101	185.2
0202U	20250101	416.78
0203U	20250101	760.0
0205U	20250101	47.0
0206U	20250101	2215.4
0207U	20250101	511.2
0209U	20250101	787.15
0210U	20250101	18.63
0211U	20250101	8455.0
0212U	20250101	5475.2
0213U	20250101	2709.95
0214U	20250101	5224.6
0215U	20250101	2574.65
0216U	20250101	1537.02
0217U	20250101	2198.35
0218U	20250101	2279.0
0219U	20250101	725.0
0220U	20250101	706.25
0221U	20250101	274.83
0222U	20250101	282.88
0223U	20250101	416.78
0224U	20250101	51.43
0225U	20250101	416.78
0226U	20250101	42.28
0227U	20250101	62.14
0228U	20250101	173.03
0229U	20250101	384.0
0230U	20250101	301.35
0231U	20250101	846.27
0232U	20250101	274.83
0233U	20250101	274.83
0234U	20250101	527.87
0235U	20250101	600.0
0236U	20250101	602.7
0237U	20250101	584.9
0238U	20250101	584.9
0239U	20250101	3500.0
0240U	20250101	142.63
0240U	20250101	142.63
0241U	20250101	142.63
0241U	20250101	142.63
0242U	20250101	5000.0
0243U	20250101	64.41
0244U	20250101	3500.0
0245U	20250101	1266.07
0246U	20250101	720.0
0247U	20250101	750.0
0248U	20250101	3033.86
0249U	20250101	2219.13
0250U	20250101	2919.6
0251U	20250101	17.27
0252U	20250101	759.05
0253U	20250101	3159.42
0254U	20250101	759.05
0255U	20250101	31.6
0256U	20250101	159.95
0257U	20250101	712.47
0258U	20250101	3675.0
0259U	20250101	52.71
0260U	20250101	1263.53
0261U	20250101	2513.25
0262U	20250101	3200.0
0263U	20250101	750.0
0264U	20250101	1263.53
0265U	20250101	5475.8
0266U	20250101	3200.0
0267U	20250101	6739.33
0268U	20250101	608.17
0269U	20250101	608.17
0270U	20250101	608.17
0271U	20250101	608.17
0272U	20250101	608.17
0273U	20250101	608.17
0274U	20250101	608.17
0275U	20250101	18.37
0276U	20250101	2448.56
0277U	20250101	608.17
0278U	20250101	608.17
0279U	20250101	11.53
0280U	20250101	17.27
0281U	20250101	17.27
0282U	20250101	720.0
0283U	20250101	18.4
0284U	20250101	17.27
0285U	20250101	443.31
0286U	20250101	134.13
0287U	20250101	3600.0
0288U	20250101	3873.0
0289U	20250101	760.0
0290U	20250101	760.0
0291U	20250101	1755.0
0292U	20250101	1755.0
0293U	20250101	760.0
0294U	20250101	760.0
0295U	20250101	5435.0
0296U	20250101	1950.0
0297U	20250101	2919.6
0298U	20250101	2919.6
0299U	20250101	1863.22
0300U	20250101	4183.13
0301U	20250101	262.72
0302U	20250101	361.37
0303U	20250101	2201.62
0304U	20250101	2075.8
0305U	20250101	662.58
0306U	20250101	3878.45
0307U	20250101	794.49
0308U	20250101	390.75
0309U	20250101	390.75
0310U	20250101	390.75
0311U	20250101	8.08
0312U	20250101	840.65
0313U	20250101	3600.0
0314U	20250101	1950.0
0315U	20250101	8500.0
0316U	20250101	18.66
0317U	20250101	2030.0
0318U	20250101	1770.48
0319U	20250101	2650.0
0320U	20250101	2650.0
0321U	20250101	634.84
0322U	20250101	750.0
0323U	20250101	2126.2
0326U	20250101	5000.0
0327U	20250101	795.0
0328U	20250101	114.43
0329U	20250101	3437.98
0330U	20250101	416.78
0331U	20250101	1863.22
0332U	20250101	1142.06
0333U	20250101	662.32
0334U	20250101	3500.0
0335U	20250101	5224.6
0336U	20250101	2574.65
0337U	20250101	2435.0
0338U	20250101	2435.0
0339U	20250101	760.0
0340U	20250101	2919.6
0341U	20250101	1900.2
0342U	20250101	897.0
0343U	20250101	760.0
0344U	20250101	792.17
0345U	20250101	1336.09
0347U	20250101	1336.09
0348U	20250101	742.27
0349U	20250101	742.27
0350U	20250101	1336.09
0351U	20250101	260.5
0355U	20250101	137.0
0356U	20250101	1800.0
0358U	20250101	260.5
0359U	20250101	760.0
0360U	20250101	782.93
0361U	20250101	116.23
0362U	20250101	3600.0
0363U	20250101	760.0
0364U	20250101	2007.25
0365U	20250101	897.0
0366U	20250101	897.0
0367U	20250101	902.18
0368U	20250101	416.78
0369U	20250101	416.78
0370U	20250101	416.78
0371U	20250101	416.78
0372U	20250101	416.78
0373U	20250101	416.78
0374U	20250101	416.78
0375U	20250101	897.0
0376U	20250101	706.25
0377U	20250101	47.58
0378U	20250101	137.0
0379U	20250101	3288.51
0381U	20250101	44.12
0382U	20250101	51.64
0383U	20250101	52.05
0384U	20250101	750.0
0385U	20250101	390.75
0387U	20250101	948.5
0388U	20250101	3500.0
0389U	20250101	70.2
0390U	20250101	64.41
0391U	20250101	3600.0
0392U	20250101	1336.09
0393U	20250101	540.99
0394U	20250101	198.74
0395U	20250101	797.45
0398U	20250101	1755.0
0399U	20250101	300.0
0400U	20250101	1456.88
0401U	20250101	489.68
0402U	20250101	142.63
0403U	20250101	760.0
0404U	20250101	322.96
0405U	20250101	1770.48
0406U	20250101	760.0
0407U	20250101	950.0
0408U	20250101	14.13
0409U	20250101	2919.6
0410U	20250101	1160.0
0411U	20250101	1336.09
0412U	20250101	750.0
0413U	20250101	1263.53
0414U	20250101	706.25
0415U	20250101	390.75
0417U	20250101	2842.53
0418U	20250101	706.25
0419U	20250101	1336.09
0420U	20250101	0.0
0421U	20250101	508.87
0422U	20250101	0.0
0423U	20250101	416.78
0424U	20250101	760.0
0425U	20250101	0.0
0426U	20250101	0.0
0427U	20250101	4.48
0429U	20250101	35.09
0430U	20250101	61.54
0431U	20250101	36.57
0432U	20250101	36.57
0433U	20250101	760.0
0434U	20250101	416.78
0435U	20250101	3033.86
0436U	20250101	0.0
0437U	20250101	760.0
0438U	20250101	416.78
0439U	20250101	0.0
0440U	20250101	0.0
0441U	20250101	0.0
0442U	20250101	41.38
0443U	20250101	0.0
0444U	20250101	2919.6
0445U	20250101	260.5
0446U	20250101	840.65
0447U	20250101	840.65
0449U	20250101	1824.88
0450U	20250101	43.43
0451U	20250101	43.43
0452U	20250101	192.0
0453U	20250101	192.0
0454U	20250101	1263.53
0455U	20250101	142.63
0457U	20250101	198.74
0458U	20250101	260.5
0459U	20250101	260.5
0460U	20250101	0.0
0461U	20250101	0.0
0462U	20250101	17.27
0463U	20250101	0.0
0464U	20250101	591.92
0465U	20250101	1938.01
0466U	20250101	0.0
0467U	20250101	1519.06
0468U	20250101	251.7
0469U	20250101	1197.94
0470U	20250101	0.0
0471U	20250101	760.0
0472U	20250101	0.0
0473U	20250101	4500.0
0474U	20250101	1303.95
0475U	20250101	1303.95
0476U	20250101	416.78
0477U	20250101	416.78
0478U	20250101	0.0
0479U	20250101	17.27
0480U	20250101	2126.2
0481U	20250101	674.24
0482U	20250101	128.82
0483U	20250101	0.0
0484U	20250101	0.0
0485U	20250101	0.0
0486U	20250101	0.0
0487U	20250101	2919.6
0488U	20250101	759.05
0489U	20250101	0.0
0490U	20250101	2435.0
0491U	20250101	2435.0
0492U	20250101	2435.0
0493U	20250101	2753.25
0494U	20250101	759.05
0495U	20250101	760.0
0496U	20250101	0.0
0497U	20250101	3873.0
0498U	20250101	0.0
0499U	20250101	597.91
0500U	20250101	175.4
0501U	20250101	0.0
0502U	20250101	35.09
0503U	20250101	750.0
0504U	20250101	416.78
0505U	20250101	679.77
0506U	20250101	1938.01
0507U	20250101	1160.0
0508U	20250101	0.0
0509U	20250101	0.0
0510U	20250101	0.0
0511U	20250101	3033.86
0512U	20250101	706.25
0513U	20250101	706.25
0514U	20250101	38.57
0515U	20250101	38.57
0516U	20250101	416.78
0517U	20250101	246.92
0518U	20250101	246.92
0519U	20250101	246.92
0520U	20250101	246.92
36415	20250101	9.09
78267	20250101	11.06
78268	20250101	94.41
80047	20250101	13.73
80047	20250101	13.73
80048	20250101	8.46
80048	20250101	8.46
80051	20250101	7.01
80051	20250101	7.01
80053	20250101	10.56
80053	20250101	10.56
80055	20250101	47.81
80061	20250101	13.39
80061	20250101	13.39
80069	20250101	8.68
80069	20250101	8.68
80074	20250101	47.63
80076	20250101	8.17
80081	20250101	74.86
80143	20250101	18.64
80145	20250101	38.57
80150	20250101	15.08
80151	20250101	18.64
80155	20250101	38.57
80156	20250101	14.57
80157	20250101	13.25
80158	20250101	18.05
80159	20250101	20.15
80161	20250101	18.64
80162	20250101	13.28
80163	20250101	13.28
80164	20250101	13.54
80165	20250101	13.54
80167	20250101	18.64
80168	20250101	16.34
80169	20250101	13.73
80170	20250101	16.38
80171	20250101	21.67
80173	20250101	15.78
80175	20250101	13.25
80176	20250101	14.69
80177	20250101	13.25
80178	20250101	6.61
80178	20250101	6.61
80179	20250101	18.64
80180	20250101	18.05
80181	20250101	18.64
80183	20250101	13.25
80184	20250101	15.3
80185	20250101	13.25
80186	20250101	13.76
80187	20250101	27.11
80188	20250101	16.59
80189	20250101	27.11
80190	20250101	60.0
80192	20250101	16.75
80193	20250101	38.57
